,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,16243,"Koepka, Brooks",0.77,0.03,1.00,0.97,23.85,-0.07,39.00,0.67,0.10,0.00,0.99,27.25,0.05,80.00,0.81,0.06,0.00,1.00,13.35,0.08,16.00,0.32,0.07,0.00,0.93,73.12,-0.06,29.00,0.56,0.14,0.00,0.95,51.55,0.11,56.00,0.57,0.12,0.00,0.94,43.69,-0.04,17
,19190,"Hoshino, Rikuya",0.74,0.03,0.00,0.91,26.45,-0.09,78.00,0.72,0.06,0.00,0.97,28.23,0.05,140.00,0.84,0.15,0.00,0.96,16.04,0.10,27.00,0.28,0.04,0.00,0.89,66.86,-0.09,72.00,0.42,0.10,0.00,0.94,44.96,0.04,52.00,0.58,0.10,0.00,0.93,33.57,0.02,29
,23602,"Hojgaard, Nicolai",0.75,0.09,0.00,0.92,21.92,0.01,177.00,0.75,0.06,0.00,0.96,28.79,0.05,294.00,0.90,0.08,0.00,0.97,16.80,0.03,64.00,0.31,0.07,0.00,0.95,64.58,0.00,120.00,0.55,0.07,0.00,0.98,41.27,0.07,130.00,0.65,0.08,0.00,0.96,39.35,0.05,89
,18079,"Niemann, Joaquin",0.78,0.00,0.00,0.95,19.03,-0.03,55.00,0.79,0.04,0.00,0.97,25.52,0.04,92.00,0.97,0.06,0.00,0.94,15.13,0.03,17.00,0.46,0.17,0.00,0.97,40.26,0.16,29.00,0.45,0.04,0.00,0.94,50.91,-0.03,54.00,0.72,0.18,0.00,1.00,30.98,0.12,22
,12294,"Fleetwood, Tommy",0.88,0.08,0.00,0.95,19.64,0.06,304.00,0.72,0.06,0.00,0.96,28.57,0.04,464.00,0.90,0.08,0.00,0.96,15.99,0.03,75.00,0.34,0.06,0.00,0.98,69.77,0.01,134.00,0.51,0.04,0.00,0.97,45.84,0.02,238.00,0.62,0.04,0.00,0.93,39.76,-0.01,83
,18770,"Rozner, Antoine",0.79,0.08,0.00,0.93,22.58,-0.02,90.00,0.71,0.06,0.00,0.96,29.15,0.04,163.00,0.94,0.10,0.00,1.00,18.20,-0.01,21.00,0.28,0.03,0.00,0.98,59.04,-0.02,59.00,0.50,0.07,0.00,1.00,42.98,0.10,69.00,0.54,0.05,0.00,0.98,37.91,-0.01,43
,22085,"Morikawa, Collin",0.83,0.09,0.00,0.95,19.07,0.07,338.00,0.68,0.06,0.00,0.95,28.52,0.04,468.00,0.88,0.11,0.00,0.94,15.81,0.05,88.00,0.35,0.09,0.00,0.98,57.17,0.06,119.00,0.44,0.05,0.00,0.98,47.80,0.01,248.00,0.65,0.09,0.00,0.90,37.16,0.01,67
,7399,"Glover, Lucas",0.85,0.10,0.00,0.95,20.00,0.06,344.00,0.68,0.07,0.00,0.96,28.78,0.04,497.00,0.94,0.12,0.00,0.98,14.44,0.06,96.00,0.32,0.06,0.00,0.94,64.87,-0.01,111.00,0.46,0.07,0.00,0.98,46.12,0.01,215.00,0.56,0.04,0.00,0.98,39.98,-0.02,90
,14509,"Dahmen, Joel",0.81,0.07,0.00,0.94,20.16,0.03,293.00,0.72,0.07,0.00,0.95,28.92,0.04,440.00,0.78,0.09,0.00,0.91,18.57,-0.05,126.00,0.29,0.04,0.00,0.97,67.16,0.01,119.00,0.56,0.04,0.00,0.97,43.17,0.04,206.00,0.51,0.04,0.00,0.95,39.74,-0.03,129
,27183,"Salinda, Isaiah",0.82,0.08,0.00,0.94,23.00,0.00,125.00,0.74,0.07,0.00,0.99,29.55,0.04,168.00,0.87,0.10,0.00,0.97,17.54,0.05,29.00,0.24,0.05,0.00,0.92,63.51,-0.06,61.00,0.36,0.07,0.00,0.94,52.40,-0.07,95.00,0.53,0.04,0.00,0.88,38.46,-0.04,50
