
Tournament: Sony Open,Last updated: 
Course: Waialae Country Club,Found 120 players from cache
Data Date: 2026-03-03T03:53:13.175Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Finished better than predicted | ↑ Short Game | 📈 SG Around Green: trend continuing (0.653) | ⚠️ Success despite model prediction","28309","Coody, Pierceson",61,"T13",-9,1.46775,0.527,306.975,299.479,0.5535,0.5439,0.87025,0.81,0.09799999999999998,0.61,0.302,-0.253,0.47025,0.453,0.5975,-0.377,0.72225,0.7177,31.521,27.385,51.723,46.755,0,67.75,4.25,0.656,5,3
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (418.077) | 📈 SG Around Green: trend continuing (0.531) | 📉 SG OTT: trend continuing (0.317) | ⚠️ Success despite model prediction","21688","Kim, S.H.",93,"T13",-9,1.4677499999999999,-0.759,290.05,292.13,0.5177499999999999,0.6047,0.14599999999999996,-1.411,0.08400000000000002,-1.192,0.34075,-0.268,-0.27875000000000005,0.049,1.3217500000000002,0.414,0.7222500000000001,0.6092,31.9055,36.029,77.84575000000001,59.402,0,67.75,4,0.675,4.5,1.75
"↓ Approach | 📉 SG Approach: trend reversing (0.264) | ✅ Success aligned with model","13562","Matsuyama, Hideki",9,"T13",-9,1.46775,1.008,293.25,286.128,0.60725,0.6774,2.09675,0.685,1.179,0.247,0.7939999999999998,0.578,0.12375000000000004,-0.14,-0.6290000000000001,0.322,0.6805,0.6579,24.572,26.736,51.22425,53.067,0,67.75,4.5,0.8330000000000001,4.5,3.25
"↑ Putting | 📈 SG Putting: trend continuing (1.384) | 📉 SG OTT: trend reversing (0.707) | 📈 SG Around Green: trend continuing (0.321) | ⚠️ Success despite model prediction","13126","Taylor, Nick",25,"T13",-9,1.46775,0.1,289.95000000000005,283.029,0.6247499999999999,0.5882000000000001,1.1155000000000002,0.03,0.97725,-0.114,0.11699999999999999,0.411,0.021249999999999998,-0.266,0.35225000000000006,-0.05,0.8055000000000001,0.6553,26.064750000000004,27.724,51.25625000000001,47.316,0,67.75,4.5,0.625,2.75,2
"↑ Overall | 📈 SG T2G: trend reversing (1.460) | 📈 SG Around Green: trend continuing (0.368) | 📈 SG OTT: trend continuing (0.350) | ⚠️ Success despite model prediction","18424","Roy, Kevin",22,"T13",-9,1.46775,0.527,297.225,291.069,0.5535,0.6265999999999999,-0.01650000000000007,0.169,-1.03075,-0.25,0.7810000000000001,0.158,0.23325,0.262,1.48425,0.534,0.6112500000000001,0.7192000000000001,30.049999999999997,32.118,54.50925,50.577,0,67.75,4.25,0.77675,3.75,3
"↑ Finished better than predicted | ↓ Overall | 📉 SG T2G: trend reversing (1.814) | 📈 SG Putting: trend continuing (0.622) | 📉 SG Around Green: trend reversing (0.170) | ⚠️ Success despite model prediction","29925","Yellamaraju, Sudarshan",76,"T13",-9,1.46775,0.667,298.8,295.24,0.6247499999999999,0.6026,0.988,0.296,0.2537499999999999,0.284,0.19475,-0.308,0.5395,0.32,0.47975,0.324,0.6942499999999999,0.7254999999999999,30.8345,27.878,33.20725,52.664,0,67.75,5,0.55975,4,3.25
"↓ Overall | 📉 SG T2G: trend reversing (0.386) | 📉 SG Around Green: trend reversing (0.253) | ✅ Success aligned with model","24968","Griffin, Ben",20,"T19",-8,1.21775,0.61,302.5,288.678,0.69625,0.5906,1.22075,-0.291,-0.69325,0.078,0.909,-0.088,1.005,-0.281,-0.0029999999999999333,0.526,0.7222500000000001,0.6931,32.48725,31.263,32.964,44.001,0,68,4,0.65,2.5,2.5
"↑ Finished better than predicted | ↓ Approach | 📉 SG Approach: trend continuing (3.393) | 📉 SG T2G: trend reversing (0.604) | 📉 SG Putting: trend reversing (0.527) | ⚠️ Success despite model prediction","20766","Brown, Dan",91,"T19",-8,1.21775,-0.157,297.875,287.417,0.5895,0.6605,0.10099999999999998,0.601,-0.2829999999999999,0.643,0.33525,-0.321,0.04874999999999999,0.279,1.11675,-0.71,0.6945,0.6899,29.00725,30.071,53.724999999999994,44.992,0,68,4,0.7975000000000001,3.75,3.25
"↑ Finished better than predicted | ↑ Driving | 📈 SG OTT: trend continuing (0.704) | 📉 SG Total: trend reversing (0.760) | 📈 SG Putting: trend continuing (0.362) | ⚠️ Success despite model prediction","13764","Parry, John",101,"T19",-8,1.21775,-1.185,293.025,293.863,0.6605,0.6078,-0.045500000000000096,0.193,-0.4210000000000001,-0.058,-0.08924999999999998,-0.176,0.46475,0.427,1.26325,-1.397,0.7917500000000001,0.7069,32.66975,32.394,68.29175000000001,38.008,0,68,4,0.5236666666666666,3,1.5
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend reversing (1.409) | 📈 SG Total: trend continuing (0.485) | ⚠️ Success despite model prediction","27164","Phillips, Chandler",75,"T19",-8,1.21775,-1.323,292.925,287.827,0.518,0.5776,0.009999999999999981,-1.758,0.021000000000000046,-1.236,0.08224999999999996,0.067,-0.09325,-0.589,1.20775,0.376,0.66675,0.6369,29.3225,32.815,49.3895,53.013,0,68,4.75,0.6205,3,3.75
