,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,7655,"Molinari, Francesco",0.88,0.07,0.00,0.98,20.95,0.04,119.00,0.72,0.08,0.00,0.95,30.48,0.05,209.00,0.96,0.18,0.00,0.98,13.88,0.11,50.00,0.46,0.05,0.00,0.96,73.43,0.01,44.00,0.42,0.04,0.00,0.97,49.69,-0.03,113.00,0.66,0.15,0.00,0.91,32.01,0.06,34
,17881,"Yu, Kevin",0.80,0.06,0.00,0.95,22.43,0.00,304.00,0.75,0.07,0.00,0.96,29.61,0.05,397.00,0.85,0.07,0.00,0.91,18.87,-0.02,114.00,0.42,0.07,0.00,0.96,59.41,0.06,134.00,0.50,0.05,0.00,0.96,48.20,0.02,208.00,0.48,0.07,0.00,0.91,43.00,-0.06,170
,22985,"Smotherman, Austin",0.79,0.04,0.00,0.94,22.42,-0.02,147.00,0.75,0.06,0.00,0.99,30.43,0.05,209.00,0.85,0.02,0.00,1.00,17.06,-0.02,41.00,0.34,0.04,0.00,0.98,66.22,-0.01,53.00,0.55,0.03,0.00,0.98,44.01,0.05,96.00,0.58,0.07,0.00,0.93,35.88,0.06,86
,7399,"Glover, Lucas",0.85,0.09,0.00,0.95,19.97,0.07,377.00,0.69,0.07,0.00,0.96,28.98,0.05,526.00,0.89,0.09,0.00,0.97,15.72,0.03,96.00,0.38,0.07,0.00,0.94,57.70,0.02,116.00,0.47,0.08,0.00,0.97,46.95,0.00,238.00,0.56,0.06,0.00,0.96,40.86,-0.03,103
,18628,"Campbell, Brian",,,,,,,,0.71,0.04,0.00,0.97,30.77,0.05,77.00,0.90,0.07,1.00,1.00,15.24,0.09,14.00,,,,,,,,0.53,0.02,0.00,1.00,48.00,0.04,47.00,0.80,0.08,1.00,1.00,27.64,0.16,13
,26653,"Eckroat, Austin",0.81,0.06,0.00,0.95,22.91,0.01,328.00,0.70,0.06,0.00,0.96,29.26,0.05,530.00,0.81,0.13,0.00,0.86,19.77,0.00,109.00,0.35,0.08,0.00,0.92,64.58,-0.02,118.00,0.45,0.07,0.00,0.96,45.19,0.01,278.00,0.61,0.08,0.00,0.92,37.45,0.02,133
,11676,"Finau, Tony",0.81,0.06,0.00,0.94,23.08,-0.01,291.00,0.73,0.07,0.00,0.95,29.22,0.04,411.00,0.85,0.11,0.00,0.91,16.83,0.02,81.00,0.49,0.13,0.00,0.96,53.81,0.09,150.00,0.51,0.06,0.00,0.98,42.42,0.07,215.00,0.64,0.06,0.00,0.94,35.20,0.04,146
,17068,"Daffue, MJ",0.66,0.03,1.00,0.88,26.40,-0.11,40.00,0.76,0.05,1.00,0.96,29.90,0.04,66.00,0.84,0.07,0.00,0.93,23.83,-0.10,15.00,0.18,0.00,1.00,0.85,76.36,-0.18,20.00,0.35,0.07,1.00,0.93,43.33,-0.09,28.00,0.68,0.15,0.00,1.00,30.32,0.15,41
,20730,"Perez, Victor",0.82,0.08,0.00,0.95,23.01,0.01,253.00,0.72,0.07,0.00,0.97,29.65,0.04,440.00,0.80,0.07,0.00,0.94,20.22,-0.07,70.00,0.40,0.04,0.00,0.98,58.03,0.04,126.00,0.46,0.04,0.00,0.94,50.57,-0.03,186.00,0.56,0.05,0.00,0.93,40.73,-0.02,146
,14509,"Dahmen, Joel",0.81,0.08,0.00,0.94,20.45,0.04,281.00,0.73,0.07,0.00,0.95,29.04,0.04,422.00,0.80,0.08,0.00,0.92,17.65,-0.02,124.00,0.28,0.05,0.00,0.97,66.22,0.01,115.00,0.55,0.05,0.00,0.98,44.58,0.05,196.00,0.52,0.04,0.00,0.93,40.63,-0.05,130
