market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
top_10,0.35,4,166,0.0904,0.0527,531
top_10,0.35,5,188,0.0798,0.0527,531
top_10,0.35,6,202,0.0792,0.0527,531
top_10,0.35,7,229,0.0786,0.0527,531
top_10,0.35,8,250,0.0800,0.0527,531
top_10,0.35,9,269,0.0781,0.0527,531
top_10,0.35,10,299,0.0769,0.0527,531
top_10,0.35,12,338,0.0740,0.0527,531
top_10,0.35,15,372,0.0672,0.0527,531
top_10,0.35,20,402,0.0672,0.0527,531
top_10,0.35,25,458,0.0611,0.0527,531
top_10,0.35,30,481,0.0582,0.0527,531
top_10,0.35,40,499,0.0561,0.0527,531
top_10,0.35,50,506,0.0553,0.0527,531
top_10,0.35,75,520,0.0538,0.0527,531
top_10,0.35,100,528,0.0530,0.0527,531
top_10,0.35,150,529,0.0529,0.0527,531
top_10,0.35,200,530,0.0528,0.0527,531
top_10,0.40,3,143,0.1049,0.0527,531
top_10,0.40,4,164,0.0915,0.0527,531
top_10,0.40,5,186,0.0806,0.0527,531
top_10,0.40,6,200,0.0800,0.0527,531
top_10,0.40,7,227,0.0793,0.0527,531
top_10,0.40,8,248,0.0806,0.0527,531
top_10,0.40,9,266,0.0789,0.0527,531
top_10,0.40,10,294,0.0782,0.0527,531
top_10,0.40,12,333,0.0751,0.0527,531
top_10,0.40,15,366,0.0683,0.0527,531
top_10,0.40,20,394,0.0685,0.0527,531
top_10,0.40,25,450,0.0622,0.0527,531
top_10,0.40,30,473,0.0592,0.0527,531
top_10,0.40,40,491,0.0570,0.0527,531
top_10,0.40,50,498,0.0562,0.0527,531
top_10,0.40,75,510,0.0549,0.0527,531
top_10,0.40,100,517,0.0542,0.0527,531
top_10,0.40,150,518,0.0541,0.0527,531
top_10,0.40,200,519,0.0539,0.0527,531
top_10,0.45,3,116,0.1293,0.0527,531
top_10,0.45,4,135,0.1111,0.0527,531
top_10,0.45,5,154,0.0974,0.0527,531
top_10,0.45,6,168,0.0952,0.0527,531
top_10,0.45,7,191,0.0942,0.0527,531
top_10,0.45,8,211,0.0948,0.0527,531
top_10,0.45,9,225,0.0933,0.0527,531
top_10,0.45,10,248,0.0927,0.0527,531
top_10,0.45,12,279,0.0896,0.0527,531
top_10,0.45,15,304,0.0822,0.0527,531
top_10,0.45,20,325,0.0831,0.0527,531
top_10,0.45,25,364,0.0769,0.0527,531
top_10,0.45,30,382,0.0733,0.0527,531
top_10,0.45,40,391,0.0716,0.0527,531
top_10,0.45,50,394,0.0711,0.0527,531
top_10,0.45,75,398,0.0704,0.0527,531
top_10,0.45,100,402,0.0697,0.0527,531
top_10,0.45,150,403,0.0695,0.0527,531
top_10,0.45,200,404,0.0693,0.0527,531
top_10,0.50,3,18,0.2778,0.0527,531
top_10,0.50,4,28,0.1786,0.0527,531
top_10,0.50,5,34,0.1471,0.0527,531
top_10,0.50,6,37,0.1622,0.0527,531
top_10,0.50,7,38,0.1579,0.0527,531
top_10,0.50,8,38,0.1579,0.0527,531
top_10,0.50,9,38,0.1579,0.0527,531
top_10,0.50,10,38,0.1579,0.0527,531
top_10,0.50,12,43,0.1395,0.0527,531
top_10,0.50,15,45,0.1333,0.0527,531
top_10,0.50,20,47,0.1277,0.0527,531
top_10,0.50,25,47,0.1277,0.0527,531
top_10,0.50,30,47,0.1277,0.0527,531
top_10,0.50,40,47,0.1277,0.0527,531
top_10,0.50,50,47,0.1277,0.0527,531
top_10,0.50,75,47,0.1277,0.0527,531
top_10,0.50,100,47,0.1277,0.0527,531
top_10,0.50,150,47,0.1277,0.0527,531
top_10,0.50,200,47,0.1277,0.0527,531
