market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
top_5,0.05,3,0,0.0000,0.0382,393
top_5,0.05,4,2,1.0000,0.0382,393
top_5,0.05,5,8,0.3750,0.0382,393
top_5,0.05,6,14,0.2143,0.0382,393
top_5,0.05,7,20,0.1500,0.0382,393
top_5,0.05,8,37,0.0811,0.0382,393
top_5,0.05,9,43,0.0698,0.0382,393
top_5,0.05,10,46,0.0652,0.0382,393
top_5,0.05,12,58,0.0690,0.0382,393
top_5,0.05,15,95,0.0632,0.0382,393
top_5,0.05,20,133,0.0677,0.0382,393
top_5,0.05,25,177,0.0621,0.0382,393
top_5,0.05,30,207,0.0580,0.0382,393
top_5,0.05,40,245,0.0531,0.0382,393
top_5,0.05,50,266,0.0526,0.0382,393
top_5,0.05,75,344,0.0436,0.0382,393
top_5,0.05,100,361,0.0416,0.0382,393
top_5,0.05,150,373,0.0402,0.0382,393
top_5,0.05,200,381,0.0394,0.0382,393
top_5,0.10,3,0,0.0000,0.0382,393
top_5,0.10,4,2,1.0000,0.0382,393
top_5,0.10,5,8,0.3750,0.0382,393
top_5,0.10,6,14,0.2143,0.0382,393
top_5,0.10,7,20,0.1500,0.0382,393
top_5,0.10,8,37,0.0811,0.0382,393
top_5,0.10,9,43,0.0698,0.0382,393
top_5,0.10,10,46,0.0652,0.0382,393
top_5,0.10,12,58,0.0690,0.0382,393
top_5,0.10,15,95,0.0632,0.0382,393
top_5,0.10,20,133,0.0677,0.0382,393
top_5,0.10,25,177,0.0621,0.0382,393
top_5,0.10,30,207,0.0580,0.0382,393
top_5,0.10,40,245,0.0531,0.0382,393
top_5,0.10,50,266,0.0526,0.0382,393
top_5,0.10,75,344,0.0436,0.0382,393
top_5,0.10,100,361,0.0416,0.0382,393
top_5,0.10,150,373,0.0402,0.0382,393
top_5,0.10,200,381,0.0394,0.0382,393
top_5,0.15,3,0,0.0000,0.0382,393
top_5,0.15,4,2,1.0000,0.0382,393
top_5,0.15,5,8,0.3750,0.0382,393
top_5,0.15,6,14,0.2143,0.0382,393
top_5,0.15,7,20,0.1500,0.0382,393
top_5,0.15,8,37,0.0811,0.0382,393
top_5,0.15,9,43,0.0698,0.0382,393
top_5,0.15,10,46,0.0652,0.0382,393
top_5,0.15,12,58,0.0690,0.0382,393
top_5,0.15,15,95,0.0632,0.0382,393
top_5,0.15,20,133,0.0677,0.0382,393
top_5,0.15,25,177,0.0621,0.0382,393
top_5,0.15,30,207,0.0580,0.0382,393
top_5,0.15,40,245,0.0531,0.0382,393
top_5,0.15,50,266,0.0526,0.0382,393
top_5,0.15,75,344,0.0436,0.0382,393
top_5,0.15,100,361,0.0416,0.0382,393
top_5,0.15,150,373,0.0402,0.0382,393
top_5,0.15,200,381,0.0394,0.0382,393
top_5,0.20,3,0,0.0000,0.0382,393
top_5,0.20,4,2,1.0000,0.0382,393
top_5,0.20,5,8,0.3750,0.0382,393
top_5,0.20,6,14,0.2143,0.0382,393
top_5,0.20,7,20,0.1500,0.0382,393
top_5,0.20,8,37,0.0811,0.0382,393
top_5,0.20,9,43,0.0698,0.0382,393
top_5,0.20,10,46,0.0652,0.0382,393
top_5,0.20,12,58,0.0690,0.0382,393
top_5,0.20,15,95,0.0632,0.0382,393
top_5,0.20,20,133,0.0677,0.0382,393
top_5,0.20,25,177,0.0621,0.0382,393
top_5,0.20,30,207,0.0580,0.0382,393
top_5,0.20,40,245,0.0531,0.0382,393
top_5,0.20,50,266,0.0526,0.0382,393
top_5,0.20,75,344,0.0436,0.0382,393
top_5,0.20,100,361,0.0416,0.0382,393
top_5,0.20,150,373,0.0402,0.0382,393
top_5,0.20,200,381,0.0394,0.0382,393
top_5,0.25,3,0,0.0000,0.0382,393
top_5,0.25,4,2,1.0000,0.0382,393
top_5,0.25,5,8,0.3750,0.0382,393
top_5,0.25,6,14,0.2143,0.0382,393
top_5,0.25,7,20,0.1500,0.0382,393
top_5,0.25,8,37,0.0811,0.0382,393
top_5,0.25,9,43,0.0698,0.0382,393
top_5,0.25,10,46,0.0652,0.0382,393
top_5,0.25,12,58,0.0690,0.0382,393
top_5,0.25,15,95,0.0632,0.0382,393
top_5,0.25,20,133,0.0677,0.0382,393
top_5,0.25,25,177,0.0621,0.0382,393
top_5,0.25,30,207,0.0580,0.0382,393
top_5,0.25,40,245,0.0531,0.0382,393
top_5,0.25,50,266,0.0526,0.0382,393
top_5,0.25,75,344,0.0436,0.0382,393
top_5,0.25,100,361,0.0416,0.0382,393
top_5,0.25,150,373,0.0402,0.0382,393
top_5,0.25,200,381,0.0394,0.0382,393
top_5,0.30,3,0,0.0000,0.0382,393
top_5,0.30,4,2,1.0000,0.0382,393
top_5,0.30,5,8,0.3750,0.0382,393
top_5,0.30,6,14,0.2143,0.0382,393
top_5,0.30,7,20,0.1500,0.0382,393
top_5,0.30,8,37,0.0811,0.0382,393
top_5,0.30,9,43,0.0698,0.0382,393
top_5,0.30,10,46,0.0652,0.0382,393
top_5,0.30,12,58,0.0690,0.0382,393
top_5,0.30,15,95,0.0632,0.0382,393
top_5,0.30,20,133,0.0677,0.0382,393
top_5,0.30,25,177,0.0621,0.0382,393
top_5,0.30,30,207,0.0580,0.0382,393
top_5,0.30,40,245,0.0531,0.0382,393
top_5,0.30,50,266,0.0526,0.0382,393
top_5,0.30,75,344,0.0436,0.0382,393
top_5,0.30,100,361,0.0416,0.0382,393
top_5,0.30,150,373,0.0402,0.0382,393
top_5,0.30,200,381,0.0394,0.0382,393
top_5,0.35,3,0,0.0000,0.0382,393
top_5,0.35,4,2,1.0000,0.0382,393
top_5,0.35,5,8,0.3750,0.0382,393
top_5,0.35,6,14,0.2143,0.0382,393
top_5,0.35,7,20,0.1500,0.0382,393
top_5,0.35,8,37,0.0811,0.0382,393
top_5,0.35,9,43,0.0698,0.0382,393
top_5,0.35,10,46,0.0652,0.0382,393
top_5,0.35,12,58,0.0690,0.0382,393
top_5,0.35,15,95,0.0632,0.0382,393
top_5,0.35,20,133,0.0677,0.0382,393
top_5,0.35,25,177,0.0621,0.0382,393
top_5,0.35,30,207,0.0580,0.0382,393
top_5,0.35,40,245,0.0531,0.0382,393
top_5,0.35,50,266,0.0526,0.0382,393
top_5,0.35,75,344,0.0436,0.0382,393
top_5,0.35,100,361,0.0416,0.0382,393
top_5,0.35,150,373,0.0402,0.0382,393
top_5,0.35,200,381,0.0394,0.0382,393
top_5,0.40,3,0,0.0000,0.0382,393
top_5,0.40,4,2,1.0000,0.0382,393
top_5,0.40,5,8,0.3750,0.0382,393
top_5,0.40,6,14,0.2143,0.0382,393
