market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
top_20,0.05,3,21,0.0952,0.0448,223
top_20,0.05,4,56,0.0893,0.0448,223
top_20,0.05,5,92,0.0761,0.0448,223
top_20,0.05,6,114,0.0702,0.0448,223
top_20,0.05,7,140,0.0643,0.0448,223
top_20,0.05,8,146,0.0616,0.0448,223
top_20,0.05,9,166,0.0602,0.0448,223
top_20,0.05,10,173,0.0578,0.0448,223
top_20,0.05,12,193,0.0518,0.0448,223
top_20,0.05,15,202,0.0495,0.0448,223
top_20,0.05,20,212,0.0472,0.0448,223
top_20,0.05,25,218,0.0459,0.0448,223
top_20,0.05,30,221,0.0452,0.0448,223
top_20,0.05,40,222,0.0450,0.0448,223
top_20,0.05,50,222,0.0450,0.0448,223
top_20,0.05,75,223,0.0448,0.0448,223
top_20,0.05,100,223,0.0448,0.0448,223
top_20,0.05,150,223,0.0448,0.0448,223
top_20,0.05,200,223,0.0448,0.0448,223
top_20,0.10,3,21,0.0952,0.0448,223
top_20,0.10,4,56,0.0893,0.0448,223
top_20,0.10,5,92,0.0761,0.0448,223
top_20,0.10,6,114,0.0702,0.0448,223
top_20,0.10,7,140,0.0643,0.0448,223
top_20,0.10,8,146,0.0616,0.0448,223
top_20,0.10,9,166,0.0602,0.0448,223
top_20,0.10,10,173,0.0578,0.0448,223
top_20,0.10,12,193,0.0518,0.0448,223
top_20,0.10,15,202,0.0495,0.0448,223
top_20,0.10,20,212,0.0472,0.0448,223
top_20,0.10,25,218,0.0459,0.0448,223
top_20,0.10,30,221,0.0452,0.0448,223
top_20,0.10,40,222,0.0450,0.0448,223
top_20,0.10,50,222,0.0450,0.0448,223
top_20,0.10,75,223,0.0448,0.0448,223
top_20,0.10,100,223,0.0448,0.0448,223
top_20,0.10,150,223,0.0448,0.0448,223
top_20,0.10,200,223,0.0448,0.0448,223
top_20,0.15,3,21,0.0952,0.0448,223
top_20,0.15,4,56,0.0893,0.0448,223
top_20,0.15,5,92,0.0761,0.0448,223
top_20,0.15,6,114,0.0702,0.0448,223
top_20,0.15,7,140,0.0643,0.0448,223
top_20,0.15,8,146,0.0616,0.0448,223
top_20,0.15,9,166,0.0602,0.0448,223
top_20,0.15,10,173,0.0578,0.0448,223
top_20,0.15,12,193,0.0518,0.0448,223
top_20,0.15,15,202,0.0495,0.0448,223
top_20,0.15,20,212,0.0472,0.0448,223
top_20,0.15,25,218,0.0459,0.0448,223
top_20,0.15,30,221,0.0452,0.0448,223
top_20,0.15,40,222,0.0450,0.0448,223
top_20,0.15,50,222,0.0450,0.0448,223
top_20,0.15,75,223,0.0448,0.0448,223
top_20,0.15,100,223,0.0448,0.0448,223
top_20,0.15,150,223,0.0448,0.0448,223
top_20,0.15,200,223,0.0448,0.0448,223
top_20,0.20,3,21,0.0952,0.0448,223
top_20,0.20,4,56,0.0893,0.0448,223
top_20,0.20,5,92,0.0761,0.0448,223
top_20,0.20,6,114,0.0702,0.0448,223
top_20,0.20,7,140,0.0643,0.0448,223
top_20,0.20,8,146,0.0616,0.0448,223
top_20,0.20,9,166,0.0602,0.0448,223
top_20,0.20,10,173,0.0578,0.0448,223
top_20,0.20,12,193,0.0518,0.0448,223
top_20,0.20,15,202,0.0495,0.0448,223
top_20,0.20,20,212,0.0472,0.0448,223
top_20,0.20,25,218,0.0459,0.0448,223
top_20,0.20,30,221,0.0452,0.0448,223
top_20,0.20,40,222,0.0450,0.0448,223
top_20,0.20,50,222,0.0450,0.0448,223
top_20,0.20,75,223,0.0448,0.0448,223
top_20,0.20,100,223,0.0448,0.0448,223
top_20,0.20,150,223,0.0448,0.0448,223
top_20,0.20,200,223,0.0448,0.0448,223
top_20,0.25,3,21,0.0952,0.0448,223
top_20,0.25,4,56,0.0893,0.0448,223
top_20,0.25,5,92,0.0761,0.0448,223
top_20,0.25,6,114,0.0702,0.0448,223
top_20,0.25,7,140,0.0643,0.0448,223
top_20,0.25,8,146,0.0616,0.0448,223
top_20,0.25,9,166,0.0602,0.0448,223
top_20,0.25,10,173,0.0578,0.0448,223
top_20,0.25,12,193,0.0518,0.0448,223
top_20,0.25,15,202,0.0495,0.0448,223
top_20,0.25,20,212,0.0472,0.0448,223
top_20,0.25,25,218,0.0459,0.0448,223
top_20,0.25,30,221,0.0452,0.0448,223
top_20,0.25,40,222,0.0450,0.0448,223
top_20,0.25,50,222,0.0450,0.0448,223
top_20,0.25,75,223,0.0448,0.0448,223
top_20,0.25,100,223,0.0448,0.0448,223
top_20,0.25,150,223,0.0448,0.0448,223
top_20,0.25,200,223,0.0448,0.0448,223
top_20,0.30,3,21,0.0952,0.0448,223
top_20,0.30,4,56,0.0893,0.0448,223
top_20,0.30,5,92,0.0761,0.0448,223
top_20,0.30,6,114,0.0702,0.0448,223
top_20,0.30,7,140,0.0643,0.0448,223
top_20,0.30,8,146,0.0616,0.0448,223
top_20,0.30,9,166,0.0602,0.0448,223
top_20,0.30,10,173,0.0578,0.0448,223
top_20,0.30,12,193,0.0518,0.0448,223
top_20,0.30,15,202,0.0495,0.0448,223
top_20,0.30,20,212,0.0472,0.0448,223
top_20,0.30,25,218,0.0459,0.0448,223
top_20,0.30,30,221,0.0452,0.0448,223
top_20,0.30,40,222,0.0450,0.0448,223
top_20,0.30,50,222,0.0450,0.0448,223
top_20,0.30,75,223,0.0448,0.0448,223
top_20,0.30,100,223,0.0448,0.0448,223
top_20,0.30,150,223,0.0448,0.0448,223
top_20,0.30,200,223,0.0448,0.0448,223
top_20,0.35,3,21,0.0952,0.0448,223
top_20,0.35,4,56,0.0893,0.0448,223
top_20,0.35,5,92,0.0761,0.0448,223
top_20,0.35,6,114,0.0702,0.0448,223
top_20,0.35,7,140,0.0643,0.0448,223
top_20,0.35,8,146,0.0616,0.0448,223
top_20,0.35,9,166,0.0602,0.0448,223
top_20,0.35,10,173,0.0578,0.0448,223
top_20,0.35,12,193,0.0518,0.0448,223
top_20,0.35,15,202,0.0495,0.0448,223
top_20,0.35,20,212,0.0472,0.0448,223
top_20,0.35,25,218,0.0459,0.0448,223
top_20,0.35,30,221,0.0452,0.0448,223
top_20,0.35,40,222,0.0450,0.0448,223
top_20,0.35,50,222,0.0450,0.0448,223
top_20,0.35,75,223,0.0448,0.0448,223
top_20,0.35,100,223,0.0448,0.0448,223
top_20,0.35,150,223,0.0448,0.0448,223
top_20,0.35,200,223,0.0448,0.0448,223
top_20,0.40,3,21,0.0952,0.0448,223
top_20,0.40,4,56,0.0893,0.0448,223
top_20,0.40,5,92,0.0761,0.0448,223
top_20,0.40,6,114,0.0702,0.0448,223
top_20,0.40,7,140,0.0643,0.0448,223
top_20,0.40,8,146,0.0616,0.0448,223
top_20,0.40,9,166,0.0602,0.0448,223
top_20,0.40,10,173,0.0578,0.0448,223
top_20,0.40,12,193,0.0518,0.0448,223
top_20,0.40,15,202,0.0495,0.0448,223
top_20,0.40,20,212,0.0472,0.0448,223
top_20,0.40,25,218,0.0459,0.0448,223
top_20,0.40,30,221,0.0452,0.0448,223
top_20,0.40,40,222,0.0450,0.0448,223
top_20,0.40,50,222,0.0450,0.0448,223
top_20,0.40,75,223,0.0448,0.0448,223
top_20,0.40,100,223,0.0448,0.0448,223
top_20,0.40,150,223,0.0448,0.0448,223
top_20,0.40,200,223,0.0448,0.0448,223
top_20,0.45,3,21,0.0952,0.0448,223
top_20,0.45,4,55,0.0909,0.0448,223
top_20,0.45,5,87,0.0805,0.0448,223
top_20,0.45,6,106,0.0755,0.0448,223
top_20,0.45,7,128,0.0703,0.0448,223
top_20,0.45,8,132,0.0682,0.0448,223
top_20,0.45,9,150,0.0667,0.0448,223
top_20,0.45,10,155,0.0645,0.0448,223
top_20,0.45,12,173,0.0578,0.0448,223
top_20,0.45,15,181,0.0552,0.0448,223
top_20,0.45,20,188,0.0532,0.0448,223
top_20,0.45,25,190,0.0526,0.0448,223
top_20,0.45,30,193,0.0518,0.0448,223
top_20,0.45,40,194,0.0515,0.0448,223
top_20,0.45,50,194,0.0515,0.0448,223
top_20,0.45,75,195,0.0513,0.0448,223
top_20,0.45,100,195,0.0513,0.0448,223
top_20,0.45,150,195,0.0513,0.0448,223
top_20,0.45,200,195,0.0513,0.0448,223
top_20,0.50,3,12,0.1667,0.0448,223
top_20,0.50,4,22,0.0909,0.0448,223
top_20,0.50,5,26,0.0769,0.0448,223
top_20,0.50,6,29,0.0690,0.0448,223
top_20,0.50,7,30,0.0667,0.0448,223
top_20,0.50,8,32,0.0625,0.0448,223
top_20,0.50,9,32,0.0625,0.0448,223
top_20,0.50,10,32,0.0625,0.0448,223
top_20,0.50,12,32,0.0625,0.0448,223
top_20,0.50,15,32,0.0625,0.0448,223
top_20,0.50,20,32,0.0625,0.0448,223
top_20,0.50,25,32,0.0625,0.0448,223
top_20,0.50,30,32,0.0625,0.0448,223
top_20,0.50,40,32,0.0625,0.0448,223
top_20,0.50,50,32,0.0625,0.0448,223
top_20,0.50,75,32,0.0625,0.0448,223
top_20,0.50,100,32,0.0625,0.0448,223
top_20,0.50,150,32,0.0625,0.0448,223
top_20,0.50,200,32,0.0625,0.0448,223
