"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 42 | ⚠️ Success despite model prediction | ✅ Fairway Proximity beat model (-1.13) | ⚠️ Rough Proximity missed model (1.01) | ⚠️ Driving Distance missed model (-0.82) | ✅ SG T2G beat model (0.776) | Δ Approach ↓ prev 50 100 fw","17576","Conners, Corey",13,55,"1.913","1.215","289.400","290.219","69.63%","67.38%","1.797","1.020","1.513","1.035","-0.417","-0.617","0.701","0.602","0.117","0.195","66.67%","65.05%","55.40%","54.87%","3.750","3.530","4.000","4.430","70.500","71.143","26.598","27.727","62.167","61.158","100.00%","84.20%","0.186","-1.440","8.218","20.930","92.48%","88.50%","0.166","1.296","18.159","18.789","21.60%","38.10%","-0.394","-2.034","42.511","42.357","36.20%","32.90%","-0.042","-0.162","40.311","63.898","65.09%","73.00%","0.007","0.540","26.833","28.692","56.15%","49.10%","0.093","0.828","38.958","39.071"
"⚠️ Rough Proximity missed model (2.97) | ⚠️ Driving Distance missed model (-1.66) | ✅ SG Total beat model (0.537) | ✅ SG T2G beat model (0.437) | Δ Approach ↑ prev 50 100 fw","26649","Thorbjornsen, Michael",22,21,"1.663","1.126","290.600","292.256","67.88%","65.80%","1.419","0.982","0.079","-0.041","0.590","0.571","0.750","0.453","0.244","0.144","63.90%","63.65%","63.20%","61.17%","5.500","5.055","3.750","4.141","70.750","71.232","28.703","28.939","65.060","62.088","86.90%","92.50%","-0.368","0.090","20.193","15.844","84.54%","85.30%","0.048","0.522","19.883","21.388","40.84%","56.70%","-0.180","-1.152","64.163","46.873","58.60%","34.60%","0.202","-0.396","28.505","43.521","65.51%","63.70%","0.033","0.018","31.300","31.006","74.37%","51.70%","0.195","0.756","25.148","44.012"
"≈ Near model (+4) | ⚠️ Rough Proximity missed model (2.25) | ⚠️ Driving Distance missed model (-1.61) | ✅ Fairway Proximity beat model (-0.50) | ⚠️ SG Around Green missed model (-0.362) | Δ Approach ↑ curr 50 100 fw","18417","Scheffler, Scottie",22,26,"1.663","1.858","288.900","290.507","57.15%","57.79%","1.117","1.245","0.264","-0.042","0.767","1.129","0.086","0.157","0.546","0.614","59.75%","58.26%","66.10%","69.64%","3.750","3.372","1.750","1.774","70.750","70.500","31.501","32.005","91.269","89.024","100.00%","98.40%","0.134","2.034","11.389","13.586","80.64%","77.10%","-0.057","-1.026","24.981","23.327","51.17%","45.10%","-0.163","-1.530","57.129","48.107","22.10%","38.30%","-0.033","-0.054","79.219","66.625","75.10%","75.10%","0.099","1.098","29.251","28.396","29.80%","44.10%","-0.242","-0.972","48.082","48.446"
"✅ Beat model by 11 | ✅ Rough Proximity beat model (-5.93) | ✅ Fairway Proximity beat model (-0.54) | ✅ SG Total beat model (0.378) | ⚠️ Driving Distance missed model (-0.33) | Δ Approach ↑ curr over 200 fw","18474","Smalley, Alex",24,35,"1.413","1.036","288.075","288.408","67.85%","65.44%","0.834","0.572","0.536","0.459","-0.202","-0.119","0.500","0.232","0.579","0.464","65.30%","64.74%","65.50%","63.53%","2.750","2.835","3.750","4.019","71.000","71.322","30.644","31.188","72.933","78.864","78.30%","82.20%","-0.001","-0.828","16.164","17.939","77.40%","83.70%","0.010","0.342","22.891","21.334","80.35%","63.30%","0.133","0.720","12.131","34.652","27.77%","38.70%","-0.102","0.504","86.244","63.885","71.66%","71.10%","-0.009","0.144","33.994","31.695","52.83%","50.10%","0.165","1.746","22.276","35.883"
"✅ Beat model by 21 | ✅ Rough Proximity beat model (-3.15) | ⚠️ Driving Distance missed model (-0.52) | ⚠️ Fairway Proximity missed model (0.37) | ✅ SG T2G beat model (0.304) | Δ Approach ↑ under 150 rgh","17536","Spaun, J.J.",24,45,"1.413","1.263","286.575","287.096","64.27%","63.84%","0.961","0.657","1.240","1.099","-0.495","-0.555","0.215","0.113","0.452","0.607","66.67%","65.41%","61.25%","60.91%","2.500","2.284","4.000","4.060","71.000","71.095","29.800","29.426","33.230","36.385","85.03%","84.70%","-0.030","-0.360","13.960","17.527","79.55%","78.00%","-0.017","-0.522","21.205","21.789","50.30%","50.30%","0.178","0.414","26.268","37.308","100.00%","35.10%","0.310","0.558","27.176","59.486","81.58%","70.70%","0.099","0.738","24.786","28.162","42.62%","44.90%","0.025","0.252","41.314","42.177"
"✅ Beat model by 49 | ✅ Rough Proximity beat model (-3.11) | ⚠️ Driving Distance missed model (-1.03) | ✅ Fairway Proximity beat model (-0.84) | ✅ SG Total beat model (0.442) | Δ Approach ↓ prev 50 100 fw","29770","Mouw, William",24,73,"1.413","0.972","288.825","289.860","66.05%","64.46%","1.055","0.792","0.474","0.106","-0.372","-0.329","0.953","1.015","0.358","0.180","62.50%","62.11%","50.55%","52.07%","3.750","3.418","4.000","4.121","71.000","71.386","31.027","31.867","73.292","76.400","100.00%","71.40%","-0.200","-4.734","28.222","25.203","86.85%","70.90%","0.009","-1.044","22.179","23.504","28.30%","60.70%","0.184","2.016","2.407","26.461","4.10%","34.20%","-0.122","0.450","129.587","63.199","57.85%","68.90%","-0.016","0.198","29.165","31.254","67.76%","49.20%","0.085","-0.288","35.386","44.881"
"⚠️ Missed model by 19 | ❌ Underperformed model prediction | ⚠️ Fairway Proximity missed model (2.04) | ✅ Rough Proximity beat model (-1.61) | ⚠️ Driving Distance missed model (-1.24) | ⚠️ SG Approach missed model (-0.471) | Δ Approach ↑ prev over 150 rgh","23602","Hojgaard, Nicolai",27,8,"1.163","1.421","292.825","294.060","42.85%","43.62%","-0.223","0.028","0.549","1.021","0.424","0.071","-1.196","-1.064","1.386","1.393","56.95%","59.21%","72.23%","70.09%","5.250","4.951","5.000","4.664","71.250","70.937","26.310","24.270","55.488","57.099","86.87%","89.80%","0.082","1.350","14.749","15.937","83.68%","82.50%","-0.009","0.306","20.039","20.754","60.07%","41.40%","0.049","-1.710","30.280","45.842","33.52%","38.00%","0.040","2.340","58.252","52.150","75.76%","72.80%","0.063","0.774","30.823","29.840","76.64%","62.50%","0.328","1.746","19.367","37.785"
"⚠️ Missed model by 15 | ❌ Underperformed model prediction | ⚠️ Rough Proximity missed model (2.29) | ⚠️ Driving Distance missed model (-1.52) | ✅ Fairway Proximity beat model (-0.28) | ✅ SG Around Green beat model (0.239) | Δ Approach ↑ 50 100 fw","29767","Gerard, Ryan",27,12,"1.163","1.119","286.450","287.970","64.27%","66.15%","0.679","0.649","0.012","0.026","0.287","0.049","0.381","0.575","0.484","0.469","68.08%","69.66%","63.90%","61.02%","4.500","4.485","3.000","2.661","71.250","71.239","31.090","31.372","71.968","69.678","100.00%","84.90%","0.439","0.450","4.932","18.010","81.84%","85.30%","-0.127","0.828","22.946","19.349","74.89%","60.80%","-0.024","0.396","39.637","32.710","43.12%","35.30%","0.039","-0.036","63.991","55.923","65.60%","74.40%","-0.099","1.098","35.352","28.000","52.29%","55.20%","0.095","1.188","35.098","38.719"
"⚠️ Missed model by 12 | ❌ Underperformed model prediction | ✅ Rough Proximity beat model (-3.39) | ⚠️ Driving Distance missed model (-2.40) | ✅ Fairway Proximity beat model (-0.63) | ⚠️ SG Putting missed model (-0.311) | Δ Approach ↑ curr 50 100 fw","12423","Kirk, Chris",27,15,"1.163","1.421","288.900","291.299","58.93%","62.25%","1.455","1.402","1.045","1.022","0.336","0.257","0.074","0.122","-0.292","0.019","62.53%","63.24%","73.38%","73.13%","4.500","4.640","3.000","3.185","71.250","70.937","27.584","28.211","81.855","85.246","74.29%","92.50%","0.223","3.834","11.058","11.060","88.63%","87.30%","0.127","0.504","17.937","18.537","78.23%","62.90%","0.188","1.314","17.569","34.114","15.02%","27.80%","-0.271","-1.674","86.690","81.579","74.77%","68.70%","0.047","-0.072","28.459","31.366","57.22%","46.50%","0.012","-0.126","42.762","44.912"
"≈ Near model (-9) | ❌ Underperformed model prediction | ✅ Rough Proximity beat model (-3.35) | ⚠️ Fairway Proximity missed model (1.11) | ✅ Driving Distance beat model (0.39) | ⚠️ SG Putting missed model (-0.207) | Δ Approach ↑ curr 50 100 fw","13562","Matsuyama, Hideki",27,18,"1.163","1.348","281.475","281.087","57.13%","56.36%","0.597","0.574","0.559","0.528","0.272","0.373","-0.234","-0.328","0.566","0.774","68.05%","67.68%","74.52%","74.55%","3.000","2.893","3.500","3.515","71.250","71.010","29.928","28.822","53.205","56.554","100.00%","92.20%","0.312","2.250","8.228","13.464","85.91%","78.20%","0.091","-0.306","20.992","23.287","49.76%","52.40%","-0.064","0.486","36.739","34.253","40.14%","29.00%","0.037","0.306","56.721","57.803","92.00%","73.80%","0.083","0.918","27.147","28.148","32.41%","57.10%","-0.048","1.602","44.979","36.970"
"✅ Beat model by 12 | ⚠️ Rough Proximity missed model (4.58) | ⚠️ Driving Distance missed model (-1.22) | ⚠️ Fairway Proximity missed model (0.98) | ✅ SG Putting beat model (0.326) | Δ Approach ↓ curr under 150 rgh","19840","Ramey, Chad",27,39,"1.163","1.072","286.700","287.916","64.30%","64.97%","0.562","0.796","0.282","0.265","-0.078","0.019","0.358","0.512","0.602","0.276","65.27%","64.98%","73.20%","73.93%","4.250","3.951","3.750","3.878","71.250","71.286","28.637","27.657","62.685","58.107","88.01%","84.30%","0.178","1.242","8.940","15.243","75.75%","84.60%","-0.054","0.396","21.252","20.805","85.72%","65.00%","-0.228","-1.314","53.493","44.058","52.33%","33.00%","-0.180","-0.486","49.673","62.200","72.79%","62.10%","0.088","-0.342","30.240","31.969","54.54%","56.70%","0.065","1.098","42.174","46.912"
"⚠️ Missed model by 12 | ❌ Underperformed model prediction | ✅ Fairway Proximity beat model (-0.53) | ✅ SG Total beat model (0.286) | ✅ SG T2G beat model (0.268) | ✅ Rough Proximity beat model (-0.27) | Δ Approach ↑ curr over 200 fw","16841","Lee, Min Woo",32,20,"0.913","0.628","295.625","295.656","53.57%","54.33%","0.550","0.282","-0.032","-0.053","-0.328","-0.505","0.909","0.841","0.363","0.345","61.10%","63.41%","65.70%","64.54%","5.250","4.877","4.000","3.648","71.500","71.730","27.068","27.596","71.594","71.862","70.25%","88.10%","-0.076","0.468","18.996","16.333","84.43%","83.20%","0.050","0.288","20.677","20.421","52.10%","44.40%","-0.048","-1.458","53.003","47.873","52.10%","37.60%","0.044","0.270","55.966","60.369","51.29%","63.10%","-0.078","0.252","28.262","30.178","82.10%","56.30%","0.326","2.196","24.965","42.439"
"≈ Near model (-8) | ⚠️ Rough Proximity missed model (2.99) | ⚠️ Driving Distance missed model (-0.55) | ⚠️ SG Total missed model (-0.389) | ⚠️ SG T2G missed model (-0.231) | Δ Approach ↓ prev over 200 fw","21756","Cole, Eric",32,24,"0.913","1.303","287.525","288.073","48.20%","49.25%","-0.308","-0.077","-0.064","0.101","0.609","0.730","-0.853","-0.908","1.222","1.380","52.77%","54.92%","72.92%","74.79%","3.750","4.019","3.500","3.270","71.500","71.055","35.126","35.187","45.069","42.078","100.00%","98.50%","0.345","0.090","9.390","17.580","78.54%","80.10%","0.085","0.414","17.273","20.472","44.08%","45.20%","-0.023","-0.666","40.870","41.352","54.63%","38.50%","0.301","1.548","34.442","50.363","40.47%","60.80%","-0.193","-0.576","39.396","30.862","33.22%","34.60%","-0.038","-1.548","42.570","50.709"
"≈ Near model (-4) | ⚠️ Rough Proximity missed model (4.69) | ⚠️ Driving Distance missed model (-1.48) | ✅ Fairway Proximity beat model (-0.69) | ✅ SG Putting beat model (0.261) | Δ Approach ↑ curr under 150 rgh","10419","Noren, Alex",32,28,"0.913","0.813","275.525","277.002","60.70%","59.73%","0.195","0.356","-0.078","-0.085","0.962","1.090","-0.688","-0.648","0.718","0.456","55.55%","56.24%","71.82%","72.36%","3.000","2.892","3.500","3.468","71.500","71.545","33.365","34.057","66.347","61.660","100.00%","90.00%","-0.286","0.666","32.031","17.173","83.55%","85.90%","0.042","0.270","19.967","22.077","68.75%","64.20%","0.209","1.998","20.058","29.127","27.98%","46.00%","-0.081","1.044","62.975","57.889","65.53%","66.30%","0.004","0.144","30.683","30.803","44.50%","39.00%","-0.208","-1.224","45.661","50.776"
"≈ Near model (-3) | ⚠️ Rough Proximity missed model (2.24) | ⚠️ Driving Distance missed model (-0.63) | ⚠️ Fairway Proximity missed model (0.38) | ⚠️ SG Putting missed model (-0.218) | Δ Approach ↑ prev 100 150 fw","14636","Spieth, Jordan",32,29,"0.913","1.001","291.900","292.527","50.00%","48.79%","1.497","1.367","1.360","1.394","0.714","0.523","-0.576","-0.550","-0.584","-0.366","61.13%","61.56%","68.88%","65.80%","4.250","4.384","4.500","4.346","71.500","71.357","29.820","29.440","59.629","57.393","100.00%","88.40%","0.154","0.954","8.773","15.331","74.08%","79.50%","0.081","1.458","20.534","19.147","60.36%","61.00%","0.147","1.206","36.309","32.529","25.15%","41.40%","0.006","0.324","81.976","59.864","75.32%","66.60%","0.014","-0.450","33.115","34.940","33.67%","39.30%","0.063","-0.900","34.574","50.099"
"≈ Near model (+5) | ✅ SG Total beat model (0.839) | ✅ SG T2G beat model (0.534) | ⚠️ Driving Distance missed model (-0.53) | ✅ SG Putting beat model (0.305) | Δ Approach ↑ curr 50 100 fw","18634","McNealy, Maverick",32,37,"0.913","0.074","293.875","294.402","46.42%","46.66%","0.196","-0.338","-0.153","-0.371","0.117","-0.025","0.232","0.058","0.718","0.413","55.57%","54.38%","64.67%","60.19%","3.750","3.650","3.500","3.807","71.500","72.284","32.548","32.618","70.708","70.665","87.76%","86.60%","0.189","1.422","16.554","14.686","75.04%","83.40%","-0.023","0.486","23.006","20.231","41.95%","52.70%","-0.061","-0.720","40.498","37.166","26.60%","35.10%","-0.032","0.540","87.163","63.737","74.37%","68.10%","-0.006","-0.108","30.752","32.171","56.39%","44.80%","0.073","0.432","37.070","43.011"
"✅ Beat model by 14 | ✅ Rough Proximity beat model (-2.25) | ⚠️ Fairway Proximity missed model (1.43) | ⚠️ Driving Distance missed model (-0.56) | ⚠️ SG Total missed model (-0.312) | Δ Approach ↑ prev over 200 fw","15466","Cantlay, Patrick",32,46,"0.913","1.225","288.775","289.331","67.85%","69.39%","0.803","0.897","-0.483","-0.500","0.379","0.392","0.908","1.005","0.110","0.328","61.15%","60.98%","75.13%","73.78%","2.500","2.760","3.250","3.118","71.500","71.133","37.642","36.208","56.279","58.529","83.30%","86.00%","-0.061","-0.018","16.222","14.545","86.60%","85.20%","-0.018","-0.180","23.172","22.210","66.05%","60.10%","0.146","0.612","26.970","31.355","38.90%","29.80%","-0.015","-0.378","60.658","62.257","63.18%","71.40%","-0.109","-0.162","35.422","31.791","41.98%","52.50%","0.026","0.828","47.695","39.981"
"✅ Beat model by 19 | ✅ Rough Proximity beat model (-8.21) | ⚠️ Driving Distance missed model (-1.54) | ⚠️ Fairway Proximity missed model (0.61) | ⚠️ SG T2G missed model (-0.205) | Δ Approach ↓ prev under 150 rgh","14502","Cauley, Bud",32,51,"0.913","0.964","286.375","287.918","58.93%","60.50%","1.384","1.589","0.308","0.327","1.012","1.098","0.064","0.164","-0.471","-0.625","62.53%","65.47%","86.05%","86.62%","2.500","2.515","3.250","2.997","71.500","71.394","32.050","31.441","68.209","76.420","75.32%","84.30%","-0.108","0.828","23.547","18.007","74.94%","86.20%","-0.065","0.666","26.015","20.229","73.43%","46.20%","0.101","-1.746","47.376","46.724","24.22%","26.50%","0.046","0.180","53.947","62.944","80.25%","77.00%","0.047","1.044","28.883","29.592","62.94%","36.20%","0.044","-0.810","43.477","48.751"
"✅ Beat model by 24 | ✅ Rough Proximity beat model (-3.85) | ⚠️ Driving Distance missed model (-0.38) | ✅ SG Approach beat model (0.322) | ✅ Fairway Proximity beat model (-0.25) | Δ Approach ↑ prev over 200 fw","17538","Homa, Max",32,56,"0.913","0.718","286.825","287.202","58.93%","61.28%","0.314","0.141","0.833","0.511","-0.439","-0.300","-0.081","-0.070","0.599","0.577","66.65%","66.48%","53.45%","52.52%","4.000","3.510","5.000","4.664","71.500","71.640","34.839","35.085","57.095","60.946","76.60%","82.60%","-0.219","-0.432","25.160","19.093","78.63%","75.90%","0.100","0.486","21.479","22.253","52.75%","51.50%","0.057","0.432","29.210","37.652","41.55%","41.10%","0.027","-0.414","54.737","71.711","78.64%","66.40%","0.025","-0.252","34.831","32.761","43.00%","54.20%","0.021","1.818","42.415","38.515"
"✅ Beat model by 26 | ✅ SG Total beat model (0.813) | ✅ SG T2G beat model (0.584) | ✅ Rough Proximity beat model (-0.57) | ✅ SG Approach beat model (0.310) | Δ Approach ↓ prev 50 100 fw","23014","Theegala, Sahith",32,58,"0.913","0.100","290.150","290.025","44.65%","42.73%","0.556","-0.028","1.014","0.704","0.036","-0.034","-0.494","-0.697","0.357","0.128","63.90%","63.03%","72.58%","69.20%","3.250","3.179","4.500","5.164","71.500","72.258","29.790","29.883","50.651","51.225","77.10%","73.20%","0.193","-1.566","22.119","21.716","79.97%","82.80%","0.018","0.126","26.245","21.757","67.19%","54.50%","-0.080","-0.162","35.820","36.915","42.98%","33.60%","0.187","0.828","42.197","51.021","69.72%","70.40%","0.017","0.432","25.549","28.402","77.94%","60.30%","0.208","1.566","24.879","41.630"
"✅ Beat model by 27 | ⚠️ Driving Distance missed model (-0.54) | ⚠️ Rough Proximity missed model (0.53) | ✅ SG Total beat model (0.147) | ✅ Fairway Proximity beat model (-0.13) | Δ Approach ↑ curr over 150 rgh","14704","Putnam, Andrew",32,59,"0.913","0.766","271.275","271.815","76.80%","77.07%","1.226","1.169","0.035","0.115","0.900","0.796","0.291","0.258","-0.313","-0.403","65.27%","66.94%","60.13%","58.24%","2.500","2.133","2.250","2.333","71.500","71.592","34.007","34.133","87.766","87.239","100.00%","100.00%","0.014","0.252","15.908","15.908","75.99%","80.40%","-0.029","-0.054","23.687","23.036","24.05%","58.50%","-0.199","-0.072","65.800","42.582","38.51%","36.60%","0.131","1.782","79.926","67.809","71.46%","72.00%","-0.042","0.162","37.323","33.521","64.58%","46.70%","0.127","0.954","37.783","41.999"
"⚠️ Missed model by 25 | ❌ Underperformed model prediction | ⚠️ Rough Proximity missed model (1.10) | ⚠️ Driving Distance missed model (-0.63) | ✅ SG T2G beat model (0.208) | ✅ Fairway Proximity beat model (-0.18) | Δ Approach ↑ prev under 150 rgh","12965","Fowler, Rickie",42,17,"0.663","0.571","287.950","288.580","57.13%","58.66%","0.114","-0.094","-0.028","-0.167","-0.386","-0.525","0.529","0.598","0.549","0.665","56.95%","57.34%","64.03%","64.24%","3.750","3.865","3.500","3.468","71.750","71.787","30.077","30.259","51.927","50.823","72.00%","81.60%","0.110","-0.126","9.440","18.281","85.46%","77.60%","0.073","-0.270","14.185","20.896","62.58%","68.70%","0.110","2.088","28.835","28.919","32.30%","38.50%","0.002","0.090","58.977","65.506","57.77%","71.10%","-0.065","0.630","33.310","28.804","46.54%","52.80%","-0.025","0.846","37.181","49.414"
"⚠️ Missed model by 11 | ⚠️ Rough Proximity missed model (4.03) | ⚠️ Fairway Proximity missed model (0.48) | ✅ SG Approach beat model (0.136) | ✅ SG T2G beat model (0.132) | Δ Approach ↑ curr 50 100 fw","23604","Clark, Wyndham",42,31,"0.663","0.540","295.125","295.132","67.85%","68.41%","1.145","1.012","0.924","0.788","0.731","0.837","-0.511","-0.613","-0.481","-0.473","56.97%","54.62%","54.90%","55.87%","5.000","5.185","6.250","6.887","71.750","71.818","30.438","29.960","57.032","53.006","89.77%","81.70%","0.173","1.872","10.444","12.529","75.11%","81.20%","0.000","0.306","20.483","20.527","73.05%","53.70%","0.080","1.044","43.959","42.250","81.50%","32.50%","0.273","0.252","18.909","54.070","53.16%","61.10%","-0.020","0.108","29.431","29.034","53.42%","59.80%","-0.016","-0.540","44.979","43.905"
"≈ Near model (+7) | ⚠️ Driving Distance missed model (-1.30) | ✅ Fairway Proximity beat model (-0.95) | ⚠️ Rough Proximity missed model (0.58) | ✅ SG Putting beat model (0.349) | Δ Approach ↑ curr 100 150 fw","13126","Taylor, Nick",42,49,"0.663","0.647","286.775","288.075","60.73%","63.04%","1.628","1.960","0.260","0.236","1.127","1.321","0.241","0.403","-0.965","-1.313","68.08%","67.61%","74.38%","74.21%","3.250","3.246","3.500","3.717","71.750","71.711","28.233","29.179","67.459","66.881","100.00%","94.10%","-0.021","-0.018","16.968","17.345","92.45%","89.40%","0.077","1.314","18.614","18.692","40.90%","52.90%","-0.131","0.666","49.806","34.046","28.65%","31.30%","-0.089","-0.180","64.597","58.866","76.20%","70.70%","0.067","0.018","24.101","29.046","49.72%","53.80%","0.039","0.792","42.023","40.774"
"✅ Beat model by 22 | ✅ Rough Proximity beat model (-13.29) | ⚠️ Driving Distance missed model (-1.34) | ⚠️ Fairway Proximity missed model (0.27) | ✅ SG Total beat model (0.221) | Δ Approach ↓ prev under 150 rgh","28469","Highsmith, Joe",42,64,"0.663","0.442","288.975","290.313","51.77%","50.75%","0.319","0.130","1.254","1.184","0.325","0.316","-1.260","-1.370","0.344","0.312","61.10%","60.16%","77.30%","76.33%","4.250","4.088","4.500","4.794","71.750","71.916","25.554","25.284","112.851","126.144","73.99%","78.60%","-0.024","-0.342","16.180","18.983","77.38%","77.70%","0.094","0.882","16.234","20.320","89.26%","58.30%","0.095","-1.404","36.383","42.496","34.09%","33.50%","-0.061","-0.684","107.392","68.711","69.82%","63.50%","0.005","-0.846","27.613","30.821","66.95%","47.10%","0.227","0.774","24.992","40.932"
"⚠️ Missed model by 23 | ⚠️ Rough Proximity missed model (2.26) | ⚠️ Driving Distance missed model (-1.83) | ⚠️ Fairway Proximity missed model (0.28) | ⚠️ SG T2G missed model (-0.256) | Δ Approach ↑ curr over 150 rgh","10091","McIlroy, Rory",46,23,"0.413","0.590","303.475","305.300","58.93%","60.18%","1.756","2.012","0.183","0.320","0.335","0.273","1.238","1.419","-1.343","-1.423","66.67%","68.63%","56.95%","55.09%","4.250","4.152","4.250","4.255","72.000","71.768","27.586","27.304","58.787","56.526","77.80%","85.20%","-0.190","0.252","22.438","16.512","95.67%","87.60%","0.067","0.180","17.688","20.643","35.36%","57.60%","-0.295","0.018","63.520","39.714","37.33%","67.10%","0.340","3.726","30.256","38.094","72.28%","69.10%","-0.087","-0.414","27.906","28.786","55.37%","60.20%","0.166","2.448","28.037","36.936"
"⚠️ Missed model by 21 | ✅ Rough Proximity beat model (-6.58) | ✅ SG T2G beat model (0.675) | ✅ SG Total beat model (0.606) | ✅ SG Around Green beat model (0.499) | Δ Approach ↑ prev 50 100 fw","17365","Mitchell, Keith",46,25,"0.413","-0.193","298.275","297.962","48.20%","47.73%","0.500","-0.174","-0.456","-0.412","0.623","0.123","0.333","0.114","-0.087","-0.019","47.23%","47.39%","73.80%","69.27%","3.500","3.086","2.500","2.468","72.000","72.551","33.983","34.465","58.545","65.128","70.50%","88.70%","-0.057","1.314","18.692","14.461","58.84%","82.40%","-0.184","-0.018","28.270","21.893","43.29%","56.80%","0.051","0.450","36.624","37.835","38.16%","35.10%","0.145","0.738","66.743","57.084","65.24%","74.30%","0.029","0.864","30.064","28.446","27.12%","40.80%","-0.008","-0.270","41.375","43.290"
"≈ Near model (-3) | ✅ Rough Proximity beat model (-0.50) | ⚠️ Fairway Proximity missed model (0.30) | ✅ SG T2G beat model (0.205) | ⚠️ Driving Distance missed model (-0.20) | Δ Approach ↓ over 200 fw","17780","Pendrith, Taylor",46,43,"0.413","0.314","293.225","293.423","75.00%","77.19%","1.499","1.294","-0.745","-0.924","1.109","0.958","1.135","1.260","-1.086","-0.980","59.75%","59.45%","77.15%","75.12%","4.000","3.648","3.750","3.402","72.000","72.044","32.511","32.209","57.017","57.519","92.39%","82.50%","-0.007","-0.252","18.150","16.968","68.81%","75.30%","0.042","-0.126","20.660","22.746","98.80%","66.50%","0.224","0.954","34.090","40.863","42.68%","43.60%","0.010","0.342","54.699","58.977","64.50%","69.00%","0.002","0.108","32.174","33.614","29.72%","46.10%","-0.373","-0.540","48.095","45.392"
"✅ Beat model by 46 | ⚠️ Fairway Proximity missed model (0.83) | ⚠️ Rough Proximity missed model (0.82) | ✅ Driving Distance beat model (0.77) | ✅ SG Total beat model (0.364) | Δ Approach ↓ curr 50 100 fw","20722","Schmid, Matti",46,92,"0.413","0.049","289.175","288.410","55.35%","55.75%","-0.285","-0.349","-0.381","-0.387","0.179","0.154","-0.083","-0.116","0.698","0.398","54.17%","54.81%","61.05%","60.21%","3.750","3.345","3.500","3.300","72.000","72.309","33.199","32.372","41.827","41.003","74.77%","68.80%","-0.178","-2.754","16.230","19.964","74.70%","70.50%","-0.043","-1.638","27.462","28.470","49.68%","54.90%","-0.201","-1.458","24.510","39.456","58.70%","36.70%","0.214","-0.540","35.045","60.624","67.57%","71.00%","0.065","-0.270","29.633","32.872","17.54%","40.00%","-0.089","-0.486","44.671","46.319"
