"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 16 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-3.97) | ⚠️ Driving Distance missed model (-1.28) | ⚠️ Fairway Proximity missed model (0.32) | ✅ SG Around Green beat model (0.313) | Δ Approach ↓ curr 50 100 fw","16283","Rodgers, Patrick",11,27,"2.163","2.085","292.400","293.676","64.27%","64.15%","1.488","1.283","0.043","0.278","0.790","0.477","0.654","0.529","0.676","0.802","75.02%","75.97%","67.85%","65.75%","4.250","4.333","3.750","3.912","70.250","70.273","33.362","33.044","60.897","64.870","100.00%","77.80%","-0.210","-2.898","25.480","21.987","94.69%","83.10%","0.051","0.162","21.521","22.081","52.29%","50.60%","-0.050","-0.198","50.608","44.173","42.50%","42.50%","-0.029","1.440","61.876","52.924","84.17%","70.20%","0.050","0.630","32.178","30.582","48.46%","53.50%","-0.010","0.612","45.375","47.630"
"✅ Beat model by 27 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-12.51) | ✅ Fairway Proximity beat model (-0.77) | ✅ SG Approach beat model (0.369) | ⚠️ SG Around Green missed model (-0.339) | Δ Approach ↓ curr under 150 rgh","8825","Harman, Brian",11,38,"2.163","2.028","289.175","289.492","67.85%","67.22%","2.232","2.142","0.215","-0.154","1.259","1.598","0.757","0.698","-0.069","-0.115","59.75%","58.35%","70.92%","74.36%","3.000","3.047","4.500","4.636","70.250","70.330","32.581","33.353","39.800","52.313","100.00%","89.50%","0.171","0.666","11.022","14.732","84.40%","78.10%","0.150","0.126","17.114","19.269","64.50%","54.90%","-0.202","-1.800","63.948","42.361","42.83%","37.80%","0.064","0.666","40.973","65.764","59.58%","66.00%","-0.008","0.180","33.284","30.007","29.05%","43.30%","-0.171","-0.612","46.507","43.879"
"≈ Near model (-9) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (3.90) | ⚠️ Driving Distance missed model (-2.02) | ✅ Fairway Proximity beat model (-0.42) | ✅ SG Putting beat model (0.173) | Δ Approach ↑ prev under 150 rgh","6093","Rose, Justin",13,4,"1.913","1.752","289.650","291.673","60.67%","62.10%","1.133","1.144","0.228","0.174","1.050","1.100","-0.145","-0.129","0.781","0.608","63.90%","66.12%","70.50%","68.88%","4.250","4.165","4.250","4.333","70.500","70.606","32.054","32.479","40.648","36.750","100.00%","96.30%","-0.061","1.494","12.753","15.174","78.97%","83.60%","-0.070","-0.126","27.163","23.294","48.37%","71.10%","0.090","2.988","39.019","33.199","69.73%","59.10%","0.336","2.574","31.399","43.183","68.55%","66.80%","-0.028","-0.270","27.356","27.163","76.37%","57.10%","0.091","0.882","41.295","47.098"
"≈ Near model (-7) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (2.64) | ⚠️ Driving Distance missed model (-1.37) | ✅ Fairway Proximity beat model (-0.86) | ⚠️ SG T2G missed model (-0.182) | Δ Approach ↑ curr over 150 rgh","16243","Koepka, Brooks",13,6,"1.913","1.950","295.225","296.592","53.57%","54.23%","2.202","2.384","1.687","1.867","0.158","0.261","0.357","0.256","-0.289","-0.434","69.45%","69.45%","67.40%","67.67%","4.500","4.669","2.500","2.347","70.500","70.408","27.777","28.638","60.748","58.104","85.04%","93.50%","0.101","1.242","12.515","13.944","100.00%","92.00%","0.044","0.270","20.250","22.144","49.11%","51.00%","0.026","0.396","37.927","41.988","56.66%","60.10%","0.239","3.690","31.658","37.386","72.20%","65.60%","0.065","0.360","23.497","27.952","67.88%","52.70%","0.100","0.396","41.350","41.014"
"≈ Near model (-6) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-3.11) | ✅ Fairway Proximity beat model (-0.84) | ✅ Driving Distance beat model (0.83) | ⚠️ SG Total missed model (-0.500) | Δ Approach ↑ curr 50 100 fw","19483","Burns, Sam",13,7,"1.913","2.413","292.300","291.469","60.70%","59.06%","-0.010","0.246","-0.178","-0.175","-0.358","-0.050","0.526","0.472","1.923","2.167","63.90%","64.32%","63.90%","65.17%","5.250","5.259","5.250","5.028","70.500","69.945","28.664","29.506","57.260","60.368","100.00%","98.50%","0.155","2.160","14.020","13.520","69.10%","78.10%","-0.091","-0.504","28.366","23.520","48.40%","58.00%","-0.013","-0.162","55.488","42.800","54.60%","40.60%","0.169","0.018","36.905","53.355","85.47%","66.90%","0.065","0.684","27.850","30.287","64.47%","43.90%","0.086","-1.242","30.469","48.650"
"✅ Success aligned with model | ✅ Rough Proximity beat model (-19.76) | ⚠️ Driving Distance missed model (-1.25) | ⚠️ Fairway Proximity missed model (1.23) | ✅ SG T2G beat model (0.631) | Δ Approach ↑ prev 50 100 fw","22985","Smotherman, Austin",13,13,"1.913","1.380","288.575","289.828","75.00%","76.33%","2.320","1.688","1.219","0.762","-0.377","-0.565","1.477","1.491","-0.406","-0.309","77.78%","76.25%","52.18%","50.40%","3.500","2.885","2.750","2.663","70.500","70.978","31.613","30.383","39.776","59.531","100.00%","100.00%","-0.129","1.530","22.434","15.711","80.18%","88.00%","-0.012","1.314","21.075","18.842","97.65%","61.90%","0.223","1.764","19.304","29.672","56.54%","37.40%","0.317","1.422","41.041","54.352","85.13%","73.40%","0.120","0.900","24.429","27.896","36.60%","48.60%","-0.025","1.440","53.141","37.806"
"✅ Success aligned with model | ⚠️ Rough Proximity missed model (2.13) | ⚠️ Driving Distance missed model (-0.93) | ⚠️ Fairway Proximity missed model (0.40) | ⚠️ SG Approach missed model (-0.272) | Δ Approach ↑ curr under 150 rgh","26096","Bhatia, Akshay",13,14,"1.913","1.980","290.275","291.206","76.80%","74.55%","1.725","1.631","1.815","2.087","-1.089","-1.346","0.999","0.890","0.188","0.349","69.45%","69.11%","62.25%","60.28%","6.000","6.322","3.750","4.187","70.500","70.378","24.719","24.324","64.132","62.000","100.00%","95.80%","0.060","-0.108","10.226","16.900","83.63%","91.50%","0.053","1.224","17.893","18.525","85.60%","65.20%","0.208","1.548","22.210","38.564","5.52%","26.30%","-0.101","0.504","72.270","53.737","77.08%","70.80%","0.188","0.936","21.071","28.285","62.62%","44.80%","0.115","-0.252","32.155","38.668"
"≈ Near model (+6) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (3.59) | ⚠️ Driving Distance missed model (-0.63) | ✅ Fairway Proximity beat model (-0.52) | ✅ SG Total beat model (0.409) | Δ Approach ↑ prev under 150 rgh","14578","Henley, Russell",13,19,"1.913","1.504","281.175","281.809","69.65%","71.67%","1.242","0.951","0.756","0.447","0.125","0.034","0.361","0.470","0.672","0.553","66.67%","66.17%","64.85%","63.02%","3.750","3.788","2.000","2.447","70.500","70.854","33.910","34.426","38.157","34.571","86.62%","80.60%","-0.060","0.450","17.047","15.191","81.92%","80.50%","0.147","0.990","19.142","20.063","78.77%","75.20%","-0.021","1.548","25.077","29.001","37.50%","28.70%","0.042","-0.036","42.210","54.486","75.11%","70.80%","0.072","0.774","27.740","30.413","64.08%","42.70%","0.024","-0.360","58.181","51.614"
"✅ Beat model by 21 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-2.18) | ✅ Fairway Proximity beat model (-0.99) | ✅ Rough Proximity beat model (-0.64) | ✅ SG Total beat model (0.208) | Δ Approach ↑ prev under 150 rgh","22760","Hisatsune, Ryo",13,34,"1.913","1.705","288.050","290.233","53.55%","56.08%","2.690","2.626","1.251","1.058","0.748","0.841","0.691","0.728","-0.776","-0.921","77.78%","77.42%","61.48%","64.22%","2.750","2.372","4.000","3.863","70.500","70.653","31.649","32.643","46.230","46.871","100.00%","86.70%","-0.201","-1.584","27.581","20.015","100.00%","89.10%","0.208","0.126","13.479","20.347","69.89%","70.20%","0.043","1.548","31.292","31.109","55.90%","36.40%","0.247","0.630","37.409","60.987","85.26%","72.70%","0.103","0.666","31.151","31.442","50.44%","54.40%","-0.020","1.422","47.307","44.779"
"✅ Beat model by 23 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-7.76) | ⚠️ Fairway Proximity missed model (1.31) | ⚠️ Driving Distance missed model (-0.84) | ✅ SG Total beat model (0.517) | Δ Approach ↑ prev 50 100 fw","18841","Hovland, Viktor",13,36,"1.913","1.396","282.375","283.216","55.35%","55.40%","1.761","1.530","0.339","0.274","1.877","1.744","-0.456","-0.488","0.153","-0.134","55.55%","54.45%","82.13%","81.21%","4.250","4.212","4.250","4.552","70.500","70.962","32.658","31.351","78.158","85.916","69.60%","81.00%","0.081","1.566","15.111","14.376","74.90%","79.70%","-0.049","0.468","27.481","20.455","50.24%","61.00%","-0.114","0.162","49.369","34.383","22.20%","28.80%","-0.036","-0.468","84.887","74.713","85.94%","76.30%","0.060","1.278","28.275","25.684","21.25%","38.80%","-0.081","-0.630","44.930","43.857"
