course_num,n,slope,intercept,r,t_stat,p_value
500,1148,-3.038095,55.754926,-0.291392,-10.311868,0.000000
9,1435,-2.333779,55.562595,-0.248087,-9.694412,0.000000
928,4591,-0.647685,57.646130,-0.186304,-12.845540,0.000000
11,3498,-0.752284,58.209611,-0.157656,-9.439786,0.000000
12,3236,-0.840214,58.137107,-0.176871,-10.219461,0.000000
714,1557,-2.236887,59.423542,-0.260068,-10.620838,0.000000
21,1461,-1.874627,55.005811,-0.206005,-8.041207,0.000000
510,694,-4.740348,53.676762,-0.283340,-7.772023,0.000000
5,694,-4.740348,53.676762,-0.283340,-7.772023,0.000000
6,2373,-0.978866,56.224453,-0.152813,-7.529332,0.000000
665,2490,-0.941652,55.756905,-0.147581,-7.442839,0.000000
770,1654,-0.693558,57.123460,-0.066557,-2.711225,0.006704
