"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 40","27194","Hall, Harry",28,68,"","0.406","","293.640","","52.57%","","-0.105","","0.045","","0.219","","-0.368","","0.372","","64.13%","","62.88%","","3.141","","3.869","","71.064","","4.377","","33.512","","65.411","","88.80%","","0.270","","16.341","","86.40%","","0.918","","19.360","","56.50%","","-0.504","","42.040","","34.70%","","-1.476","","71.553","","73.30%","","0.612","","27.142","","32.10%","","-1.404","","54.401"
"✅ Beat model by 63","25908","Whaley, Vince",28,91,"","-0.190","","284.395","","51.36%","","-1.864","","-0.877","","-0.239","","-0.748","","1.619","","55.91%","","70.32%","","3.575","","3.569","","71.353","","3.630","","38.201","","57.483","","89.20%","","2.142","","13.722","","78.00%","","-1.116","","25.150","","61.60%","","0.504","","36.032","","26.20%","","-1.440","","80.937","","60.90%","","-1.404","","36.097","","35.70%","","-3.006","","60.400"
"✅ Beat model by 76","28159","Meissner, Mac",28,104,"","-0.666","","286.638","","46.87%","","-0.428","","-0.005","","-0.414","","-0.009","","-0.242","","60.94%","","63.90%","","2.449","","3.186","","72.115","","2.750","","29.638","","52.371","","86.40%","","0.234","","15.668","","89.20%","","1.098","","20.229","","67.10%","","0.648","","35.144","","23.80%","","-0.270","","57.012","","72.10%","","0.432","","27.815","","50.20%","","-0.216","","42.464"
"✅ Beat model by 79","24968","Griffin, Ben",28,107,"","-0.434","","283.836","","55.09%","","-0.667","","-0.284","","0.164","","-0.547","","0.032","","60.38%","","68.41%","","2.489","","3.975","","71.836","","3.480","","32.624","","93.236","","75.60%","","-1.458","","16.496","","80.80%","","-0.360","","21.439","","57.80%","","-0.828","","45.311","","38.20%","","0.630","","66.465","","66.60%","","-0.738","","32.624","","48.20%","","-0.612","","51.068"
"✅ Beat model by 84","29197","Brennan, Michael",28,112,"","-0.770","","295.492","","60.85%","","-0.266","","-0.066","","-0.564","","0.364","","-0.659","","58.06%","","53.42%","","4.189","","6.374","","72.446","","3.715","","32.513","","59.095","","84.10%","","1.944","","13.443","","79.80%","","0.162","","22.896","","59.30%","","-0.738","","41.928","","27.40%","","1.368","","49.586","","54.70%","","-0.756","","32.559","","40.60%","","0.234","","41.452"
"✅ Beat model by 92","29279","Suber, Jackson",28,120,"","-1.571","","289.764","","41.89%","","-0.945","","-0.345","","0.005","","-0.605","","-0.720","","61.33%","","67.51%","","2.952","","4.668","","72.567","","2.694","","31.588","","47.507","","70.60%","","-4.068","","27.853","","79.80%","","0.360","","20.782","","63.70%","","1.260","","34.013","","57.50%","","2.304","","50.779","","63.40%","","-0.486","","31.180","","39.60%","","-2.124","","43.726"
"⚠️ Missed model by 21 | ❌ Underperformed model prediction","11676","Finau, Tony",39,18,"","0.285","","286.661","","43.92%","","0.708","","0.478","","1.121","","-0.892","","-0.505","","53.44%","","72.70%","","3.529","","4.310","","70.996","","3.592","","31.365","","46.691","","81.60%","","-0.522","","18.069","","72.60%","","-1.170","","23.919","","47.60%","","-0.990","","40.671","","40.90%","","0.432","","55.709","","70.50%","","0.936","","28.349","","38.50%","","-0.234","","44.867"
"✅ Beat model by 42","26653","Eckroat, Austin",39,81,"","-0.024","","286.061","","53.75%","","0.109","","0.822","","-0.762","","0.053","","-0.471","","66.29%","","55.67%","","3.768","","4.824","","70.974","","3.942","","29.544","","43.119","","85.20%","","-2.628","","23.993","","80.60%","","1.512","","17.925","","65.70%","","1.314","","33.202","","36.30%","","0.360","","51.953","","67.80%","","0.702","","28.214","","33.50%","","-0.792","","46.352"
"✅ Beat model by 43","14792","Saddier, Adrien",39,82,"","-0.871","","285.570","","64.33%","","0.045","","-0.309","","-0.472","","0.827","","-0.740","","65.73%","","60.94%","","2.357","","3.420","","71.828","","3.088","","32.194","","43.197","","92.80%","","-0.486","","15.527","","78.50%","","-0.252","","21.497","","66.70%","","-0.810","","36.634","","35.80%","","0.054","","64.036","","60.60%","","-0.432","","31.959","","36.20%","","-1.404","","46.132"
"✅ Beat model by 59","12426","Waring, Paul",39,98,"","-1.003","","289.862","","52.77%","","-0.826","","-0.406","","-0.448","","0.032","","0.104","","60.27%","","61.70%","","2.811","","4.933","","72.004","","3.278","","31.956","","41.471","","67.40%","","0.324","","14.405","","0.00%","","0.000","","0.000","","54.20%","","-2.034","","37.586","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 96","21889","Kang, Jeffrey",39,135,"","-2.893","","284.157","","43.51%","","-2.521","","-0.853","","-0.144","","-1.523","","-0.682","","51.88%","","52.70%","","2.359","","6.040","","74.108","","2.703","","35.010","","41.959","","92.40%","","0.126","","17.124","","74.00%","","-0.756","","22.540","","51.20%","","0.918","","31.642","","41.10%","","1.188","","40.421","","64.60%","","-0.432","","30.861","","11.00%","","-3.474","","63.071"
"⚠️ Missed model by 42 | ❌ Underperformed model prediction","18586","Smith, Jordan",44,2,"","1.424","","289.609","","59.43%","","1.491","","0.311","","0.340","","0.840","","0.058","","70.14%","","68.10%","","3.184","","2.861","","69.548","","4.207","","31.117","","59.947","","82.90%","","-0.018","","17.943","","79.00%","","-0.810","","24.645","","52.60%","","0.828","","36.292","","32.70%","","0.252","","66.995","","71.10%","","0.108","","31.097","","63.60%","","1.152","","43.216"
"≈ Near model (-4)","14704","Putnam, Andrew",44,40,"","0.333","","268.291","","73.05%","","0.324","","-0.017","","0.421","","-0.081","","-0.005","","61.50%","","68.42%","","2.366","","2.381","","70.924","","2.904","","33.047","","57.783","","85.10%","","0.216","","15.200","","75.40%","","-0.720","","24.064","","59.00%","","-0.270","","43.271","","41.30%","","2.070","","64.025","","71.20%","","-0.126","","33.291","","46.30%","","0.864","","42.277"
"✅ Beat model by 12","27819","Castillo, Ricky",44,56,"","-0.146","","285.198","","51.90%","","-0.232","","-0.191","","0.084","","-0.125","","0.031","","57.25%","","63.63%","","3.001","","3.751","","71.471","","3.206","","32.598","","51.292","","69.00%","","-1.602","","18.813","","82.40%","","-0.720","","24.415","","47.90%","","0.000","","34.974","","32.90%","","0.486","","56.674","","67.00%","","-0.072","","31.981","","46.60%","","-0.432","","51.006"
"✅ Beat model by 23","29770","Mouw, William",44,67,"","0.611","","289.920","","65.95%","","0.375","","-0.009","","-0.373","","0.757","","0.242","","65.48%","","59.37%","","3.242","","4.004","","70.866","","4.307","","33.125","","68.430","","71.70%","","-4.698","","24.853","","70.60%","","-1.044","","23.309","","60.40%","","2.016","","26.176","","34.60%","","0.450","","63.484","","69.60%","","0.234","","31.025","","47.40%","","-0.270","","46.103"
"✅ Beat model by 27","13764","Parry, John",48,75,"","0.015","","282.047","","60.88%","","0.106","","0.092","","-0.284","","0.298","","-0.511","","59.05%","","63.81%","","2.381","","4.060","","70.887","","3.331","","32.865","","44.370","","79.40%","","-1.998","","19.281","","75.50%","","-0.648","","22.188","","66.20%","","1.368","","32.840","","30.90%","","0.216","","55.288","","71.50%","","0.288","","32.734","","54.10%","","0.144","","42.803"
"✅ Beat model by 60","26657","Fisk, Steven",48,108,"","-0.355","","286.832","","60.09%","","-0.034","","0.068","","-0.067","","-0.035","","-0.266","","60.49%","","66.08%","","2.902","","3.819","","71.873","","3.570","","32.233","","45.776","","71.30%","","-1.278","","21.022","","81.70%","","-0.054","","21.455","","58.20%","","0.090","","39.994","","32.10%","","-1.134","","64.461","","64.10%","","-0.432","","32.733","","42.80%","","-0.018","","41.082"
"✅ Beat model by 80","17550","Van Rooyen, Erik",48,128,"","-1.694","","291.828","","49.22%","","-1.307","","-1.070","","-0.146","","-0.091","","-0.297","","55.93%","","53.89%","","3.431","","4.651","","73.111","","3.016","","35.530","","58.011","","84.50%","","-0.180","","16.961","","80.90%","","-0.810","","26.259","","55.60%","","-0.882","","43.101","","38.80%","","1.314","","58.314","","53.70%","","-2.502","","37.067","","31.20%","","-1.944","","49.049"
"⚠️ Missed model by 34 | ❌ Underperformed model prediction","19960","Pavon, Matthieu",51,17,"","0.863","","287.434","","53.66%","","-0.448","","-0.441","","0.001","","-0.009","","1.533","","57.18%","","67.33%","","4.186","","3.552","","70.320","","3.534","","35.509","","51.533","","85.50%","","-1.998","","24.578","","76.20%","","-0.576","","23.036","","62.50%","","0.342","","39.823","","23.50%","","-0.630","","54.735","","62.20%","","-0.684","","35.167","","50.20%","","-0.450","","52.847"
"⚠️ Missed model by 23","21756","Cole, Eric",51,28,"","0.395","","285.463","","47.96%","","0.098","","0.141","","0.655","","-0.698","","0.151","","56.79%","","66.77%","","3.169","","3.591","","71.170","","3.723","","33.100","","52.225","","98.90%","","0.126","","17.269","","79.60%","","0.342","","20.361","","42.30%","","-1.260","","44.315","","38.70%","","1.476","","50.360","","62.90%","","-0.270","","30.294","","35.30%","","-1.386","","50.486"
"⚠️ Missed model by 21","18103","Bezuidenhout, Christiaan",51,30,"","0.667","","278.032","","54.52%","","0.255","","0.190","","0.453","","-0.388","","0.320","","59.23%","","71.45%","","3.040","","2.587","","70.453","","3.672","","33.095","","61.195","","88.00%","","2.178","","12.962","","72.90%","","-0.720","","21.539","","44.60%","","0.378","","38.450","","34.30%","","0.018","","65.194","","68.30%","","-0.234","","33.011","","59.60%","","0.342","","52.303"
"⚠️ Missed model by 10","20706","Wallace, Matt",51,41,"","0.080","","285.505","","56.73%","","0.034","","0.080","","-0.166","","0.119","","-0.008","","62.82%","","69.84%","","2.809","","3.444","","70.725","","3.118","","30.173","","50.079","","87.30%","","1.710","","13.895","","79.90%","","-0.792","","22.131","","41.40%","","-1.242","","35.687","","25.60%","","-1.674","","67.147","","68.60%","","0.378","","32.827","","48.00%","","1.368","","35.319"
"≈ Near model (-8)","12423","Kirk, Chris",51,43,"","0.253","","291.114","","61.82%","","0.542","","0.518","","-0.036","","0.061","","-0.188","","63.65%","","65.17%","","4.055","","4.032","","71.504","","3.756","","30.622","","69.589","","92.50%","","3.870","","10.898","","86.90%","","0.486","","18.414","","62.30%","","1.296","","33.926","","28.20%","","-1.692","","81.965","","69.40%","","-0.036","","31.218","","45.20%","","-0.108","","45.375"
"⚠️ Missed model by 22","24766","Kim, Tom",56,34,"","0.560","","279.372","","56.03%","","0.884","","1.047","","0.417","","-0.581","","-0.419","","67.15%","","66.20%","","3.204","","3.724","","70.106","","3.892","","30.668","","46.386","","87.00%","","0.648","","17.193","","81.70%","","0.828","","19.588","","58.90%","","-1.224","","41.285","","34.80%","","0.540","","56.629","","67.20%","","0.306","","31.115","","42.80%","","-1.404","","48.066"
"≈ Near model (-8)","23048","Stanger, Jimmy",56,48,"","0.421","","290.635","","60.12%","","-0.160","","-0.645","","-0.082","","0.567","","0.195","","60.54%","","60.80%","","2.955","","3.033","","70.464","","3.843","","34.651","","44.041","","99.20%","","0.864","","14.046","","70.60%","","-1.350","","27.050","","80.60%","","3.582","","26.360","","32.70%","","-0.054","","51.768","","62.90%","","-1.512","","39.947","","35.70%","","-4.932","","45.299"
"✅ Beat model by 54","12920","Willett, Danny",56,110,"","-1.202","","277.216","","55.41%","","-2.060","","-1.592","","0.014","","-0.482","","0.252","","55.87%","","55.21%","","2.675","","3.998","","72.206","","2.712","","36.754","","56.407","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","50.20%","","0.306","","30.884","","7.20%","","-2.268","","58.408","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"","6169","",56,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"⚠️ Missed model by 47 | ❌ Underperformed model prediction","17488","Im, Sungjae",60,13,"","0.473","","287.094","","51.92%","","-0.224","","-0.379","","0.417","","-0.262","","0.493","","57.45%","","60.87%","","4.168","","3.501","","70.629","","3.906","","32.340","","50.231","","85.50%","","0.936","","12.617","","79.00%","","-0.036","","20.618","","66.50%","","1.116","","30.652","","32.90%","","0.846","","50.595","","63.00%","","-1.962","","34.839","","49.50%","","1.260","","38.876"
"⚠️ Missed model by 11","16715","Ryder, Sam",60,49,"","-0.631","","283.573","","58.96%","","-0.216","","0.363","","-0.597","","0.018","","0.015","","63.45%","","59.28%","","2.626","","4.203","","71.607","","2.806","","29.377","","60.057","","92.60%","","3.366","","10.196","","91.70%","","0.972","","23.729","","83.90%","","3.114","","25.638","","37.70%","","-1.332","","84.793","","65.70%","","-0.270","","29.761","","48.20%","","0.000","","37.211"
"✅ Beat model by 10","21891","Kitayama, Kurt",60,70,"","0.040","","293.516","","51.42%","","0.714","","0.699","","-0.266","","0.281","","-0.811","","60.87%","","68.81%","","3.079","","3.698","","71.392","","2.955","","27.880","","54.760","","85.00%","","-1.674","","18.858","","76.60%","","0.018","","20.343","","70.90%","","1.494","","28.868","","38.10%","","1.440","","45.908","","71.50%","","1.152","","27.737","","49.90%","","0.036","","41.889"
"✅ Beat model by 17","19729","Kanaya, Takumi",60,77,"","-0.581","","276.609","","62.81%","","-0.252","","-1.070","","0.806","","0.012","","-0.178","","53.93%","","69.09%","","2.383","","3.017","","71.918","","2.352","","36.536","","59.717","","86.50%","","-0.126","","16.671","","74.90%","","-0.900","","22.804","","55.10%","","0.000","","34.255","","28.00%","","-0.702","","63.730","","60.10%","","-0.738","","36.531","","29.90%","","-2.466","","60.809"
"✅ Beat model by 70","19872","Riley, Davis",60,130,"","-2.472","","291.678","","48.82%","","-2.151","","-0.347","","-0.472","","-1.332","","-0.771","","54.21%","","56.13%","","3.240","","6.369","","73.874","","3.506","","31.738","","58.586","","75.90%","","-1.296","","19.166","","90.00%","","1.404","","17.392","","52.10%","","-1.602","","47.585","","33.00%","","0.468","","68.905","","63.80%","","-1.260","","34.274","","36.90%","","-1.098","","58.259"
"✅ Beat model by 23","18424","Roy, Kevin",65,88,"","-0.743","","285.161","","58.97%","","-0.671","","-0.593","","0.072","","-0.150","","-0.101","","57.27%","","62.42%","","2.606","","3.712","","72.007","","3.269","","30.820","","59.732","","83.40%","","0.504","","17.133","","74.60%","","-0.306","","23.786","","67.70%","","-0.144","","33.460","","36.50%","","0.900","","61.604","","68.20%","","-0.972","","32.220","","43.00%","","-0.468","","43.020"
"✅ Beat model by 54","14926","Malnati, Peter",65,119,"","-0.376","","285.867","","50.64%","","-1.268","","-0.571","","-0.198","","-0.499","","0.343","","57.07%","","60.31%","","3.221","","4.670","","71.399","","3.511","","38.219","","50.606","","0.00%","","0.000","","0.000","","79.90%","","-0.522","","20.715","","61.30%","","0.270","","29.306","","16.60%","","-1.764","","68.670","","58.70%","","-0.990","","37.374","","26.20%","","-2.988","","49.807"
"✅ Beat model by 62","25157","Hodges, Lee",65,127,"","0.282","","285.694","","60.54%","","0.385","","0.274","","-0.289","","0.400","","0.176","","58.18%","","67.37%","","3.815","","3.004","","70.857","","3.672","","30.947","","59.116","","78.40%","","-0.972","","19.631","","86.20%","","0.252","","20.373","","46.10%","","-1.602","","44.889","","8.90%","","-2.898","","69.367","","72.10%","","0.522","","30.723","","52.70%","","0.540","","45.094"
"⚠️ Missed model by 26","25003","Walker, Danny",68,42,"","0.448","","289.460","","45.95%","","-0.411","","0.270","","-0.048","","-0.650","","0.990","","59.81%","","58.28%","","4.240","","4.001","","70.861","","4.179","","32.199","","57.664","","83.00%","","-0.288","","17.256","","79.50%","","0.774","","23.272","","59.80%","","0.594","","41.401","","32.00%","","-0.288","","58.409","","60.00%","","-0.378","","32.056","","46.80%","","-0.936","","43.802"
"⚠️ Missed model by 24","26850","Svensson, Jesper",69,45,"","-0.001","","303.940","","59.01%","","1.006","","0.050","","0.339","","0.616","","-1.438","","63.16%","","60.62%","","4.724","","4.675","","70.870","","4.310","","31.123","","49.858","","0.00%","","0.000","","0.000","","83.40%","","0.702","","18.775","","40.80%","","0.018","","35.219","","34.50%","","-0.558","","56.300","","62.40%","","-0.756","","35.439","","58.90%","","0.738","","41.733"
"✅ Beat model by 65","24342","Higgo, Garrick",69,134,"","-2.184","","290.095","","50.38%","","-2.067","","-0.494","","-1.018","","-0.555","","-0.169","","58.15%","","54.51%","","2.816","","4.407","","73.532","","2.561","","35.580","","64.327","","72.80%","","-1.386","","18.434","","84.50%","","-0.198","","22.704","","40.90%","","-2.250","","43.610","","27.70%","","-1.152","","68.856","","60.60%","","-0.450","","33.476","","44.10%","","0.144","","42.506"
"⚠️ Missed model by 20","12808","Grillo, Emiliano",71,51,"","0.423","","278.289","","57.09%","","0.404","","0.348","","0.146","","-0.090","","0.119","","63.09%","","65.36%","","3.061","","3.440","","70.594","","3.937","","31.356","","51.119","","70.80%","","-1.584","","18.630","","84.60%","","0.324","","21.522","","56.00%","","0.360","","34.501","","32.50%","","-0.270","","52.935","","68.10%","","0.054","","29.881","","49.40%","","0.234","","42.979"
"✅ Beat model by 32","11451","Garnett, Brice",71,103,"","-1.061","","279.106","","59.38%","","-1.546","","-1.210","","0.242","","-0.578","","0.198","","56.59%","","66.27%","","1.811","","3.478","","72.000","","2.958","","32.706","","66.435","","93.00%","","1.404","","13.289","","80.10%","","-0.270","","21.702","","87.40%","","2.610","","23.964","","31.80%","","-1.404","","70.234","","65.00%","","-0.630","","32.458","","33.50%","","-1.584","","49.865"
"✅ Beat model by 53","15575","Hoge, Tom",71,124,"","-1.964","","281.200","","52.48%","","-1.419","","0.044","","-0.273","","-1.189","","-0.440","","57.90%","","58.43%","","2.870","","5.761","","73.309","","3.372","","30.360","","61.015","","84.60%","","1.944","","13.570","","74.90%","","-0.180","","20.241","","71.00%","","1.764","","33.439","","35.90%","","-0.054","","60.202","","57.90%","","-0.432","","31.094","","50.10%","","-0.036","","43.968"
"⚠️ Missed model by 30","20722","Schmid, Matti",74,44,"","0.765","","288.461","","45.30%","","0.296","","0.266","","0.156","","-0.126","","0.281","","60.51%","","71.06%","","3.681","","3.351","","70.423","","3.357","","31.465","","48.366","","72.10%","","-1.962","","18.871","","69.40%","","-1.530","","27.988","","59.90%","","-0.720","","36.917","","37.50%","","-0.522","","60.328","","70.20%","","-0.144","","32.488","","42.30%","","-0.252","","45.642"
"✅ Beat model by 50","32330","Clanton, Luke",75,125,"","-1.279","","284.029","","62.29%","","-0.810","","-0.534","","-0.596","","0.320","","-1.332","","65.98%","","54.16%","","2.072","","4.836","","72.247","","2.649","","32.774","","64.190","","83.90%","","-2.772","","19.899","","87.90%","","0.648","","21.568","","58.90%","","-0.792","","35.091","","36.30%","","0.270","","54.959","","62.80%","","-1.098","","33.027","","53.30%","","-0.324","","46.979"
"⚠️ Missed model by 73 | ❌ Underperformed model prediction","15980","Lipsky, David",76,3,"","1.397","","277.920","","54.46%","","0.893","","0.535","","0.737","","-0.379","","0.591","","60.47%","","77.80%","","3.204","","2.704","","69.529","","3.960","","29.509","","58.683","","94.60%","","0.828","","18.113","","76.10%","","0.126","","21.469","","61.20%","","-0.810","","47.331","","30.50%","","-0.198","","71.640","","73.10%","","1.116","","30.065","","41.30%","","-0.864","","44.033"
"⚠️ Missed model by 70 | ❌ Underperformed model prediction","7399","Glover, Lucas",76,6,"","-0.829","","276.437","","64.71%","","-0.021","","-0.197","","0.403","","-0.227","","-0.971","","55.06%","","66.28%","","2.743","","4.275","","72.387","","2.994","","32.507","","68.094","","93.50%","","4.518","","9.689","","72.80%","","-0.324","","22.460","","48.00%","","-0.216","","36.983","","36.10%","","0.576","","70.353","","63.00%","","-0.594","","30.372","","37.80%","","0.360","","46.048"
"⚠️ Missed model by 68 | ❌ Underperformed model prediction","21943","Lebioda, Hank",76,8,"","0.774","","282.825","","56.74%","","1.123","","0.934","","-0.101","","0.291","","-0.400","","68.18%","","55.39%","","3.437","","3.099","","70.235","","3.705","","30.482","","48.847","","98.50%","","2.286","","13.902","","75.40%","","-0.684","","24.598","","57.00%","","0.774","","37.378","","34.10%","","-1.080","","58.401","","75.50%","","0.576","","32.235","","49.90%","","0.756","","44.067"
"⚠️ Missed model by 67 | ❌ Underperformed model prediction","16243","Koepka, Brooks",76,9,"","0.996","","293.552","","52.14%","","0.974","","0.979","","-0.133","","0.127","","0.106","","64.57%","","66.81%","","3.915","","3.601","","70.405","","4.334","","30.491","","53.301","","88.40%","","1.026","","14.368","","92.00%","","0.432","","21.551","","49.70%","","0.036","","45.966","","60.40%","","3.186","","38.676","","64.40%","","0.720","","27.867","","55.70%","","0.270","","41.424"
"⚠️ Missed model by 66 | ❌ Underperformed model prediction","12965","Fowler, Rickie",76,10,"","0.774","","290.397","","62.52%","","-0.110","","-0.188","","-0.480","","0.558","","0.748","","62.05%","","65.48%","","3.485","","3.181","","70.843","","3.816","","31.890","","57.059","","81.50%","","-0.090","","18.077","","77.40%","","-0.288","","20.805","","68.50%","","2.070","","28.683","","39.00%","","0.072","","65.810","","71.50%","","0.666","","28.661","","51.60%","","0.864","","50.182"
"⚠️ Missed model by 65 | ❌ Underperformed model prediction","31343","Ford, David",76,11,"","0.229","","285.983","","56.70%","","0.007","","-0.421","","0.101","","0.327","","0.301","","55.90%","","65.27%","","3.055","","3.496","","70.957","","3.184","","32.786","","45.988","","79.90%","","-1.944","","25.457","","76.60%","","0.216","","21.792","","49.20%","","0.342","","34.880","","31.20%","","0.342","","61.676","","73.40%","","1.098","","28.617","","55.70%","","0.594","","46.599"
"⚠️ Missed model by 64 | ❌ Underperformed model prediction","21883","Ewart, A.J.",76,12,"","1.039","","281.609","","51.72%","","0.212","","0.620","","0.095","","-0.503","","0.844","","62.00%","","73.14%","","2.926","","3.341","","70.210","","3.377","","33.042","","41.256","","80.60%","","-0.126","","15.853","","86.50%","","1.332","","19.907","","50.10%","","-0.144","","34.542","","35.10%","","0.054","","61.829","","76.70%","","0.612","","27.995","","43.50%","","-1.044","","52.332"
"⚠️ Missed model by 62 | ❌ Underperformed model prediction","24956","Blanchet, Chandler",76,14,"","0.819","","280.927","","65.38%","","0.050","","-0.153","","-0.015","","0.218","","0.007","","64.55%","","66.98%","","3.113","","2.868","","70.193","","3.861","","31.971","","56.784","","71.10%","","-0.126","","21.113","","94.70%","","2.610","","16.429","","42.10%","","-2.196","","36.391","","15.90%","","-4.014","","89.372","","68.20%","","-0.216","","32.716","","64.70%","","3.042","","35.754"
"⚠️ Missed model by 60 | ❌ Underperformed model prediction","16283","Rodgers, Patrick",76,16,"","0.572","","287.672","","49.35%","","-0.001","","0.415","","-0.276","","-0.140","","0.586","","62.80%","","65.23%","","4.043","","3.213","","70.678","","3.561","","33.813","","46.570","","81.00%","","-2.718","","21.865","","81.50%","","0.162","","21.746","","51.30%","","-0.252","","43.471","","44.10%","","1.674","","51.325","","70.20%","","0.684","","30.516","","52.60%","","0.522","","48.302"
"⚠️ Missed model by 55","11889","Fox, Ryan",76,21,"","0.236","","297.947","","53.19%","","0.326","","-0.138","","0.268","","0.196","","0.206","","62.42%","","66.01%","","3.269","","3.621","","70.605","","3.702","","30.747","","56.170","","76.10%","","-0.828","","16.617","","72.90%","","-0.396","","22.260","","59.10%","","1.134","","28.982","","38.80%","","0.450","","60.164","","67.00%","","0.018","","30.920","","54.30%","","2.466","","37.419"
"⚠️ Missed model by 53","25002","Wu, Dylan",76,23,"","0.372","","280.813","","58.51%","","0.282","","0.018","","0.346","","-0.082","","0.018","","66.44%","","66.79%","","2.830","","3.541","","70.465","","3.749","","32.074","","43.644","","93.60%","","0.882","","16.732","","83.40%","","0.396","","22.170","","67.00%","","2.088","","32.546","","35.70%","","-0.666","","70.329","","69.10%","","-0.738","","35.901","","42.40%","","-0.486","","41.541"
"⚠️ Missed model by 52","29767","Gerard, Ryan",76,24,"","0.476","","289.595","","63.37%","","0.427","","0.292","","-0.265","","0.405","","0.257","","68.21%","","55.42%","","3.881","","3.464","","71.088","","4.221","","32.011","","57.465","","85.00%","","0.486","","17.820","","85.10%","","0.828","","19.167","","60.70%","","0.378","","32.468","","35.90%","","-0.054","","55.992","","74.80%","","1.152","","27.849","","54.00%","","1.206","","39.604"
"⚠️ Missed model by 47","22465","Penge, Marco",76,29,"","0.941","","297.297","","57.81%","","0.692","","-0.120","","-0.212","","1.024","","0.271","","64.38%","","59.35%","","4.180","","2.961","","70.100","","4.435","","33.223","","44.357","","79.90%","","1.008","","16.840","","76.10%","","-1.278","","25.745","","67.50%","","-0.648","","38.559","","46.30%","","0.036","","59.779","","63.00%","","-0.774","","32.915","","34.30%","","-1.638","","45.277"
"⚠️ Missed model by 41","23604","Clark, Wyndham",76,35,"","-0.076","","296.541","","56.92%","","0.626","","0.551","","0.255","","-0.181","","-0.841","","58.15%","","57.36%","","3.790","","4.730","","71.418","","3.817","","30.999","","52.191","","82.10%","","1.908","","12.217","","81.10%","","0.108","","21.045","","55.00%","","1.152","","41.454","","30.60%","","0.072","","55.036","","63.20%","","0.360","","28.591","","56.60%","","-0.198","","43.888"
"⚠️ Missed model by 40","27364","Thompson, Davis",76,36,"","0.068","","288.255","","50.16%","","-0.334","","0.043","","-0.335","","-0.042","","0.134","","61.17%","","64.30%","","3.101","","3.214","","71.055","","3.259","","32.416","","40.634","","95.80%","","0.468","","16.141","","84.50%","","0.630","","19.649","","56.80%","","-0.468","","35.964","","46.80%","","2.610","","39.848","","71.10%","","0.666","","28.995","","43.80%","","-1.386","","50.279"
