"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 87 | ⚠️ Success despite model prediction","11082","Burgoon, Bronson",10,97,"","-0.139","","302.050","","50.79%","","-0.562","","-0.298","","-0.317","","0.053","","0.392","","60.39%","","62.65%","","3.697","","3.864","","70.452","","3.827","","27.861","","55.775","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"≈ Near model (+8) | ✅ Success aligned with model","22002","Dumont De Chassart, Adrien",12,20,"","0.521","","289.463","","52.18%","","0.677","","-0.226","","1.345","","-0.442","","-0.208","","58.98%","","74.36%","","3.779","","3.912","","70.404","","3.840","","30.901","","52.768","","78.90%","","-1.602","","20.913","","75.50%","","-0.828","","22.318","","38.60%","","-0.126","","37.397","","26.80%","","0.000","","69.794","","72.30%","","0.630","","28.402","","42.60%","","-0.144","","40.909"
"✅ Beat model by 42 | ⚠️ Success despite model prediction","19870","McCarthy, Denny",12,54,"","-0.068","","279.643","","56.47%","","-0.305","","0.287","","-0.029","","-0.562","","0.297","","55.43%","","68.19%","","2.878","","3.267","","71.263","","3.491","","29.990","","55.462","","90.10%","","0.000","","18.001","","82.30%","","0.504","","19.875","","57.60%","","-0.360","","35.615","","37.00%","","0.216","","64.708","","67.50%","","-0.396","","33.433","","40.10%","","-0.486","","42.749"
"✅ Success aligned with model","17365","Mitchell, Keith",14,15,"","0.079","","301.023","","49.53%","","0.239","","0.042","","-0.105","","0.302","","-0.257","","57.04%","","62.95%","","3.192","","2.664","","71.551","","3.987","","33.128","","61.199","","88.90%","","1.350","","14.228","","82.20%","","-0.018","","21.746","","56.50%","","0.432","","37.588","","35.50%","","0.738","","57.464","","75.00%","","0.900","","28.261","","39.40%","","-0.252","","44.016"
"≈ Near model (+5) | ✅ Success aligned with model","26649","Thorbjornsen, Michael",14,19,"","0.309","","294.935","","65.50%","","0.384","","-0.052","","0.251","","0.185","","-0.083","","63.47%","","63.31%","","4.097","","4.020","","71.583","","4.503","","30.397","","54.886","","92.50%","","0.126","","15.630","","85.00%","","0.504","","21.259","","56.30%","","-1.170","","46.620","","35.00%","","-0.414","","44.248","","64.60%","","0.054","","30.838","","50.30%","","0.774","","44.628"
"✅ Beat model by 57 | ⚠️ Success despite model prediction","13412","Olesen, Thorbjorn",14,71,"","-0.370","","285.057","","56.62%","","0.069","","-0.253","","-0.080","","0.402","","-0.592","","61.57%","","57.01%","","3.462","","3.701","","71.590","","3.497","","33.400","","62.413","","70.40%","","-0.108","","15.435","","91.70%","","0.288","","24.329","","56.30%","","0.126","","44.888","","24.40%","","-0.828","","62.911","","70.70%","","0.234","","30.152","","65.80%","","1.638","","40.153"
"✅ Beat model by 62 | ⚠️ Success despite model prediction","25475","Nyholm, Pontus",14,76,"","0.132","","293.464","","54.46%","","-0.098","","0.134","","-0.184","","-0.049","","-0.362","","63.32%","","57.92%","","1.800","","3.203","","70.851","","2.984","","32.124","","58.265","","98.60%","","1.458","","16.184","","80.80%","","1.080","","18.715","","47.10%","","-1.980","","46.361","","44.40%","","0.450","","63.432","","58.10%","","-2.106","","40.436","","54.80%","","-0.918","","43.553"
"✅ Beat model by 79 | ⚠️ Success despite model prediction","13508","Vegas, Jhonattan",14,93,"","-0.643","","290.086","","62.76%","","-0.558","","-0.417","","-0.493","","0.352","","-0.031","","60.85%","","57.98%","","3.432","","4.052","","72.073","","4.067","","31.992","","52.306","","54.60%","","-2.052","","24.264","","68.10%","","-2.160","","25.641","","71.90%","","1.296","","35.193","","32.80%","","-0.522","","61.231","","64.70%","","-0.450","","31.529","","36.00%","","-0.468","","40.138"
"✅ Beat model by 28 | ⚠️ Success despite model prediction","23505","McGreevy, Max",19,47,"","-0.649","","282.864","","62.04%","","0.188","","0.130","","-0.452","","0.510","","-0.770","","56.41%","","51.79%","","2.950","","3.914","","72.062","","3.533","","33.412","","52.085","","95.60%","","0.342","","16.828","","80.30%","","-0.090","","21.176","","47.00%","","-2.448","","51.009","","42.50%","","0.792","","56.215","","64.00%","","0.270","","29.555","","51.20%","","1.242","","42.080"
"✅ Beat model by 76 | ⚠️ Success despite model prediction","24304","Vilips, Karl",19,95,"","-1.162","","288.891","","40.21%","","-1.837","","-0.216","","-0.411","","-1.210","","0.728","","54.84%","","57.59%","","3.708","","4.705","","72.382","","3.543","","28.708","","57.519","","83.40%","","-1.404","","17.215","","84.50%","","0.756","","18.981","","49.30%","","0.198","","38.452","","26.40%","","-1.620","","75.351","","61.10%","","-0.342","","31.410","","46.10%","","0.972","","40.764"
