
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"8825","Harman, Brian","T19",0.627022,0.627022,-0.662983,-0.662983,0.707763,0.707763,1.001272,1.001272,0.961224,0.961224,0.614654,0.614654,0.124633,0.124633,-0.27028,-0.27028,0.012279,0.012279,-1.379359,1.379359,0.992853,-0.992853
"14578","Henley, Russell","T19",0.627022,0.627022,-1.25336,-1.25336,0.916109,0.916109,0.206083,0.206083,-0.369612,-0.369612,0.644892,0.644892,0.434864,0.434864,0.96486,0.96486,-0.502041,-0.502041,-0.017976,0.017976,-1.0773,1.0773
"9771","Day, Jason","T24",0.633989,0.633989,-0.252285,-0.252285,-0.116942,-0.116942,0.066751,0.066751,-0.945804,-0.945804,0.836401,0.836401,0.867373,0.867373,1.195271,1.195271,0.521965,0.521965,2.121055,-2.121055,-0.256685,0.256685
"11889","Fox, Ryan","T24",0.633989,0.633989,0.763457,0.763457,0.085617,0.085617,0.680145,0.680145,-0.186999,-0.186999,0.291694,0.291694,1.60925,1.60925,0.242506,0.242506,0.007645,0.007645,-0.830696,0.830696,0.43634,-0.43634
"13126","Taylor, Nick","T24",0.633989,0.633989,-0.842663,-0.842663,0.707763,0.707763,0.76709,0.76709,1.278064,1.278064,-0.463001,-0.463001,0.156606,0.156606,0.107457,0.107457,1.040918,1.040918,-1.425934,1.425934,0.063828,-0.063828
"27194","Hall, Harry","T24",0.633989,0.633989,-0.80966,-0.80966,-0.328182,-0.328182,0.309756,0.309756,-0.192722,-0.192722,1.842661,1.842661,-0.847541,-0.847541,0.81782,0.81782,-0.251831,-0.251831,0.080886,-0.080886,-0.040857,0.040857
"14577","English, Harris","T24",0.633989,0.633989,1.218157,1.218157,-0.119835,-0.119835,0.189356,0.189356,-0.347761,-0.347761,-0.701547,-0.701547,1.74449,1.74449,1.004832,1.004832,0.271755,0.271755,0.47705,-0.47705,0.958391,-0.958391
"14636","Spieth, Jordan","T29",0.49465,0.49465,0.327091,0.327091,-0.325288,-0.325288,-0.417789,-0.417789,-0.381058,-0.381058,0.308913,0.308913,-0.666933,-0.666933,1.662375,1.662375,-0.761517,-0.761517,2.321875,-2.321875,0.592298,-0.592298
"23505","McGreevy, Max","T29",0.348345,0.348345,-0.472302,-0.472302,0.913215,0.913215,0.654043,0.654043,0.033073,0.033073,0.732247,0.732247,0.729109,0.729109,-0.301972,-0.301972,0.526598,0.526598,0.152058,-0.152058,0.137929,-0.137929
"18634","McNealy, Maverick","T29",0.348345,0.348345,-0.343959,-0.343959,0.707763,0.707763,0.789516,0.789516,0.629815,0.629815,0.376109,0.376109,0.422766,0.422766,-0.512397,-0.512397,-0.247198,-0.247198,-0.619958,0.619958,0.300554,-0.300554
"10419","Noren, Alex","T29",0.49465,0.49465,-1.414705,-1.414705,0.916109,0.916109,0.385488,0.385488,0.131923,0.131923,0.503781,0.503781,0.168705,0.168705,0.414672,0.414672,0.521965,0.521965,-0.117077,0.117077,1.537561,-1.537561
"13872","Bradley, Keegan","T29",0.49465,0.49465,0.657116,0.657116,0.293964,0.293964,0.194135,0.194135,-1.044394,-1.044394,1.908597,1.908597,0.227467,0.227467,0.711894,0.711894,-0.247198,-0.247198,1.086014,-1.086014,0.178447,-0.178447
"23816","Valimaki, Sami","T34",0.355312,0.355312,-1.235025,-1.235025,0.913215,0.913215,0.278507,0.278507,0.189672,0.189672,1.341211,1.341211,-1.040247,-1.040247,0.295326,0.295326,0.007645,0.007645,-0.954314,0.954314,-1.038406,1.038406
"17780","Pendrith, Taylor","T34",0.355312,0.355312,1.280495,1.280495,-1.563791,-1.563791,-0.067987,-0.067987,-0.310562,-0.310562,0.224078,0.224078,0.125497,0.125497,0.833523,0.833523,-0.766151,-0.766151,0.807835,-0.807835,0.698875,-0.698875
"15556","Hughes, Mackenzie","T34",0.355312,0.355312,-0.314623,-0.314623,0.293964,0.293964,0.591178,0.591178,0.54085,0.54085,0.132523,0.132523,0.35493,0.35493,-0.190335,-0.190335,0.521965,0.521965,-1.398401,1.398401,-0.046512,0.046512
"21554","Poston, J.T.","T37",0.069669,0.069669,0.081406,0.081406,0.916109,0.916109,0.087154,0.087154,-0.736398,-0.736398,1.134163,1.134163,0.261169,0.261169,0.007527,0.007527,0.012279,0.012279,1.44814,-1.44814,0.288882,-0.288882
"23950","Aberg, Ludvig","T37",0.215974,0.215974,0.730454,0.730454,0.088511,0.088511,0.085132,0.085132,0.045559,0.045559,0.336631,0.336631,-0.221893,-0.221893,0.310173,0.310173,-0.511308,-0.511308,-0.198484,0.198484,-1.30629,1.30629
"27774","Gotterup, Chris","T37",0.069669,0.069669,1.775532,1.775532,-0.947433,-0.947433,0.60184,0.60184,0.025269,0.025269,1.032949,1.032949,0.309994,0.309994,-0.791916,-0.791916,-0.247198,-0.247198,1.274932,-1.274932,-0.895017,0.895017
"24968","Griffin, Ben","T37",0.069669,0.069669,-0.49797,-0.49797,0.091405,0.091405,-0.172211,-0.172211,-0.026238,-0.026238,0.422306,0.422306,-0.795692,-0.795692,0.410389,0.410389,0.267122,0.267122,-0.482535,0.482535,-0.603847,0.603847
"23323","MacIntyre, Robert","T37",0.215974,0.215974,0.796459,0.796459,0.29107,0.29107,-0.408966,-0.408966,-0.437246,-0.437246,-0.470981,-0.470981,0.249503,0.249503,1.077639,1.077639,0.267122,0.267122,1.975459,-1.975459,-1.294044,1.294044
"14502","Cauley, Bud","T37",0.069669,0.069669,-1.018676,-1.018676,1.535361,1.535361,0.334019,0.334019,0.826475,0.826475,-0.14424,-0.14424,-0.439228,-0.439228,-0.37592,-0.37592,-0.247198,-0.247198,-0.274336,0.274336,0.795097,-0.795097
