
Tournament: AT&T Pebble Beach Pro-Am,Last updated: 
Course: Spyglass Hill Golf Course,Found 80 players from cache
Data Date: 2026-03-03T21:27:53.310Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"🎯 Model prediction on target: #2 → T8 | ↓ Approach | 📉 SG Approach: trend reversing (0.223) | ✅ Success aligned with model","13562","Matsuyama, Hideki",2,"T8",-18,1.875,1.403,272.9,293.718,0.6785,0.5959,0.89525,1.379,0.5765,0.72,0.7825000000000001,0.631,-0.46375,0.028,0.98,0.19,0.7222500000000001,0.6769,30.724250000000005,25.234,33.1305,52.041,0,67.5,5.75,0.815,3.25,3.25
"↑ Short Game | 📈 SG Around Green: trend continuing (0.659) | 📈 SG Approach: trend continuing (0.293) | ⚠️ Success despite model prediction","29433","Bridgeman, Jacob",21,"T8",-18,1.875,1.463,278.85,291.544,0.48225,0.5847,1.20075,0.607,1.3105000000000002,0.524,0.5135,0.014,-0.6232500000000001,0.068,0.6745,1.102,0.75,0.7441,30.88575,26.933,26.44875,55.185,0,67.5,6,0.72075,5.25,3.5
"↑ Short Game | 📈 SG Around Green: trend continuing (0.388) | 📉 SG Putting: trend reversing (0.669) | ✅ Success aligned with model","15466","Cantlay, Patrick",5,"T14",-17,1.625,0.595,283.7,289.601,0.6072500000000001,0.6393,1.11275,1.029,1.0554999999999999,0.315,0.13575,0.12,-0.07849999999999999,0.594,0.5125,-0.614,0.81925,0.6759000000000001,26.392500000000002,30.505,37.5075,46.254,0,67.75,5.5,0.616,3,3.5
"↑ Short Game | 📈 SG Around Green: trend continuing (0.455) | ✅ Success aligned with model","10091","McIlroy, Rory",7,"T14",-17,1.8875000000000002,1.185,295.4,302.955,0.6427499999999999,0.6015,1.9855,1.529,1.703,0.513,0.306,0.315,-0.023499999999999965,0.701,-0.09799999999999998,-0.408,0.7224999999999999,0.7326999999999999,30.044999999999998,27.91,21.36275,46.592,0,67.75,6.75,0.70975,4,3.75
"↑ Driving | 📈 SG OTT: trend continuing (1.016) | 📉 SG Putting: trend continuing (0.968) | 📉 SG Around Green: trend continuing (0.132) | ⚠️ Success despite model prediction","17646","Fitzpatrick, Matt",33,"T14",-17,1.8875,-0.123,277.925,288.262,0.75,0.643,1.90225,1.109,1.946,0.632,-0.73775,0.171,0.694,0.306,-0.014749999999999971,-1.106,0.84725,0.6834,27.07675,29.887,14.16075,45.756,0,67.75,5.5,0.6125,4.5,2
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (5.710) | 📈 SG Putting: trend continuing (1.220) | 📈 SG Approach: trend continuing (0.889) | ⚠️ Success despite model prediction","15575","Hoge, Tom",70,"T14",-17,1.625,-0.367,276.84999999999997,289.579,0.625,0.5716,1.23525,-0.429,1.1747500000000002,-0.014,-0.024000000000000007,-0.238,0.08449999999999999,-0.176,0.39000000000000007,-0.538,0.7362500000000001,0.6413,26.357000000000003,29.056,27.36475,51.489,0,67.75,6,0.78125,3.75,3.25
"↑ Finished better than predicted | ↑ Short Game | 📈 SG Around Green: trend reversing (0.583) | 📉 SG Putting: trend reversing (0.525) | ⚠️ Success despite model prediction","11676","Finau, Tony",65,"18",-16,1.6375,-0.765,280.55,292.261,0.518,0.5964,-0.4265000000000001,-0.665,0.82125,-0.764,-0.38100000000000006,0.181,-0.8667499999999999,-0.081,2.064,0.093,0.764,0.6115999999999999,31.48525,32.321,24.353749999999998,44.963,0,68,5.75,0.79525,3.5,2.75
"↑ Short Game | 📈 SG Around Green: trend reversing (0.455) | ⚠️ Success despite model prediction","12965","Fowler, Rickie",42,"T19",-15,1.1250000000000002,-0.353,275.6,286.204,0.66075,0.6631,0.29000000000000015,-0.404,0.6075,0.15,-0.329,-0.454,0.01150000000000001,-0.099,0.8352499999999999,0.779,0.7362500000000001,0.6335000000000001,37.2975,28.741,47.78575,53.604,0,68.25,6,0.716,3.75,3.5
"↓ Short Game | 📉 SG Around Green: trend continuing (3.310) | 📈 SG Putting: trend continuing (0.388) | ✅ Success aligned with model","19895","Schauffele, Xander",16,"T19",-15,1.3874999999999997,0.97,290.025,293.592,0.69625,0.5540999999999999,0.5095,0.831,-0.27575,0.496,-0.1845,0.397,0.96975,-0.061,0.8779999999999999,-0.39,0.6805,0.6859999999999999,33.542,28.826,36.32875,44.865,0,68.25,5.5,0.7175,3.5,3.5
"↑ Putting | 📈 SG Putting: trend continuing (0.551) | 📈 SG OTT: trend continuing (0.516) | 📈 SG Around Green: trend continuing (0.310) | ⚠️ Success despite model prediction","18474","Smalley, Alex",49,"T19",-15,1.125,0.095,284.475,290.705,0.7677499999999999,0.531,1.04975,0.385,0.1815,-0.029,0.14799999999999996,0.516,0.7202500000000001,-0.102,0.0755,-0.595,0.75,0.6990999999999999,26.895249999999997,29.565,50.4225,54.733,0,68.25,5.25,0.6345000000000001,4,3.25
"↑ Finished better than predicted | ↑ Short Game | 📈 SG Around Green: trend continuing (0.586) | 📈 SG Approach: trend continuing (0.529) | ⚠️ Success despite model prediction","8825","Harman, Brian",63,"T19",-15,1.125,-0.907,276.67499999999995,290.567,0.7142499999999999,0.6103999999999999,1.3617500000000002,-0.565,0.92375,-0.56,0.36575,-0.018,0.07224999999999998,0.014,-0.2365,-0.304,0.7085,0.6953,25.66675,31.852,52.81725,60.041,0,68.25,5.25,0.70625,3,3.75
"↓ Short Game | 📉 SG Around Green: trend reversing (1.273) | 📉 SG OTT: trend reversing (0.182) | ✅ Success aligned with model","14578","Henley, Russell",12,"T19",-15,1.125,0.912,272.65,285.126,0.73225,0.6244,0.28025000000000005,0.726,-0.35525,1.067,0.38375,-0.103,0.25175000000000003,-0.238,0.845,0.319,0.68075,0.7058,29.956249999999997,30.095,25.7255,51.93,0,68.25,4.75,0.70075,3.25,3
"↑ Finished better than predicted | ↑ Driving | 📈 SG OTT: trend continuing (5.056) | 📉 SG T2G: trend reversing (0.761) | 📉 SG Total: trend reversing (0.706)","9771","Day, Jason",71,"T24",-14,1.1375,-0.67,279.475,284.158,0.643,0.6386999999999999,0.09075,-0.85,-0.909,-0.719,0.49775,0.061,0.502,-0.191,1.04675,-0.294,0.736,0.6593000000000001,36.696,33.04,36.46475,54.136,0,68.5,5,0.72475,2.75,3.25
"↓ Short Game | 📉 SG Around Green: trend reversing (3.969) | 📈 SG Approach: trend reversing (2.200) | 📉 SG Putting: trend reversing (0.824)","11889","Fox, Ryan",26,"T24",-14,1.1375,0.986,286.40000000000003,300.192,0.6604999999999999,0.46380000000000005,0.9249999999999999,0.454,-0.17974999999999997,0.295,0.17350000000000002,0.242,0.9312499999999999,-0.083,0.21250000000000002,0.481,0.70825,0.6536,27.395500000000002,26.708,45.53425,55.11,0,68.5,5.5,0.67875,3.75,3.75
"↓ Driving | 📉 SG OTT: trend reversing (0.923) | 📉 SG Putting: trend reversing (0.669) | 📈 SG Around Green: trend reversing (0.227)","13126","Taylor, Nick",51,"T24",-14,1.1374999999999997,0.476,275.45000000000005,288.275,0.7142499999999999,0.5977,1.04325,0.486,1.22825,0.247,-0.27575,0.355,0.09075,-0.117,0.09424999999999994,0.008,0.764,0.726,25.520000000000003,27.431,40.65925,51.977,0,68.5,4.5,0.62375,3,3.25
