
Tournament: Genesis Invitational,Last updated: 
Course: The Riviera Country Club,Found 72 players from cache
Data Date: 2026-03-03T22:18:01.961Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Finished better than predicted | ↓ Driving | 📉 SG OTT: trend continuing (1.293) | 📈 SG Putting: trend continuing (1.006) | 📉 SG Around Green: trend reversing (0.269) | ⚠️ Success despite model prediction","14636","Spieth, Jordan",46,"T12",-11,1.4035000000000002,0.497,291.725,292.918,0.5,0.5997,-0.13425,0.057,0.04924999999999996,-0.34,0.43475,0.354,-0.61825,0.043,1.538,0.497,0.66675,0.6047,35.66475,34.659,28.974,60.968,0,68.25,4,0.846,2.5,2.25
"↑ Putting | 📈 SG Putting: trend continuing (1.689) | 📈 SG Total: trend continuing (0.617) | 📉 SG Approach: trend continuing (0.289) | ⚠️ Success despite model prediction","16841","Lee, Min Woo",42,"T12",-11,1.4035000000000002,0.331,299.525,297.58,0.6965,0.6213000000000001,0.6387499999999999,0.36,-1.4995,0.276,0.8119999999999999,0.045,1.32625,0.039,0.76525,1.306,0.625,0.6273,31.732,30.3,75.81225,81.032,0,68.25,4.75,0.6174999999999999,3,4.25
"↑ Above average performer | ✅ Success aligned with model","18417","Scheffler, Scottie",1,"T12",-11,1.4035,3.521,294.22499999999997,297.065,0.57125,0.662,0.563,2.93,-0.18450000000000005,1.112,0.29125,0.823,0.45625,0.995,0.84075,0.979,0.722,0.7021,25.59275,31.344,53.096000000000004,55.889,0,68.25,5,0.65625,3.5,3
"↑ Finished better than predicted | ↑ Short Game | 📈 SG Around Green: trend continuing (0.217) | ⚠️ Success despite model prediction","22465","Penge, Marco",61,"T16",-10,1.1535000000000002,-0.907,305.475,309.973,0.5715,0.47240000000000004,0.5495000000000001,0.346,-0.47225,-0.234,0.4960000000000001,-0.243,0.52575,0.823,0.6045,-1.286,0.611,0.6865000000000001,27.2085,31.938,63.40175,45.707,0,68.5,5,0.68475,3.5,3.25
"↓ Short Game | 📉 SG Around Green: trend reversing (6.252) | 📈 SG Putting: trend continuing (0.292) | ⚠️ Success despite model prediction","28309","Coody, Pierceson",29,"T16",-10,1.1535,-0.012,297.4,299.186,0.5,0.5529,0.958,0.386,0.6245,0.248,0.08949999999999997,-0.494,0.244,0.632,0.19574999999999998,-0.381,0.6944999999999999,0.6799,25.978,29.035,50.15125,52.613,0,68.5,4.25,0.80175,3,3.5
"↑ Finished better than predicted | ↓ Short Game | 📉 SG Around Green: trend continuing (0.531) | 📈 SG Putting: trend continuing (0.277) | ⚠️ Success despite model prediction","25569","Stevens, Sam",59,"T16",-10,1.1535,-0.089,289.425,292.582,0.55325,0.6665000000000001,0.2025,0.415,0.23024999999999995,0.055,-0.14625,-0.016,0.11850000000000001,0.376,0.9512499999999999,-0.904,0.7362500000000001,0.6302,27.69975,31.875,47.057249999999996,70.05,0,68.5,4.25,0.608,3.75,4.25
"↑ Short Game | 📈 SG Around Green: trend reversing (48.472) | 📉 SG OTT: trend reversing (1.958) | 📈 SG Total: trend continuing (0.486) | ⚠️ Success despite model prediction","26096","Bhatia, Akshay",32,"T16",-10,1.1535,0.774,286.475,290.46,0.53575,0.6383,0.568,0.705,0.711,0.775,-0.201,-0.056,0.057999999999999996,-0.015,0.586,0.032,0.68075,0.6709999999999999,31.118,30.535,43.22775,50.985,0,68.5,4.25,0.6917499999999999,3,2.75
"↑ Approach | 📈 SG Approach: trend reversing (1.050) | 📈 SG Around Green: trend continuing (0.193) | ⚠️ Success despite model prediction","23323","MacIntyre, Robert",25,"T20",-9,0.9035,0.493,288,291.003,0.58925,0.6668000000000001,-0.4715,0.041,-1.2095,0.011,0.48424999999999996,-0.335,0.25375000000000003,0.365,1.3752499999999999,0.782,0.5555,0.6568999999999999,32.19375,33.935,44.05875,46.071,0,68.75,4.25,0.7570000000000001,3.75,3.25
"↓ Approach | 📉 SG Approach: trend reversing (0.906) | 📈 SG Putting: trend continuing (0.355) | 📉 SG OTT: trend reversing (0.203) | ⚠️ Success despite model prediction","23950","Aberg, Ludvig",26,"T20",-9,0.9035,0.654,293.77500000000003,296.816,0.5,0.6318,0.7515,0.513,0.33049999999999996,0.056,0.33275000000000005,0.228,0.08825000000000002,0.229,0.15250000000000002,0.275,0.75,0.6381,29.15325,30.253,40.98825,60.102,0,68.75,5.25,0.601,4,4
"↓ Short Game | 📉 SG Around Green: trend reversing (1.424) | 📈 SG Putting: trend continuing (0.509) | ❌ Underperformed model prediction","14577","English, Harris",13,"T22",-8,0.6535,1.55,288.225,293.104,0.5535,0.6655,-0.14400000000000002,0.555,-0.25475000000000003,0.175,0.32249999999999995,-0.258,-0.21175000000000005,0.638,0.79775,0.659,0.639,0.6917,26.222749999999998,33.095,58.557,52.892,0,69,4.5,0.7435,2.75,3
