
Tournament: The Genesis Invitational,Last updated: 2026-02-22 23:33:51 UTC
Course: The Riviera Country Club,Found 72 players from api
Data Date: 2026-02-23T16:13:41.178Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"14577","English, Harris","22",0.564971,0.564971,0.027411,0.027411,-0.32929,-0.32929,0.03777,0.03777,0.02382,0.02382,0.577533,0.577533,-0.522337,-0.522337,0.910976,0.910976,-0.280735,-0.280735,-0.705008,0.705008,0.590655,-0.590655
"23014","Theegala, Sahith","22",0.564971,0.564971,0.113231,0.113231,-0.56633,-0.56633,0.289536,0.289536,0.748966,0.748966,-0.787286,-0.787286,0.336926,0.336926,0.594162,0.594162,0.561492,0.561492,-1.112363,1.112363,-0.629592,0.629592
"13900","Lowry, Shane","24",0.42142,0.42142,-0.305567,-0.305567,0.144889,0.144889,0.449051,0.449051,0.791091,0.791091,-0.65348,-0.65348,0.522952,0.522952,0.145748,0.145748,0.561454,0.561454,-1.004964,1.004964,-0.222092,0.222092
"28635","McCarty, Matt","24",0.42142,0.42142,-0.662576,-0.662576,-0.56633,-0.56633,0.105036,0.105036,1.058883,1.058883,0.077991,0.077991,-1.403746,-1.403746,0.581977,0.581977,-0.280735,-0.280735,-0.346916,0.346916,-1.067233,1.067233
"17646","Fitzpatrick, Matt","24",0.42142,0.42142,0.257407,0.257407,1.330221,1.330221,1.271614,1.271614,0.905429,0.905429,0.225178,0.225178,1.373357,1.373357,-0.894864,-0.894864,-0.070197,-0.070197,-0.787981,0.787981,-1.247923,1.247923
"23465","Greyserman, Max","24",0.42142,0.42142,1.005751,1.005751,-0.329257,-0.329257,0.410614,0.410614,0.225417,0.225417,0.635515,0.635515,-0.01298,-0.01298,0.194489,0.194489,-0.701849,-0.701849,-0.200873,0.200873,-1.183187,1.183187
"12965","Fowler, Rickie","28",0.27787,0.27787,0.209348,0.209348,0.619035,0.619035,-0.386964,-0.386964,-0.141669,-0.141669,-1.648103,-1.648103,0.957013,0.957013,0.962154,0.962154,0.982606,0.982606,-0.840517,0.840517,1.327081,-1.327081
"29767","Gerard, Ryan","28",0.27787,0.27787,0.257407,0.257407,-0.092184,-0.092184,0.975645,0.975645,1.398889,1.398889,-0.332346,-0.332346,0.514094,0.514094,-0.763265,-0.763265,1.193182,1.193182,-1.677704,1.677704,-0.38656,0.38656
"13126","Taylor, Nick","28",0.27787,0.27787,-0.384521,-0.384521,-0.56633,-0.56633,0.520161,0.520161,0.165239,0.165239,1.549855,1.549855,-0.588775,-0.588775,-0.185688,-0.185688,-0.070159,-0.070159,-0.604489,0.604489,-0.579722,0.579722
"13562","Matsuyama, Hideki","28",0.27787,0.27787,-0.43258,-0.43258,1.567261,1.567261,0.058911,0.058911,0.017803,0.017803,0.05123,0.05123,0.057887,0.057887,0.396762,0.396762,-0.912425,-0.912425,-1.13302,1.13302,0.388888,-0.388888
"11676","Finau, Tony","28",0.27787,0.27787,0.219647,0.219647,-1.040476,-1.040476,0.155005,0.155005,-0.33123,-0.33123,1.540935,1.540935,-0.686217,-0.686217,0.277348,0.277348,-0.070197,-0.070197,0.767467,-0.767467,0.694869,-0.694869
"18554","Rai, Aaron","28",0.27787,0.27787,-1.222118,-1.222118,0.381929,0.381929,0.10888,0.10888,0.427013,0.427013,0.541851,0.541851,-0.916535,-0.916535,0.333399,0.333399,0.140379,0.140379,-0.54245,0.54245,1.772023,-1.772023
"14609","Kim, Si Woo","34",0.134319,0.134319,-0.446311,-0.446311,0.856075,0.856075,0.935286,0.935286,1.465085,1.465085,0.238558,0.238558,-0.243298,-0.243298,-0.95579,-0.95579,0.350917,0.350917,-2.176878,2.176878,0.029952,-0.029952
"16283","Rodgers, Patrick","34",0.134319,0.134319,-0.350194,-0.350194,-2.699955,-2.699955,-0.042949,-0.042949,1.302604,1.302604,-0.082576,-0.082576,-1.926391,-1.926391,0.282222,0.282222,-0.491273,-0.491273,-0.99573,0.99573,-0.941675,0.941675
"24766","Kim, Tom","34",0.134319,0.134319,-0.457573,-0.457573,1.330255,1.330255,0.933364,0.933364,0.920473,0.920473,0.925428,0.925428,-0.128139,-0.128139,-0.95579,-0.95579,1.193182,1.193182,-0.482302,0.482302,-0.643205,0.643205
"23816","Valimaki, Sami","37",-0.009231,-0.009231,-0.865109,-0.865109,0.381929,0.381929,0.153083,0.153083,1.070918,1.070918,-0.930012,-0.930012,-0.296448,-0.296448,-0.212496,-0.212496,0.561492,0.561492,-1.524621,1.524621,-1.017108,1.017108
"17576","Conners, Corey","37",-0.009231,-0.009231,-0.216315,-0.216315,1.330221,1.330221,-0.225527,-0.225527,-0.863806,-0.863806,-0.006752,-0.006752,0.757699,0.757699,0.270037,0.270037,0.350954,0.350954,0.457178,-0.457178,-0.322997,0.322997
"17538","Homa, Max","37",-0.009231,-0.009231,0.161289,0.161289,-0.329257,-0.329257,-0.142886,-0.142886,0.38188,0.38188,-0.591037,-0.591037,-0.305307,-0.305307,0.167681,0.167681,0.140341,0.140341,-0.148807,0.148807,-0.177743,0.177743
"15466","Cantlay, Patrick","37",-0.009231,-0.009231,-0.058408,-0.058408,0.381962,0.381962,0.441364,0.441364,-0.409461,-0.409461,0.907587,0.907587,0.722266,0.722266,-0.57805,-0.57805,0.140379,0.140379,0.002767,-0.002767,-0.535051,0.535051
"18841","Hovland, Viktor","41",-0.152782,-0.152782,-0.346761,-0.346761,0.856075,0.856075,0.447129,0.447129,0.604539,0.604539,-0.399249,-0.399249,0.540669,0.540669,-0.826628,-0.826628,0.56153,0.56153,-0.919717,0.919717,0.899071,-0.899071
"24968","Griffin, Ben","41",-0.152782,-0.152782,0.13726,0.13726,-0.092184,-0.092184,-0.398495,-0.398495,-0.547871,-0.547871,0.095832,0.095832,-0.212294,-0.212294,0.248103,0.248103,-0.070197,-0.070197,0.67386,-0.67386,-0.298257,0.298257
"23604","Clark, Wyndham","41",-0.152782,-0.152782,1.410818,1.410818,-0.092184,-0.092184,1.117864,1.117864,0.267542,0.267542,1.589997,1.589997,0.598248,0.598248,-1.677152,-1.677152,-0.280735,-0.280735,0.127973,-0.127973,-0.558511,0.558511
"13508","Vegas, Jhonattan","44",-0.296332,-0.296332,-0.034379,-0.034379,-0.329257,-0.329257,-0.273574,-0.273574,0.466129,0.466129,-0.720383,-0.720383,-0.602062,-0.602062,-0.154007,-0.154007,-0.491273,-0.491273,-1.051969,1.051969,-0.0628,0.0628
"22760","Hisatsune, Ryo","45",-0.439883,-0.439883,0.006815,0.006815,-0.803403,-0.803403,0.391395,0.391395,0.926491,0.926491,-0.983534,-0.983534,0.518523,0.518523,-1.24336,-1.24336,-0.070197,-0.070197,-0.452623,0.452623,-0.345909,0.345909
"17780","Pendrith, Taylor","45",-0.439883,-0.439883,1.180823,1.180823,-0.56633,-0.56633,-1.073073,-1.073073,-1.04434,-1.04434,-0.961233,-0.961233,0.018024,0.018024,0.618532,0.618532,0.350917,0.350917,0.777551,-0.777551,0.422785,-0.422785
"23475","Novak, Andrew","47",-0.583433,-0.583433,-0.412766,-0.412766,-0.092184,-0.092184,-1.488198,-1.488198,-1.273016,-1.273016,0.113673,0.113673,-1.669497,-1.669497,0.896354,0.896354,-1.333539,-1.333539,0.007006,-0.007006,0.195372,-0.195372
"19870","McCarthy, Denny","47",-0.583433,-0.583433,-1.458979,-1.458979,-0.56633,-0.56633,-1.050011,-1.050011,-0.90593,-0.90593,0.185036,0.185036,-1.275299,-1.275299,0.343148,0.343148,0.140379,0.140379,1.239571,-1.239571,0.216469,-0.216469
"20722","Schmid, Matti","49",-0.870534,-0.870534,0.816949,0.816949,0.381929,0.381929,-1.369042,-1.369042,-2.735343,-2.735343,-0.046894,-0.046894,0.930438,0.930438,0.257851,0.257851,-0.912425,-0.912425,1.482931,-1.482931,0.756964,-0.756964
"17511","Straka, Sepp","50",-1.301186,-1.301186,-0.128268,-0.128268,-0.092184,-0.092184,-0.93662,-0.93662,0.237453,0.237453,-1.505377,-1.505377,-1.009548,-1.009548,-1.019153,-1.019153,-0.491311,-0.491311,-1.231103,1.231103,-0.334936,0.334936
"8825","Harman, Brian","50",-1.301186,-1.301186,-1.253012,-1.253012,1.567294,1.567294,-1.565073,-1.565073,-1.525764,-1.525764,-1.318049,-1.318049,-0.043984,-0.043984,-0.222244,-0.222244,-0.280735,-0.280735,0.455557,-0.455557,1.464754,-1.464754
"23505","McGreevy, Max","",-0.579127,-0.579127,-1.101971,-1.101971,1.330188,1.330188,0.239567,0.239567,-0.183794,-0.183794,0.613215,0.613215,0.221767,0.221767,-1.292101,-1.292101,0.982568,0.982568,0.088542,-0.088542,2.126084,-2.126084
"22833","Echavarria, Nico","",-0.579127,-0.579127,-1.500172,-1.500172,1.804334,1.804334,0.128098,0.128098,-0.189812,-0.189812,0.390205,0.390205,0.186334,0.186334,-1.145879,-1.145879,0.982568,0.982568,0.400973,-0.400973,1.297262,-1.297262
"19483","Burns, Sam","",-0.579127,-0.579127,0.48397,0.48397,-1.988702,-1.988702,-0.81362,-0.81362,-0.286096,-0.286096,-0.18962,-0.18962,-1.275299,-1.275299,0.048267,0.048267,0.561492,0.561492,0.58038,-0.58038,-0.686021,0.686021
"18634","McNealy, Maverick","",-0.579127,-0.579127,0.566357,0.566357,1.330188,1.330188,0.358723,0.358723,-0.508755,-0.508755,-0.475072,-0.475072,2.037735,2.037735,-1.438323,-1.438323,-0.280735,-0.280735,2.6103,-2.6103,-1.449318,1.449318
"14578","Henley, Russell","",-0.866228,-0.866228,-1.713004,-1.713004,1.804334,1.804334,-1.593901,-1.593901,-0.899913,-0.899913,-1.955856,-1.955856,-0.389461,-0.389461,0.550295,0.550295,-1.122963,-1.122963,1.802625,-1.802625,-0.328122,0.328122
"27194","Hall, Harry","",-0.866228,-0.866228,-0.513901,-0.513901,0.381962,0.381962,-0.298558,-0.298558,-0.189812,-0.189812,1.853148,1.853148,-2.232005,-2.232005,-1.097138,-1.097138,0.561492,0.561492,0.291187,-0.291187,0.229842,-0.229842
"17606","Berger, Daniel","",-0.866228,-0.866228,-0.552727,-0.552727,0.381962,0.381962,-0.213995,-0.213995,0.424004,0.424004,-1.153022,-1.153022,0.018024,0.018024,-1.199493,-1.199493,0.140341,0.140341,0.139394,-0.139394,1.611754,-1.611754
"18628","Campbell, Brian","",-0.866228,-0.866228,-1.699273,-1.699273,-0.092184,-0.092184,-1.074995,-1.074995,-0.954073,-0.954073,0.470488,0.470488,-1.549909,-1.549909,-0.107703,-0.107703,-1.544114,-1.544114,-0.558883,0.558883,1.120499,-1.120499
"21554","Poston, J.T.","",-0.866228,-0.866228,-1.22555,-1.22555,-0.092184,-0.092184,-2.062839,-2.062839,-1.64612,-1.64612,-1.010296,-1.010296,-1.32845,-1.32845,1.144931,1.144931,-2.386342,-2.386342,1.279087,-1.279087,-0.579655,0.579655
"23504","Hoey, Rico","",-0.866228,-0.866228,-0.017215,-0.017215,-1.040476,-1.040476,-1.882182,-1.882182,-1.242927,-1.242927,-1.429554,-1.429554,-1.089273,-1.089273,0.91585,0.91585,-0.280735,-0.280735,0.168923,-0.168923,-0.072893,0.072893
"17881","Yu, Kevin","",-0.866228,-0.866228,-0.216315,-0.216315,-0.56633,-0.56633,0.04738,0.04738,0.219399,0.219399,0.27424,0.27424,-0.495762,-0.495762,-1.53093,-1.53093,-1.122963,-1.122963,0.616101,-0.616101,-0.57526,0.57526
"7399","Glover, Lucas","",-1.153329,-1.153329,-2.5506,-2.5506,3.226707,3.226707,-2.089745,-2.089745,-0.972126,-0.972126,-3.249312,-3.249312,-0.159143,-0.159143,0.686769,0.686769,0.140417,0.140417,0.292921,-0.292921,3.047499,-3.047499
"27774","Gotterup, Chris","",-1.153329,-1.153329,1.36276,1.36276,-1.514623,-1.514623,-0.617589,-0.617589,0.038865,0.038865,-2.009379,-2.009379,0.522952,0.522952,-1.175123,-1.175123,-1.544114,-1.544114,0.011147,-0.011147,-0.197178,0.197178
"6093","Rose, Justin","",-1.153329,-1.153329,-0.175122,-0.175122,-1.040476,-1.040476,-0.237058,-0.237058,0.315684,0.315684,-0.385869,-0.385869,-0.628638,-0.628638,-1.662529,-1.662529,0.561492,0.561492,1.311211,-1.311211,-0.570932,0.570932
"15575","Hoge, Tom","",-1.153329,-1.153329,-1.232416,-1.232416,-0.092184,-0.092184,-0.640652,-0.640652,-0.382381,-0.382381,-0.207461,-0.207461,-0.708363,-0.708363,-1.145879,-1.145879,0.140417,0.140417,0.362272,-0.362272,0.32078,-0.32078
"13872","Bradley, Keegan","",-1.153329,-1.153329,0.054755,0.054755,-1.514623,-1.514623,0.489411,0.489411,0.598521,0.598521,1.844228,1.844228,-1.594201,-1.594201,-2.578853,-2.578853,-0.280811,-0.280811,0.922986,-0.922986,-0.781283,0.781283
"14502","Cauley, Bud","",-1.44043,-1.44043,-1.294206,-1.294206,-0.56633,-0.56633,-2.032089,-2.032089,-1.435497,-1.435497,-0.938932,-0.938932,-1.638493,-1.638493,0.131126,0.131126,-1.122963,-1.122963,0.403977,-0.403977,0.077002,-0.077002
"17543","Kim, Michael","",-1.44043,-1.44043,-0.436013,-0.436013,-0.092184,-0.092184,-0.386964,-0.386964,-0.90593,-0.90593,0.336683,0.336683,0.115467,0.115467,-1.954973,-1.954973,-1.544114,-1.544114,1.497065,-1.497065,0.177893,-0.177893
"17536","Spaun, J.J.","",-1.44043,-1.44043,-0.696903,-0.696903,-0.092184,-0.092184,-0.951995,-0.951995,-2.157634,-2.157634,0.711339,0.711339,0.283776,0.283776,-1.238486,-1.238486,-2.807494,-2.807494,0.437045,-0.437045,3.611,-3.611
"9771","Day, Jason","",-1.727531,-1.727531,-1.177492,-1.177492,-0.092184,-0.092184,-2.051307,-2.051307,-2.326132,-2.326132,-0.145018,-0.145018,-1.168999,-1.168999,-0.33191,-0.33191,-1.544039,-1.544039,1.550972,-1.550972,-0.533145,0.533145
"24342","Higgo, Garrick","",-3.163036,-3.163036,-1.204954,-1.204954,-1.514623,-1.514623,-2.408776,-2.408776,-1.742405,-1.742405,-1.875573,-1.875573,-1.124707,-1.124707,-2.315654,-2.315654,-2.386342,-2.386342,0.130449,-0.130449,1.456164,-1.456164
