"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"≈ Near model (-5) | ✅ Success aligned with model","15310","Li, Haotong",11,6,"","0.679","","292.636","","63.09%","","0.395","","0.007","","-0.193","","0.580","","0.290","","72.02%","","61.47%","","3.035","","3.608","","69.266","","4.064","","31.763","","45.048","","86.00%","","1.620","","16.370","","79.00%","","0.360","","19.100","","58.00%","","1.080","","40.110","","55.00%","","1.800","","43.620","","75.00%","","0.720","","30.450","","46.00%","","-0.360","","42.040"
"≈ Near model (-3) | ✅ Success aligned with model","29767","Gerard, Ryan",11,8,"","0.981","","288.282","","66.60%","","1.423","","0.848","","-0.095","","0.686","","-0.308","","66.06%","","57.74%","","3.386","","3.830","","70.244","","4.268","","29.429","","71.118","","80.00%","","-0.360","","17.420","","79.00%","","-0.180","","22.440","","55.00%","","1.080","","35.020","","39.00%","","0.540","","59.970","","66.00%","","0.360","","30.500","","49.00%","","1.620","","37.300"
"≈ Near model (+7) | ✅ Success aligned with model","13562","Matsuyama, Hideki",11,18,"","0.397","","285.246","","55.55%","","-0.035","","-0.732","","0.813","","-0.116","","0.387","","53.55%","","77.51%","","3.217","","4.489","","71.722","","3.331","","30.672","","67.484","","83.00%","","0.900","","15.150","","80.00%","","0.360","","20.310","","48.00%","","-0.900","","38.450","","29.00%","","0.180","","56.790","","73.00%","","1.080","","26.620","","48.00%","","1.080","","39.190"
"✅ Beat model by 18 | ⚠️ Success despite model prediction","17365","Mitchell, Keith",11,29,"","0.309","","303.624","","60.89%","","0.404","","0.109","","-0.495","","0.790","","-0.413","","61.60%","","57.03%","","2.676","","3.747","","71.466","","3.908","","33.641","","49.541","","84.00%","","-0.360","","17.900","","80.00%","","0.180","","22.710","","59.00%","","0.000","","38.140","","39.00%","","0.540","","55.250","","68.00%","","-0.180","","32.090","","51.00%","","0.720","","41.830"
"✅ Beat model by 39 | ⚠️ Success despite model prediction","11676","Finau, Tony",11,50,"","0.285","","291.813","","51.20%","","0.328","","0.284","","0.438","","-0.395","","0.531","","58.75%","","64.85%","","3.467","","4.594","","71.824","","4.011","","31.233","","59.646","","83.00%","","0.000","","18.450","","83.00%","","0.180","","20.860","","56.00%","","-0.720","","38.840","","38.00%","","0.360","","50.810","","68.00%","","0.360","","30.350","","46.00%","","-0.180","","44.810"
"✅ Beat model by 87 | ⚠️ Success despite model prediction","10104","Power, Seamus",11,98,"","-0.199","","289.023","","64.95%","","-0.616","","0.373","","-0.841","","-0.147","","-0.171","","61.07%","","62.18%","","2.945","","3.880","","72.387","","2.982","","33.039","","58.579","","90.00%","","1.260","","14.430","","80.00%","","0.360","","20.850","","59.00%","","0.720","","36.950","","31.00%","","-0.720","","68.770","","68.00%","","-0.360","","33.130","","49.00%","","0.360","","43.550"
"✅ Beat model by 134 | ⚠️ Success despite model prediction","19477","Schenk, Adam",11,145,"","-1.916","","288.188","","50.11%","","-2.001","","-1.225","","-0.379","","-0.397","","-0.923","","54.47%","","59.44%","","2.910","","5.221","","73.747","","2.947","","31.841","","69.121","","82.00%","","-0.900","","18.920","","75.00%","","0.360","","20.900","","54.00%","","-0.540","","36.820","","23.00%","","-1.080","","74.890","","64.00%","","0.180","","30.070","","49.00%","","0.000","","43.850"
"✅ Beat model by 49 | ⚠️ Success despite model prediction","28635","McCarty, Matt",18,67,"","-0.050","","284.770","","61.77%","","-0.423","","0.187","","-0.424","","-0.186","","0.330","","62.91%","","62.35%","","3.057","","4.020","","69.888","","4.497","","30.146","","41.028","","83.00%","","0.720","","15.860","","78.00%","","-0.180","","22.540","","62.00%","","0.900","","35.410","","36.00%","","-0.180","","66.300","","66.00%","","0.540","","28.930","","44.00%","","-0.540","","45.220"
"✅ Beat model by 86 | ⚠️ Success despite model prediction","27774","Gotterup, Chris",18,104,"","-0.875","","298.303","","55.48%","","-0.114","","-0.677","","0.312","","0.358","","-1.121","","57.30%","","60.14%","","3.363","","4.891","","71.522","","3.736","","33.706","","56.416","","84.00%","","-0.540","","19.340","","82.00%","","-0.180","","22.850","","55.00%","","0.000","","42.050","","37.00%","","0.720","","56.800","","70.00%","","0.180","","31.030","","46.00%","","-0.360","","47.450"
"✅ Beat model by 95 | ⚠️ Success despite model prediction","15980","Lipsky, David",18,113,"","0.296","","285.028","","57.68%","","0.210","","0.504","","-0.065","","-0.228","","-0.164","","60.26%","","61.66%","","3.216","","2.889","","72.077","","3.835","","34.481","","59.352","","81.00%","","0.000","","18.010","","79.00%","","0.540","","20.530","","46.00%","","-0.540","","40.010","","31.00%","","-1.080","","62.670","","67.00%","","0.180","","30.840","","49.00%","","0.720","","43.260"
