"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Birdies or Better (Actual)","Birdies or Better (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 64 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (18.62) | ✅ Driving Distance beat model (8.02) | ✅ SG Total beat model (1.805) | ✅ SG T2G beat model (1.544) | Δ Approach ↓ prev 50 100 fw","16283","Rodgers, Patrick",11,75,"2.163","0.358","292.400","284.382","64.27%","48.54%","1.488","-0.057","0.043","0.796","0.790","-0.466","0.654","-0.387","0.676","0.452","75.02%","60.96%","67.85%","64.11%","4.250","4.002","3.750","3.048","70.250","70.651","4.500","3.526","33.362","32.766","60.897","42.277","100.00%","74.20%","-0.071","-2.772","20.889","21.488","62.48%","80.10%","0.009","-0.036","17.763","22.226","56.60%","50.30%","-0.037","-0.072","38.156","43.029","57.06%","42.50%","0.198","1.656","38.373","51.943","70.20%","68.30%","0.056","0.594","30.125","30.365","47.13%","54.30%","-0.001","0.738","52.390","47.988"
"✅ Beat model by 106 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-11.42) | ✅ SG Total beat model (4.158) | ✅ SG T2G beat model (3.613) | ✅ Driving Distance beat model (3.44) | Δ Approach ↓ curr under 150 rgh","8825","Harman, Brian",11,117,"2.163","-1.995","289.175","285.738","67.85%","57.68%","2.232","-1.381","0.215","-0.411","1.259","-0.201","0.757","-0.769","-0.069","-0.535","59.75%","57.93%","70.92%","63.17%","3.000","2.078","4.500","4.130","70.250","72.631","5.000","2.716","32.581","29.804","39.800","51.222","89.60%","86.70%","0.039","0.198","14.488","15.450","77.90%","76.60%","0.007","-0.486","19.131","19.782","54.60%","53.40%","-0.101","-1.512","42.038","38.988","38.20%","36.70%","0.036","0.558","66.284","71.187","66.40%","67.40%","0.012","0.252","29.880","29.292","41.90%","45.80%","-0.033","-0.180","44.792","43.418"
"≈ Near model (-9) | ✅ Success aligned with model | ⚠️ Rough Proximity missed model (5.86) | ✅ Fairway Proximity beat model (-2.81) | ⚠️ SG Around Green missed model (-1.773) | ✅ SG OTT beat model (1.375) | Δ Approach ↑ prev under 150 rgh","26096","Bhatia, Akshay",13,4,"1.913","2.175","290.275","290.057","76.80%","54.50%","1.725","0.886","1.815","0.578","-1.089","0.684","0.999","-0.376","0.188","1.183","69.45%","64.13%","62.25%","75.40%","6.000","3.808","3.750","2.993","70.500","68.443","5.000","5.336","24.719","27.533","64.132","58.268","95.90%","94.30%","-0.004","-0.360","16.649","18.305","91.20%","94.70%","0.068","1.332","18.423","18.782","65.20%","62.20%","0.086","1.224","38.246","40.969","26.80%","29.20%","0.027","0.828","53.999","51.151","71.30%","69.60%","0.054","0.468","28.149","29.663","43.60%","40.80%","-0.013","-0.774","39.255","40.130"
"≈ Near model (-4) | ✅ Success aligned with model | ✅ Rough Proximity beat model (-13.70) | ⚠️ Driving Distance missed model (-1.38) | ⚠️ Fairway Proximity missed model (1.17) | ✅ SG Approach beat model (0.860) | Δ Approach ↑ prev under 150 rgh","14578","Henley, Russell",13,9,"1.913","1.477","281.175","282.553","69.65%","71.08%","1.242","0.509","0.756","-0.104","0.125","0.352","0.361","0.261","0.672","0.856","66.67%","61.32%","64.85%","75.01%","3.750","3.427","2.000","2.329","70.500","69.229","4.500","4.049","33.910","32.736","38.157","51.852","80.80%","78.70%","0.027","0.936","14.980","14.605","80.30%","80.10%","0.054","0.522","19.928","20.322","74.90%","73.90%","0.085","2.250","28.677","30.428","29.00%","26.50%","-0.003","-0.234","54.944","57.555","71.40%","69.90%","0.045","0.666","30.268","30.971","41.40%","37.80%","-0.019","-0.540","52.302","50.109"
"✅ Beat model by 11 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (11.53) | ✅ Driving Distance beat model (3.89) | ✅ Fairway Proximity beat model (-2.49) | ✅ SG T2G beat model (1.289) | Δ Approach ↑ prev over 150 rgh","16243","Koepka, Brooks",13,24,"1.913","1.151","295.225","291.340","53.57%","50.92%","2.202","0.913","1.687","0.969","0.158","-0.148","0.357","0.092","-0.289","0.226","69.45%","67.53%","67.40%","68.76%","4.500","4.031","2.500","3.721","70.500","69.769","4.750","4.375","27.777","30.268","60.748","49.215","52.70%","98.20%","-0.027","0.918","17.336","14.738","92.00%","82.80%","0.052","-0.162","19.732","23.735","45.48%","52.00%","-0.063","0.360","58.894","44.138","61.50%","61.20%","0.074","3.492","43.406","39.219","60.85%","63.40%","0.099","0.090","27.616","29.437","64.10%","49.40%","-0.005","0.090","42.572","40.941"
"✅ Beat model by 20 | ⚠️ Success despite model prediction | ✅ Fairway Proximity beat model (-2.51) | ✅ SG T2G beat model (1.870) | ✅ SG Total beat model (1.592) | ✅ SG Approach beat model (1.186) | Δ Approach ↓ curr 50 100 fw","22760","Hisatsune, Ryo",13,33,"1.913","0.321","288.050","288.921","53.55%","56.46%","2.690","0.820","1.251","0.065","0.748","0.171","0.691","0.584","-0.776","-0.472","77.78%","64.00%","61.48%","62.11%","2.750","2.409","4.000","2.929","70.500","70.692","4.250","3.826","31.649","34.154","46.230","45.515","98.70%","84.60%","-0.118","-1.350","15.125","19.142","73.47%","86.20%","-0.138","-0.540","27.773","21.614","54.09%","70.30%","0.086","1.800","36.403","31.050","73.67%","32.90%","0.269","-0.054","45.968","65.219","61.77%","70.80%","-0.054","0.486","33.896","31.486","38.99%","55.00%","-0.099","1.692","51.383","44.396"
"✅ Beat model by 40 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (9.33) | ✅ Driving Distance beat model (7.79) | ✅ Fairway Proximity beat model (-2.48) | ✅ SG Total beat model (1.258) | Δ Approach ↓ prev under 150 rgh","17576","Conners, Corey",13,53,"1.913","0.655","289.400","281.614","69.63%","59.45%","1.797","1.100","1.513","1.038","-0.417","0.079","0.701","-0.017","0.117","-0.438","66.67%","58.20%","55.40%","65.00%","3.750","3.011","4.000","3.116","70.500","70.370","4.750","3.687","26.598","29.074","62.167","52.838","55.60%","81.70%","0.063","-2.124","12.012","22.746","90.83%","87.10%","0.212","0.702","17.179","19.011","54.59%","42.50%","0.002","-0.684","30.625","42.316","24.91%","32.50%","-0.084","-0.090","70.525","66.757","69.33%","74.40%","0.042","0.612","30.857","29.021","49.72%","47.60%","0.151","0.648","36.802","39.095"
"✅ Beat model by 55 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (23.42) | ⚠️ Fairway Proximity missed model (3.55) | ✅ SG Around Green beat model (2.322) | ✅ SG Total beat model (2.007) | Δ Approach ↑ prev 50 100 fw","18841","Hovland, Viktor",13,68,"1.913","-0.094","282.375","283.141","55.35%","57.61%","1.761","0.101","0.339","0.265","1.877","-0.445","-0.456","0.280","0.153","-0.199","55.55%","63.22%","82.13%","59.99%","4.250","3.460","4.250","3.460","70.500","71.233","3.250","3.559","32.658","29.108","78.158","54.735","100.00%","84.60%","-0.210","1.602","28.565","14.144","56.30%","81.30%","0.062","0.918","18.511","18.113","29.72%","65.10%","-0.351","1.008","79.793","28.674","100.00%","30.80%","0.590","-0.414","21.033","71.630","77.08%","74.50%","0.079","1.314","26.172","25.200","37.50%","41.50%","-0.009","-0.504","43.961","43.692"
"✅ Beat model by 59 | ⚠️ Success despite model prediction | ✅ Fairway Proximity beat model (-4.72) | ✅ SG Total beat model (2.488) | ✅ SG Putting beat model (1.775) | ✅ Rough Proximity beat model (-1.74) | Δ Approach ↑ curr 50 100 fw","19483","Burns, Sam",13,72,"1.913","-0.575","292.300","292.016","60.70%","52.38%","-0.010","-0.715","-0.178","-0.673","-0.358","-0.110","0.526","0.068","1.923","0.148","63.90%","62.67%","63.90%","65.34%","5.250","3.104","5.250","4.176","70.500","71.163","4.500","3.639","28.664","33.384","57.260","59.004","98.30%","95.50%","0.122","1.728","13.302","13.176","77.70%","82.50%","-0.028","0.054","23.438","21.151","57.80%","60.40%","-0.010","-0.144","42.611","39.628","40.90%","39.60%","0.000","-0.198","53.741","54.530","67.40%","60.60%","0.040","0.522","30.114","31.114","42.80%","39.40%","-0.068","-1.854","49.066","52.627"
"✅ Beat model by 68 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-23.99) | ⚠️ Fairway Proximity missed model (3.10) | ✅ SG Total beat model (2.971) | ✅ Driving Distance beat model (2.70) | Δ Approach ↑ curr 50 100 fw","22985","Smotherman, Austin",13,81,"1.913","-1.058","288.575","285.873","75.00%","59.17%","2.320","-0.156","1.219","0.306","-0.377","-0.690","1.477","0.228","-0.406","-0.845","77.78%","63.64%","52.18%","68.49%","3.500","2.286","2.750","3.547","70.500","72.225","3.750","3.400","31.613","28.512","39.776","63.765","100.00%","99.70%","1.757","2.628","-2.814","13.790","100.00%","91.40%","0.196","1.980","10.285","17.871","51.10%","47.60%","-0.073","0.864","50.339","33.819","17.60%","34.10%","-0.047","0.684","60.742","56.647","80.37%","70.40%","0.033","0.576","27.591","28.783","21.34%","51.00%","-0.099","1.818","51.116","34.739"
