
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Overall | 📈 SG Total: trend continuing (1.315) | 📈 SG Approach: trend continuing (0.651) | 📉 SG Putting: trend reversing (0.490) | ⚠️ Success despite model prediction","22760","Hisatsune, Ryo",31,"T10",-12,2.1735,0.89,309.775,262.272,0.5715,0.5345,1.62025,0.599,0.8577500000000002,0.047,0.32,0.436,0.4425,0.116,0.5529999999999999,0.874,0.7637499999999999,0.593,30.82625,27.272,46.32775,47.805,0,68,4.75,0.7052499999999999,3.5,2
"↑ Short Game | 📈 SG Around Green: trend continuing (0.786) | 📉 SG OTT: trend continuing (0.228) | 📈 Greens in Regulation: trend continuing (0.076) | ⚠️ Success despite model prediction","16757","Dou, Zecheng",30,"T13",-11,1.9234999999999998,-0.271,310.42499999999995,212.178,0.48225,0.3258,0.90475,0.243,0.95125,0.303,0.27075,0.049,-0.3172499999999999,-0.109,1.01875,-0.152,0.7082499999999999,0.44270000000000004,27.587500000000002,19.776,68.94624999999999,31.435,0,68.25,5,0.61675,5.25,2.75
"↓ Driving | 📉 SG OTT: trend reversing (2.960) | 📈 SG Around Green: trend continuing (0.389) | ✅ Success aligned with model","18634","McNealy, Maverick",8,"T13",-11,1.9235000000000002,1.673,310.725,287.657,0.57125,0.5633,1.36475,0.518,0.6985,0.126,0.056,0.252,0.61025,0.141,0.55875,1.35,0.764,0.6552,33.38875,33.226,43.55325,52.244,0,68.25,5,0.5375000000000001,4.25,2.5
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (0.942) | 📈 SG Around Green: trend continuing (0.610) | 📉 SG OTT: trend reversing (0.845) | ⚠️ Success despite model prediction","18424","Roy, Kevin",118,"T13",-11,1.9235000000000002,-0.257,311.42499999999995,173.758,0.625,0.2993,1.0932499999999998,-0.471,0.18249999999999997,-0.288,0.82525,-0.069,0.08549999999999999,-0.114,0.83025,-0.536,0.667,0.3846,33.38525,15.603,58.84425,29.025,0,68.25,4.25,0.8472500000000001,3.75,3.5
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (1.352) | 📈 SG Approach: trend continuing (0.268) | 📉 SG OTT: trend reversing (0.410) | ⚠️ Success despite model prediction","18586","Smith, Jordan",78,"T16",-10,1.6735000000000002,-0.399,308.8,175.543,0.57125,0.3414,0.5664999999999999,0.283,0.43374999999999997,0.443,-0.5425,-0.196,0.6752499999999999,0.037,1.107,-0.435,0.764,0.43189999999999995,32.397000000000006,19.066,62.58375000000001,23.959,0,68.5,4.75,0.5952500000000001,3.75,2
"↑ Overall | 📈 SG T2G: trend continuing (1.296) | 📈 SG Around Green: trend reversing (1.418) | 📉 SG Putting: trend reversing (0.210) | ✅ Success aligned with model","17606","Berger, Daniel",4,"T16",-10,1.6735,1.767,306.725,268.697,0.6247499999999999,0.621,1.65875,1.559,1.80775,0.691,-0.5945,0.323,0.4455,0.546,0.014750000000000013,0.09,0.7637499999999999,0.6748999999999999,28.27075,25.927,47.172,44.099,0,68.5,3.75,0.5567500000000001,3.25,2
"↑ Finished better than predicted | ⚠️ Success despite model prediction","12965","Fowler, Rickie",80,"T18",-9,1.4235,-0.325,308.70000000000005,250.236,0.625,0.5490999999999999,0.5365,-0.227,0.67675,0.27,-0.27525000000000005,-0.267,0.135,-0.231,0.887,-0.357,0.653,0.5507,31.202749999999995,24.781,24.73525,42.171,0,68.75,4.25,0.7155,3.5,2.75
"↓ Approach | 📉 SG Approach: trend continuing (2.442) | 📉 SG Total: trend reversing (0.961) | 📉 SG Around Green: trend reversing (0.878) | ✅ Success aligned with model","17543","Kim, Michael",18,"T18",-9,1.4235,0.223,310.875,253.045,0.5535,0.5347999999999999,0.33049999999999996,0.476,-0.060500000000000095,0.372,0.26349999999999996,-0.012,0.1275,0.116,1.0927499999999999,0.516,0.68075,0.5957,31.64875,25.79,46.74799999999999,34.68,0,68.75,4.5,0.6845,3,2
"↑ Approach | 📈 SG Approach: trend continuing (11.910) | 📉 SG T2G: trend reversing (11.080) | 📉 SG OTT: trend reversing (0.899) | ⚠️ Success despite model prediction","17511","Straka, Sepp",47,"T18",-9,1.4234999999999998,0.609,305.45000000000005,264.191,0.57125,0.6114,2.15825,1.169,0.696,1.484,0.96725,-0.434,0.49499999999999994,0.119,-0.73475,-0.051,0.66675,0.6517000000000001,30.579,27.574,57.57425,41.845,0,68.75,4,0.6785,3.5,2.75
"↑ Finished better than predicted | ↑ Approach | 📈 SG Approach: trend continuing (0.623) | 📉 SG OTT: trend continuing (0.331) | 📈 SG Putting: trend continuing (0.281) | ⚠️ Success despite model prediction","23014","Theegala, Sahith",53,"T18",-9,1.4235,0.281,303.42499999999995,269.761,0.4465,0.5286,0.44725000000000004,0.326,0.7749999999999999,0.339,1.0065000000000002,0.106,-1.33425,-0.119,0.9760000000000001,0.508,0.7082499999999999,0.6224000000000001,31.4195,28.329,45.316250000000004,35.338,0,68.75,4.25,0.71675,4.5,2
