
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"28159","Meissner, Mac","T18",0.926583,0.926583,-0.070211,-0.070211,-1.466701,-1.466701,0.144067,0.144067,0.311023,0.311023,0.283668,0.283668,-0.314376,-0.314376,1.643195,1.643195,0.196182,0.196182,-1.56044,1.56044,-0.112029,0.112029
"29433","Bridgeman, Jacob","T18",0.926583,0.926583,-0.038273,-0.038273,0.340096,0.340096,0.008852,0.008852,0.251463,0.251463,-0.710398,-0.710398,0.325342,0.325342,1.866858,1.866858,0.5126,0.5126,-0.134487,0.134487,0.056062,-0.056062
"23504","Hoey, Rico","T24",0.804455,0.804455,0.60048,0.60048,1.060287,1.060287,1.375414,1.375414,1.099423,1.099423,0.520535,0.520535,1.015415,1.015415,-0.639066,-0.639066,0.509749,0.509749,-1.137064,1.137064,0.177285,-0.177285
"23838","Hojgaard, Rasmus","T24",0.804455,0.804455,1.395728,1.395728,-1.646117,-1.646117,0.249268,0.249268,0.706122,0.706122,-0.588964,-0.588964,0.172489,0.172489,1.221656,1.221656,1.461852,1.461852,-1.002645,1.002645,-0.219255,0.219255
"21891","Kitayama, Kurt","T24",0.804455,0.804455,1.510703,1.510703,-0.564566,-0.564566,0.874321,0.874321,1.072981,1.072981,0.595725,0.595725,-0.012245,-0.012245,0.188638,0.188638,1.145435,1.145435,-1.120368,1.120368,-1.524237,1.524237
"11889","Fox, Ryan","T24",0.804455,0.804455,1.616098,1.616098,-1.464174,-1.464174,0.580479,0.580479,0.704325,0.704325,0.049272,0.049272,0.293461,0.293461,0.674152,0.674152,0.5126,0.5126,-0.786706,0.786706,0.521492,-0.521492
"16394","Jaeger, Stephan","T28",0.682328,0.682328,0.680324,0.680324,0.337569,0.337569,0.157574,0.157574,-0.024516,-0.024516,1.234314,1.234314,-0.700531,-0.700531,1.125198,1.125198,0.033697,0.033697,-0.214906,0.214906,0.091176,-0.091176
"21883","Ewart, A.J.","T28",0.682328,0.682328,-0.485401,-0.485401,0.335042,0.335042,1.075869,1.075869,0.912271,0.912271,0.607022,0.607022,0.564901,0.564901,-0.392094,-0.392094,1.302218,1.302218,-0.720659,0.720659,-0.552197,0.552197
"13126","Taylor, Nick","T28",0.682328,0.682328,-0.463044,-0.463044,0.337569,0.337569,0.405944,0.405944,0.895584,0.895584,-0.416697,-0.416697,0.118261,0.118261,0.714818,0.714818,0.196182,0.196182,-0.967053,0.967053,-0.223154,0.223154
"24968","Griffin, Ben","T28",0.682328,0.682328,-0.485401,-0.485401,0.340096,0.340096,0.551064,0.551064,0.68276,0.68276,1.383988,1.383988,-0.866494,-0.866494,0.475036,0.475036,0.672234,0.672234,0.563293,-0.563293,-0.411251,0.411251
"15556","Hughes, Mackenzie","T28",0.682328,0.682328,-1.021953,-1.021953,-0.38515,-0.38515,0.528854,0.528854,-0.169822,-0.169822,1.468357,1.468357,0.007718,0.007718,0.511487,0.511487,0.036548,0.036548,1.1291,-1.1291,-0.227299,0.227299
"14577","English, Harris","T28",0.682328,0.682328,-0.019111,-0.019111,1.237176,1.237176,0.555116,0.555116,0.251719,0.251719,-0.557193,-0.557193,1.280301,1.280301,0.468341,0.468341,1.305069,1.305069,-0.578106,0.578106,-0.541817,0.541817
"16841","Lee, Min Woo","T28",0.682328,0.682328,2.028093,2.028093,-0.023791,-0.023791,1.009987,1.009987,-0.444261,-0.444261,1.98304,1.98304,0.847068,0.847068,-0.283237,-0.283237,-0.439503,-0.439503,0.204618,-0.204618,-0.271417,0.271417
"13764","Parry, John","T35",0.5602,0.5602,0.223616,0.223616,-0.021264,-0.021264,0.090792,0.090792,0.942821,0.942821,-0.735461,-0.735461,-0.293221,-0.293221,0.98733,0.98733,0.669383,0.669383,-1.076826,1.076826,-0.81282,0.81282
"25569","Stevens, Sam","T35",0.5602,0.5602,0.635611,0.635611,0.514458,0.514458,0.695134,0.695134,0.551573,0.551573,0.648676,0.648676,0.192452,0.192452,-0.011221,-0.011221,-0.120235,-0.120235,-0.495669,0.495669,-0.33102,0.33102
"23604","Clark, Wyndham","T35",0.5602,0.5602,0.578124,0.578124,0.335042,0.335042,0.482031,0.482031,0.202942,0.202942,0.092338,0.092338,0.643562,0.643562,0.341136,0.341136,0.672234,0.672234,-1.94107,1.94107,1.487598,-1.487598
"24766","Kim, Tom","T35",0.5602,0.5602,-0.935722,-0.935722,1.05776,1.05776,0.652814,0.652814,0.900462,0.900462,-0.254667,-0.254667,0.465979,0.465979,0.058953,0.058953,0.988651,0.988651,-0.769399,0.769399,-0.561352,0.561352
"21554","Poston, J.T.","T35",0.5602,0.5602,-0.21393,-0.21393,0.516985,0.516985,0.399341,0.399341,0.606513,0.606513,-1.135064,-1.135064,1.046999,1.046999,0.477764,0.477764,1.145435,1.145435,-1.046126,1.046126,-0.701168,0.701168
