"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 19 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-11.50) | ✅ Rough Proximity beat model (-9.92) | ✅ SG Total beat model (1.738) | ⚠️ Fairway Proximity missed model (1.43) | Δ Approach ↑ curr over 150 rgh","16243","Koepka, Brooks",9,28,"1.758","0.020","287.550","299.053","53.57%","52.71%","1.074","0.678","0.732","0.303","-0.142","0.160","0.484","0.215","0.684","-0.669","76.40%","64.74%","63.20%","61.25%","3.750","3.842","2.250","4.522","68.500","71.043","32.346","30.913","39.701","49.621","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","50.90%","50.90%","0.098","1.764","42.148","42.148","69.40%","69.40%","0.234","4.212","33.943","33.943","58.50%","58.50%","-0.037","-0.666","29.088","29.088","","0.00%","","0.000","","0.000"
"✅ Beat model by 101 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-25.08) | ⚠️ Driving Distance missed model (-6.16) | ✅ SG Total beat model (2.735) | ✅ SG T2G beat model (2.410) | Δ Approach ↓ curr over 150 rgh","20722","Schmid, Matti",9,110,"1.758","-0.977","289.475","295.637","51.80%","57.68%","1.337","-1.073","0.828","-0.622","0.030","-0.248","0.479","-0.203","0.421","0.409","74.98%","61.95%","66.78%","68.06%","4.500","3.103","1.750","4.791","68.500","70.485","33.529","31.411","44.142","69.224","65.80%","65.80%","-0.129","-2.322","20.892","20.892","67.10%","67.10%","-0.131","-2.358","29.580","29.580","54.90%","54.90%","-0.086","-1.548","43.210","43.210","26.80%","26.80%","-0.155","-2.790","77.215","77.215","70.50%","70.50%","-0.036","-0.648","33.047","33.047","36.60%","36.60%","-0.069","-1.242","48.760","48.760"
"✅ Success aligned with model | ⚠️ Driving Distance missed model (-26.58) | ⚠️ Rough Proximity missed model (6.22) | ✅ Fairway Proximity beat model (-1.54) | ✅ SG Putting beat model (1.527) | Δ Approach ↓ curr over 150 rgh","21883","Ewart, A.J.",13,11,"1.508","0.665","275.100","301.683","55.35%","56.57%","0.233","0.675","0.780","0.326","-0.302","0.157","-0.244","0.191","1.275","-0.252","72.23%","73.06%","74.17%","68.41%","3.250","2.711","2.500","3.219","68.750","69.510","27.772","29.311","59.448","53.230","87.10%","87.10%","-0.011","-0.198","14.842","14.842","80.60%","80.60%","-0.004","-0.072","23.119","23.119","62.10%","62.10%","0.024","0.432","34.410","34.410","29.10%","29.10%","-0.075","-1.350","70.533","70.533","72.50%","72.50%","0.013","0.234","28.190","28.190","44.00%","44.00%","0.014","0.252","44.168","44.168"
"✅ Beat model by 60 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-12.66) | ✅ Rough Proximity beat model (-4.41) | ✅ SG Total beat model (2.538) | ⚠️ Fairway Proximity missed model (2.47) | Δ Approach ↑ curr under 150 rgh","13470","Kizzire, Patton",13,73,"1.508","-1.030","278.025","290.681","51.80%","51.99%","1.385","-0.846","1.264","-0.100","0.569","0.398","-0.448","-1.144","0.123","-0.053","66.65%","67.51%","64.18%","60.81%","3.500","3.115","2.500","3.674","68.750","70.693","32.910","30.436","48.933","53.340","98.20%","98.20%","-0.096","-1.728","23.528","23.528","80.30%","80.30%","0.093","1.674","16.085","16.085","59.40%","59.40%","0.099","1.782","26.146","26.146","33.90%","33.90%","0.045","0.810","48.127","48.127","67.50%","67.50%","-0.014","-0.252","30.767","30.767","44.00%","44.00%","-0.029","-0.522","48.587","48.587"
"✅ Beat model by 88 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-17.75) | ✅ Fairway Proximity beat model (-6.72) | ✅ SG Total beat model (4.304) | ✅ SG T2G beat model (3.468) | Δ Approach ↓ curr under 150 rgh","25475","Nyholm, Pontus",13,101,"1.508","-2.796","287.800","305.547","51.77%","32.89%","0.467","-3.001","0.506","-1.235","-0.203","0.052","0.165","-1.818","1.041","-0.399","69.45%","58.43%","61.35%","56.98%","3.000","2.345","2.250","5.902","68.750","73.089","31.452","38.168","57.143","56.439","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","46.20%","46.20%","-0.180","-3.240","53.211","53.211","42.80%","42.80%","-0.003","-0.054","59.295","59.295","58.10%","58.10%","-0.163","-2.934","44.410","44.410","","0.00%","","0.000","","0.000"
"✅ Beat model by 91 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (44.38) | ⚠️ Driving Distance missed model (-4.69) | ✅ SG Total beat model (3.037) | ✅ SG T2G beat model (1.982) | Δ Approach ↑ curr over 200 fw","17538","Homa, Max",13,104,"1.508","-1.529","287.150","291.836","60.70%","59.19%","1.107","-0.876","0.208","0.001","0.260","-0.740","0.638","-0.137","0.401","-0.543","66.67%","65.63%","70.83%","58.66%","3.500","2.625","2.500","4.944","68.750","71.078","31.208","30.006","92.318","47.942","81.10%","81.10%","0.036","0.648","16.099","16.099","70.70%","70.70%","0.030","0.540","21.857","21.857","52.90%","52.90%","0.040","0.720","40.872","40.872","54.90%","54.90%","0.059","1.062","65.544","65.544","63.60%","63.60%","-0.046","-0.828","32.584","32.584","56.90%","56.90%","0.105","1.890","38.694","38.694"
"⚠️ Missed model by 12 | ✅ Success aligned with model | ⚠️ Driving Distance missed model (-17.93) | ✅ SG Approach beat model (1.158) | ✅ SG T2G beat model (0.837) | ✅ Rough Proximity beat model (-0.80) | Δ Approach ↑ curr 50 100 fw","16757","Dou, Zecheng",17,5,"1.258","0.681","280.350","298.283","46.42%","52.61%","1.573","0.736","1.630","0.472","0.714","0.395","-0.770","-0.131","-0.315","-0.296","72.23%","67.35%","55.20%","66.89%","3.750","4.226","2.750","3.326","69.000","69.422","27.484","27.659","57.943","58.740","75.70%","75.70%","0.115","2.070","12.087","12.087","81.00%","81.00%","0.085","1.530","18.935","18.935","45.70%","45.70%","-0.041","-0.738","40.544","40.544","34.10%","34.10%","0.022","0.396","58.634","58.634","78.70%","78.70%","0.045","0.810","29.654","29.654","61.30%","61.30%","0.090","1.620","42.927","42.927"
"✅ Beat model by 10 | ⚠️ Success despite model prediction | ⚠️ Driving Distance missed model (-20.91) | ✅ Rough Proximity beat model (-7.78) | ✅ Fairway Proximity beat model (-2.80) | ✅ SG Total beat model (1.442) | Δ Approach ↑ curr 100 150 fw","29925","Yellamaraju, Sudarshan",17,27,"1.258","-0.184","287.800","308.708","66.05%","51.87%","0.882","-0.364","0.311","0.355","-0.274","-0.353","0.846","-0.366","0.376","0.134","75.00%","68.53%","60.98%","59.29%","4.250","2.983","3.500","4.058","69.000","70.322","26.848","29.650","49.080","56.856","98.40%","98.40%","0.076","1.368","14.825","14.825","82.20%","82.20%","0.093","1.674","16.423","16.423","54.60%","54.60%","0.007","0.126","37.422","37.422","46.80%","46.80%","0.076","1.368","51.697","51.697","58.60%","58.60%","-0.083","-1.494","34.507","34.507","42.70%","42.70%","-0.002","-0.036","38.045","38.045"
"✅ Beat model by 43 | ⚠️ Success despite model prediction | ✅ Rough Proximity beat model (-22.06) | ⚠️ Driving Distance missed model (-19.64) | ✅ SG Total beat model (1.106) | ✅ SG Putting beat model (0.901) | Δ Approach ↓ curr 50 100 fw","21407","Reitan, Kristoffer",17,60,"1.258","0.152","289.900","309.540","62.50%","54.42%","0.596","0.201","-0.313","-0.219","0.447","-0.245","0.462","0.665","0.662","-0.239","76.40%","69.75%","55.33%","59.01%","4.500","3.247","4.000","4.688","69.000","70.143","32.990","33.086","37.465","59.526","61.40%","61.40%","-0.230","-4.140","23.369","23.369","71.40%","71.40%","-0.046","-0.828","23.621","23.621","53.40%","53.40%","0.094","1.692","30.073","30.073","34.10%","34.10%","-0.030","-0.540","81.155","81.155","73.00%","73.00%","-0.020","-0.360","31.855","31.855","35.40%","35.40%","-0.063","-1.134","42.169","42.169"
"✅ Beat model by 73 | ⚠️ Success despite model prediction | ⚠️ Rough Proximity missed model (16.46) | ⚠️ Driving Distance missed model (-11.02) | ✅ Fairway Proximity beat model (-2.53) | ✅ SG Total beat model (2.045) | Δ Approach ↓ curr over 200 fw","19729","Kanaya, Takumi",17,90,"1.258","-0.787","283.625","294.646","64.27%","69.53%","0.407","-0.812","-0.929","-1.145","0.631","-0.147","0.705","0.480","0.851","-0.249","62.50%","63.48%","68.38%","65.01%","4.250","3.037","2.500","2.830","69.000","70.705","35.037","37.572","69.777","53.313","80.90%","80.90%","-0.129","-2.322","19.371","19.371","75.40%","75.40%","-0.053","-0.954","23.850","23.850","45.30%","45.30%","-0.008","-0.144","24.784","24.784","33.50%","33.50%","0.052","0.936","54.184","54.184","66.70%","66.70%","-0.033","-0.594","36.497","36.497","22.70%","22.70%","-0.173","-3.114","64.838","64.838"
