
Tournament: American Express (2026),Last updated: 2026-02-23T13:08:01.927Z
Course: La Quinta Country Club,Found 156 players from historical_csv
Data Date: 2026-02-23T19:56:20.841Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"12965","Fowler, Rickie","T18",1.034429,1.034429,0.769969,0.769969,0.440012,0.440012,0.674417,0.674417,1.055667,1.055667,-0.630066,-0.630066,0.378752,0.378752,-0.166373,-0.166373,1.077474,1.077474,-0.250599,0.250599,-0.069698,0.069698
"24304","Vilips, Karl","T18",1.034429,1.034429,0.790144,0.790144,0.864452,0.864452,0.798326,0.798326,0.929942,0.929942,-0.466583,-0.466583,0.700566,0.700566,0.538306,0.538306,1.080381,1.080381,0.123142,-0.123142,2.076714,-2.076714
"27194","Hall, Harry","T24",1.059003,1.059003,0.882142,0.882142,0.440012,0.440012,-0.16806,-0.16806,-0.571974,-0.571974,0.439459,0.439459,0.13695,0.13695,1.891546,1.891546,0.594897,0.594897,0.206578,-0.206578,1.87487,-1.87487
"6430","Scott, Adam","T24",0.775102,0.775102,0.891019,0.891019,1.507091,1.507091,0.855515,0.855515,0.561695,0.561695,-0.217466,-0.217466,1.189464,1.189464,-0.107956,-0.107956,0.917584,0.917584,0.362393,-0.362393,-1.086876,1.086876
"24968","Griffin, Ben","T24",0.775102,0.775102,0.928142,0.928142,0.864452,0.864452,0.435865,0.435865,0.070582,0.070582,1.011349,1.011349,-0.141328,-0.141328,0.161588,0.161588,0.917584,0.917584,1.07347,-1.07347,-0.177344,0.177344
"16715","Ryder, Sam","T27",0.637819,0.637819,0.801442,0.801442,1.291882,1.291882,0.416008,0.416008,1.32819,1.32819,-1.389392,-1.389392,0.101651,0.101651,1.576005,1.576005,0.917584,0.917584,0.546643,-0.546643,-0.552594,0.552594
"21756","Cole, Eric","T27",0.637819,0.637819,0.81274,0.81274,-0.199638,-0.199638,-0.844001,-0.844001,-0.145866,-0.145866,-0.273757,-0.273757,-1.36622,-1.36622,1.005178,1.005178,1.240271,1.240271,0.521009,-0.521009,1.322143,-1.322143
"32457","Keefer, Johnny","T27",0.759863,0.759863,0.935405,0.935405,0.224802,0.224802,1.111542,1.111542,1.556781,1.556781,-0.045001,-0.045001,-0.050137,-0.050137,-0.465815,-0.465815,1.403068,1.403068,-0.215989,0.215989,0.426059,-0.426059
"14577","English, Harris","T27",0.759863,0.759863,0.868423,0.868423,1.079661,1.079661,0.332078,0.332078,-1.214887,-1.214887,1.448501,1.448501,1.315954,1.315954,0.428372,0.428372,0.27221,0.27221,1.26095,-1.26095,0.24593,-0.24593
"11276","Horschel, Billy","T27",0.637819,0.637819,0.695724,0.695724,-0.411859,-0.411859,0.879874,0.879874,1.261399,1.261399,1.456884,1.456884,-1.553896,-1.553896,0.769672,0.769672,1.080381,1.080381,1.361763,-1.361763,0.588731,-0.588731
"17538","Homa, Max","T27",0.92172,0.92172,0.829687,0.829687,0.864452,0.864452,1.088772,1.088772,1.094956,1.094956,-0.164769,-0.164769,0.777636,0.777636,1.087974,1.087974,0.917584,0.917584,0.747192,-0.747192,-0.083362,0.083362
"18586","Smith, Jordan","T27",0.637819,0.637819,0.778846,0.778846,0.012582,0.012582,0.311426,0.311426,0.484189,0.484189,-0.085123,-0.085123,-0.021898,-0.021898,-0.082658,-0.082658,0.917584,0.917584,1.303674,-1.303674,-0.257015,0.257015
"19483","Burns, Sam","T27",0.759863,0.759863,0.88537,0.88537,0.652232,0.652232,0.783235,0.783235,0.46633,0.46633,0.038237,0.038237,0.934719,0.934719,-0.355421,-0.355421,0.754787,0.754787,1.031105,-1.031105,0.86053,-0.86053
"19960","Pavon, Matthieu","T27",0.637819,0.637819,0.753021,0.753021,0.652232,0.652232,-0.165942,-0.165942,-0.387315,-0.387315,0.482575,0.482575,-0.204867,-0.204867,0.747134,0.747134,0.594897,0.594897,0.914854,-0.914854,-0.180768,0.180768
"23505","McGreevy, Max","T27",0.759863,0.759863,0.786109,0.786109,1.294871,1.294871,0.78906,0.78906,0.819575,0.819575,-0.551019,-0.551019,0.944721,0.944721,0.554405,0.554405,1.400161,1.400161,0.410718,-0.410718,-0.031236,0.031236
"13126","Taylor, Nick","T27",0.759863,0.759863,0.827266,0.827266,1.079661,1.079661,-0.24643,-0.24643,-2.030314,-2.030314,1.889245,1.889245,0.940602,0.940602,0.513467,0.513467,0.4321,0.4321,1.878825,-1.878825,2.311407,-2.311407
"24766","Kim, Tom","T38",0.784437,0.784437,0.689268,0.689268,1.507091,1.507091,0.635232,0.635232,0.361321,0.361321,0.168185,0.168185,0.651146,0.651146,-0.88393,-0.88393,0.757694,0.757694,0.427304,-0.427304,-0.568725,0.568725
"16841","Lee, Min Woo","T38",0.500536,0.500536,0.870037,0.870037,0.652232,0.652232,0.277537,0.277537,0.508477,0.508477,-0.748636,-0.748636,0.514655,0.514655,-0.943727,-0.943727,0.594897,0.594897,0.291882,-0.291882,0.471493,-0.471493
"14509","Dahmen, Joel","T38",0.784437,0.784437,0.761091,0.761091,1.507091,1.507091,0.54786,0.54786,-0.225516,-0.225516,0.611325,0.611325,0.988257,0.988257,-0.272166,-0.272166,0.757694,0.757694,1.584428,-1.584428,-0.799409,0.799409
"21554","Poston, J.T.","T38",0.784437,0.784437,0.897476,0.897476,0.652232,0.652232,0.858692,0.858692,1.624644,1.624644,-0.707316,-0.707316,-0.073082,-0.073082,-1.272148,-1.272148,1.240271,1.240271,-0.223313,0.223313,-0.464256,0.464256
"18103","Bezuidenhout, Christiaan","T38",0.500536,0.500536,0.643269,0.643269,0.440012,0.440012,0.730282,0.730282,0.896724,0.896724,0.41311,0.41311,-0.260169,-0.260169,1.030017,1.030017,1.240271,1.240271,0.795013,-0.795013,0.750447,-0.750447
"23323","MacIntyre, Robert","T38",0.500536,0.500536,0.860353,0.860353,0.227791,0.227791,-1.236381,-1.236381,-1.71493,-1.71493,-0.346217,-0.346217,0.417581,0.417581,1.226425,1.226425,-0.213274,-0.213274,2.065803,-2.065803,1.131002,-1.131002
"25002","Wu, Dylan","T44",0.363253,0.363253,0.797407,0.797407,0.652232,0.652232,-0.634044,-0.634044,-0.42839,-0.42839,-0.365379,-0.365379,-0.3443,-0.3443,-0.279526,-0.279526,0.435007,0.435007,0.45301,-0.45301,1.495857,-1.495857
"12909","Campos, Rafael","T44",0.363253,0.363253,0.886177,0.886177,-0.411859,-0.411859,0.353259,0.353259,1.213537,1.213537,-1.450474,-1.450474,0.211079,0.211079,0.3051,0.3051,1.080381,1.080381,0.211676,-0.211676,0.46116,-0.46116
"17365","Mitchell, Keith","T44",0.485297,0.485297,1.201717,1.201717,1.079661,1.079661,0.465783,0.465783,-0.033713,-0.033713,-1.015717,-1.015717,2.088425,2.088425,-0.72386,-0.72386,1.240271,1.240271,0.56804,-0.56804,0.3636,-0.3636
"21883","Ewart, A.J.","T44",0.647154,0.647154,0.849862,0.849862,0.652232,0.652232,-0.264169,-0.264169,-0.553044,-0.553044,0.179563,0.179563,0.14754,0.14754,0.218625,0.218625,1.077474,1.077474,0.039993,-0.039993,0.737863,-0.737863
"23656","Young, Carson","T44",0.647154,0.647154,0.835336,0.835336,0.440012,0.440012,0.891258,0.891258,0.784215,0.784215,0.22747,0.22747,0.465236,0.465236,0.051195,0.051195,1.240271,1.240271,0.041788,-0.041788,0.183316,-0.183316
"16283","Rodgers, Patrick","T44",0.647154,0.647154,0.854704,0.854704,-0.199638,-0.199638,0.880403,0.880403,1.450344,1.450344,0.323883,0.323883,-0.750832,-0.750832,-0.389919,-0.389919,1.562958,1.562958,0.628643,-0.628643,0.148493,-0.148493
