"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"≈ Near model (+7)","18103","Bezuidenhout, Christiaan",38,45,"","0.497","","288.746","","57.01%","","0.213","","0.106","","0.368","","-0.262","","1.118","","65.81%","","71.65%","","2.243","","2.069","","69.679","","31.184","","60.881","","85.00%","","1.026","","14.710","","85.30%","","0.072","","22.254","","45.90%","","-1.026","","39.597","","36.40%","","0.072","","66.879","","69.50%","","0.450","","30.958","","44.00%","","-0.054","","48.173"
"✅ Beat model by 34","24766","Kim, Tom",38,72,"","0.339","","296.518","","61.68%","","0.336","","0.569","","-0.147","","-0.086","","-0.846","","71.49%","","61.59%","","2.461","","2.443","","69.631","","30.424","","49.423","","83.80%","","0.792","","17.098","","79.60%","","0.360","","20.363","","51.20%","","0.270","","37.710","","35.80%","","-0.180","","65.653","","64.70%","","-0.036","","31.000","","44.60%","","-0.414","","50.502"
"⚠️ Missed model by 27 | ❌ Underperformed model prediction","27819","Castillo, Ricky",44,17,"","1.821","","292.590","","61.22%","","1.429","","0.548","","0.216","","0.665","","0.377","","71.13%","","65.24%","","3.793","","2.228","","68.344","","33.741","","46.935","","85.80%","","-0.738","","18.797","","74.70%","","-0.324","","23.486","","69.00%","","1.386","","31.685","","39.80%","","0.486","","63.193","","62.30%","","-0.720","","33.904","","49.50%","","-0.108","","44.745"
"⚠️ Missed model by 24 | ❌ Underperformed model prediction","6169","Kuchar, Matt",44,20,"","0.382","","286.498","","65.84%","","0.066","","-0.366","","0.632","","-0.200","","-0.096","","68.38%","","70.30%","","2.483","","2.611","","69.397","","32.951","","42.986","","85.20%","","0.144","","16.676","","82.40%","","1.224","","19.545","","63.50%","","1.026","","31.740","","39.60%","","0.630","","60.689","","63.10%","","-0.738","","33.888","","46.30%","","0.288","","42.701"
"≈ Near model (-8)","18474","Smalley, Alex",44,36,"","0.555","","302.274","","52.93%","","0.420","","0.306","","0.022","","0.092","","-0.607","","73.06%","","66.09%","","3.698","","2.841","","69.377","","29.623","","52.023","","80.10%","","-0.594","","17.818","","79.20%","","-0.234","","21.815","","55.40%","","-0.648","","39.240","","43.50%","","0.792","","57.171","","63.80%","","-0.180","","30.683","","51.00%","","0.828","","41.895"
"≈ Near model (-3)","17365","Mitchell, Keith",44,41,"","0.511","","313.206","","55.29%","","-0.168","","-0.698","","-0.034","","0.564","","-0.629","","68.82%","","63.83%","","3.134","","3.159","","69.481","","32.506","","43.816","","84.00%","","-0.270","","17.847","","80.80%","","0.396","","22.453","","59.10%","","0.144","","37.722","","38.80%","","0.360","","55.511","","67.10%","","-0.180","","32.249","","50.90%","","0.738","","41.943"
"≈ Near model (+3)","23838","Hojgaard, Rasmus",44,47,"","1.359","","306.452","","45.88%","","0.534","","0.717","","-0.175","","-0.008","","-0.272","","73.53%","","62.47%","","3.585","","2.813","","68.715","","27.878","","55.017","","80.40%","","-1.530","","20.623","","80.70%","","0.288","","21.825","","60.30%","","0.324","","39.491","","38.60%","","0.288","","63.013","","65.40%","","-0.306","","31.133","","52.70%","","0.018","","44.702"
"✅ Beat model by 13","21883","Ewart, A.J.",44,57,"","0.851","","288.085","","55.81%","","0.390","","0.496","","-0.060","","-0.046","","0.911","","72.72%","","70.98%","","2.822","","2.981","","69.250","","28.901","","55.032","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 19","22760","Hisatsune, Ryo",44,63,"","0.361","","296.861","","59.69%","","0.561","","0.322","","-0.154","","0.393","","-0.786","","70.55%","","61.41%","","3.424","","3.552","","69.395","","30.269","","45.579","","78.00%","","-1.800","","20.049","","84.00%","","-0.270","","22.362","","63.50%","","0.288","","36.487","","36.20%","","0.144","","60.013","","71.30%","","0.648","","29.982","","44.10%","","-0.216","","45.832"
"✅ Beat model by 22","16283","Rodgers, Patrick",44,66,"","-0.683","","304.398","","52.39%","","-0.450","","-0.543","","-0.011","","0.104","","0.389","","66.16%","","55.21%","","4.490","","4.318","","70.592","","33.808","","49.334","","80.90%","","-0.738","","18.903","","75.30%","","-0.342","","22.954","","55.50%","","-0.396","","38.795","","37.50%","","0.558","","57.373","","67.70%","","0.558","","29.617","","40.30%","","-0.576","","46.621"
"✅ Beat model by 74","15980","Lipsky, David",44,118,"","-0.898","","290.587","","55.99%","","-0.368","","0.043","","0.319","","-0.731","","0.432","","63.22%","","62.92%","","2.402","","3.277","","70.896","","31.689","","58.645","","79.80%","","-0.180","","18.507","","79.50%","","0.468","","20.728","","44.80%","","-0.558","","40.388","","31.80%","","-1.152","","63.005","","65.80%","","0.090","","30.853","","49.20%","","0.774","","42.951"
"✅ Beat model by 83","25002","Wu, Dylan",44,127,"","-0.829","","287.394","","52.58%","","-0.236","","0.108","","-0.056","","-0.289","","-0.197","","66.66%","","52.85%","","3.031","","3.264","","70.834","","33.544","","52.650","","89.80%","","-0.054","","20.786","","86.00%","","0.792","","21.100","","48.60%","","-0.936","","40.456","","38.60%","","0.378","","60.906","","69.40%","","-0.126","","33.272","","35.70%","","-1.548","","47.741"
"✅ Beat model by 95","23656","Young, Carson",44,139,"","-0.292","","293.243","","54.70%","","-0.964","","-0.686","","-0.169","","-0.110","","-0.782","","64.32%","","61.92%","","3.810","","3.986","","70.206","","33.264","","55.175","","79.30%","","-1.278","","20.365","","78.90%","","-0.018","","23.054","","63.60%","","1.188","","36.180","","30.00%","","0.000","","63.925","","70.20%","","-0.180","","30.583","","43.50%","","-0.216","","45.331"
"✅ Beat model by 111","12909","Campos, Rafael",44,155,"","-2.256","","295.336","","56.00%","","-2.119","","-0.823","","-0.813","","-0.483","","-1.502","","61.02%","","52.00%","","3.410","","5.703","","72.774","","33.143","","50.871","","70.30%","","-3.096","","22.580","","74.90%","","-0.540","","23.524","","57.30%","","-0.486","","39.004","","34.90%","","-0.108","","59.545","","62.00%","","-0.468","","33.945","","43.70%","","-1.116","","47.702"
"⚠️ Missed model by 42 | ❌ Underperformed model prediction","17606","Berger, Daniel",56,14,"","1.263","","299.555","","63.03%","","1.338","","1.377","","-0.331","","0.292","","-0.422","","75.72%","","61.47%","","3.188","","2.758","","68.696","","27.902","","45.228","","91.80%","","1.116","","14.494","","78.10%","","0.018","","21.105","","57.60%","","0.180","","36.957","","41.90%","","0.396","","59.118","","72.50%","","0.882","","28.122","","51.10%","","0.504","","43.039"
"⚠️ Missed model by 21","21944","Moore, Taylor",56,35,"","1.735","","308.476","","60.91%","","0.928","","-0.425","","0.581","","0.772","","-0.341","","71.66%","","67.18%","","4.294","","2.805","","68.148","","31.102","","57.210","","81.20%","","0.378","","17.548","","78.10%","","-0.702","","24.079","","56.00%","","0.090","","38.854","","32.40%","","0.018","","57.827","","66.20%","","-0.990","","33.700","","50.70%","","0.180","","46.434"
"⚠️ Missed model by 10","19870","McCarthy, Denny",56,46,"","0.533","","294.578","","56.57%","","0.263","","0.380","","0.062","","-0.179","","-0.033","","70.88%","","71.42%","","2.917","","2.815","","69.225","","30.571","","49.358","","88.40%","","-0.108","","17.552","","84.30%","","-0.072","","21.132","","60.10%","","0.792","","33.040","","34.30%","","-0.018","","62.647","","71.80%","","0.360","","31.316","","48.00%","","0.396","","46.205"
"✅ Beat model by 22","29197","Brennan, Michael",56,78,"","-0.458","","308.559","","61.45%","","0.632","","0.184","","-0.632","","1.080","","-0.982","","64.74%","","58.50%","","4.615","","4.662","","70.406","","31.270","","48.282","","78.60%","","2.196","","11.955","","85.40%","","-0.522","","23.244","","37.40%","","-1.404","","44.753","","0.00%","","0.000","","0.000","","54.00%","","-1.476","","35.087","","0.00%","","0.000","","0.000"
"✅ Beat model by 61","13764","Parry, John",56,117,"","-0.977","","297.028","","60.15%","","0.035","","-0.003","","-0.277","","0.314","","-0.964","","70.80%","","54.63%","","2.213","","2.924","","71.082","","32.012","","41.252","","92.20%","","3.348","","13.118","","81.10%","","0.414","","21.903","","60.40%","","-1.494","","40.199","","47.00%","","1.080","","54.937","","76.50%","","0.198","","33.470","","40.80%","","-0.432","","45.538"
"✅ Beat model by 79","23465","Greyserman, Max",56,135,"","-0.325","","301.732","","49.18%","","-0.398","","0.045","","-0.028","","-0.415","","-0.178","","65.21%","","63.25%","","3.575","","4.178","","70.086","","31.258","","41.885","","86.00%","","-0.810","","19.193","","80.20%","","-0.054","","22.057","","50.90%","","-0.288","","39.087","","31.50%","","-0.738","","68.326","","69.10%","","0.180","","32.062","","47.60%","","0.054","","45.823"
"✅ Beat model by 96","19872","Riley, Davis",56,152,"","-2.208","","303.686","","48.77%","","-2.258","","-0.902","","-0.090","","-1.266","","-0.244","","61.34%","","64.67%","","2.928","","5.145","","72.430","","36.969","","63.001","","81.60%","","0.432","","15.010","","78.00%","","-0.018","","21.755","","51.10%","","-0.450","","39.770","","38.10%","","0.342","","61.727","","65.50%","","-0.180","","30.951","","39.50%","","-1.872","","51.009"
"⚠️ Missed model by 55 | ❌ Underperformed model prediction","17646","Fitzpatrick, Matt",63,8,"","1.335","","304.061","","68.11%","","2.026","","0.906","","0.285","","0.835","","-1.084","","74.07%","","59.04%","","3.226","","2.761","","68.547","","29.773","","50.863","","88.90%","","0.684","","15.719","","76.50%","","-0.378","","22.366","","58.30%","","-0.486","","44.005","","36.70%","","0.684","","58.943","","65.80%","","-0.162","","30.995","","60.90%","","1.764","","40.013"
"⚠️ Missed model by 52 | ❌ Underperformed model prediction","28159","Meissner, Mac",63,11,"","0.812","","299.714","","48.63%","","0.900","","0.617","","0.382","","-0.099","","-0.611","","69.92%","","69.23%","","3.802","","2.833","","69.596","","27.584","","52.813","","81.40%","","-0.270","","18.263","","81.60%","","0.630","","20.823","","52.90%","","0.090","","37.461","","28.70%","","-0.018","","56.078","","71.40%","","0.234","","31.014","","45.00%","","0.378","","43.246"
"⚠️ Missed model by 39","10104","Power, Seamus",63,24,"","0.244","","297.810","","53.69%","","0.538","","0.308","","0.325","","-0.095","","0.757","","69.48%","","67.72%","","3.341","","2.946","","69.713","","29.094","","50.538","","89.70%","","1.314","","14.542","","79.90%","","0.414","","20.904","","59.40%","","0.720","","36.751","","29.90%","","-0.630","","68.349","","67.90%","","-0.324","","33.183","","49.20%","","0.198","","43.585"
"≈ Near model (+7)","30620","Chatfield, Davis",63,70,"","-1.497","","280.744","","53.61%","","-0.709","","-0.778","","0.541","","-0.472","","-0.842","","59.19%","","65.67%","","2.960","","3.395","","72.322","","30.938","","70.550","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 61","19840","Ramey, Chad",63,124,"","0.000","","303.465","","52.46%","","-1.064","","-0.481","","-0.501","","-0.082","","1.297","","72.05%","","49.07%","","4.024","","3.765","","69.978","","32.731","","64.972","","86.80%","","0.900","","15.987","","75.40%","","-0.504","","23.342","","53.80%","","0.270","","38.355","","31.80%","","-0.666","","63.767","","65.00%","","-0.108","","33.515","","48.90%","","-0.360","","46.368"
"✅ Beat model by 80","27164","Phillips, Chandler",63,143,"","-1.322","","298.159","","54.92%","","-2.390","","-1.469","","-0.265","","-0.655","","-0.021","","56.34%","","65.40%","","3.177","","4.225","","71.344","","35.385","","55.593","","86.30%","","0.072","","16.820","","80.50%","","0.198","","21.602","","56.10%","","0.324","","36.208","","33.40%","","-1.098","","66.383","","63.90%","","-0.036","","31.008","","45.20%","","0.126","","44.446"
"✅ Beat model by 17","22002","Dumont De Chassart, Adrien",69,86,"","-0.317","","299.695","","53.51%","","0.071","","0.393","","-0.089","","-0.233","","-1.270","","64.13%","","65.43%","","3.807","","4.012","","70.493","","30.909","","50.639","","89.10%","","0.198","","15.796","","0.00%","","0.000","","0.000","","50.00%","","1.062","","38.362","","19.80%","","-1.818","","73.852","","71.10%","","0.252","","30.859","","0.00%","","0.000","","0.000"
"","14792","Saddier, Adrien",70,71,"","-0.653","","295.498","","69.66%","","-0.453","","-0.796","","-0.030","","0.374","","-0.124","","69.49%","","67.21%","","2.729","","3.348","","70.733","","32.224","","48.197","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","14.20%","","-4.338","","51.766","","0.00%","","0.000","","0.000","","49.00%","","-1.278","","33.991","","0.00%","","0.000","","0.000"
"✅ Beat model by 41","6986","Johnson, Zach",70,111,"","-0.262","","284.360","","59.59%","","-0.528","","-0.206","","-0.025","","-0.297","","0.174","","69.27%","","68.45%","","2.878","","3.686","","69.854","","31.123","","47.126","","88.60%","","1.494","","14.388","","78.90%","","0.126","","22.003","","54.00%","","-0.036","","41.669","","36.80%","","0.180","","53.480","","68.70%","","-0.468","","32.958","","46.40%","","-0.054","","47.185"
"✅ Beat model by 51","12577","Woodland, Gary",72,123,"","-0.418","","315.234","","53.63%","","-0.510","","-0.225","","-0.667","","0.382","","-0.046","","67.24%","","53.94%","","3.211","","3.484","","70.558","","31.529","","56.605","","86.60%","","-0.036","","17.879","","76.90%","","-0.054","","22.887","","53.20%","","-0.234","","37.464","","36.80%","","0.720","","56.937","","68.00%","","0.558","","29.643","","55.10%","","0.918","","41.797"
"⚠️ Missed model by 17","16757","Dou, Zecheng",73,56,"","1.612","","297.956","","48.59%","","0.996","","1.100","","0.314","","-0.417","","-0.097","","70.51%","","65.19%","","4.515","","2.597","","68.471","","26.648","","65.713","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 72 | ❌ Underperformed model prediction","21891","Kitayama, Kurt",74,2,"","1.493","","314.160","","54.64%","","1.362","","0.862","","0.190","","0.311","","0.783","","74.97%","","70.59%","","4.431","","2.698","","68.327","","28.235","","35.945","","81.60%","","0.630","","16.722","","78.50%","","0.486","","21.230","","55.90%","","0.324","","39.112","","31.90%","","0.288","","59.604","","69.80%","","0.576","","29.715","","47.00%","","0.828","","38.252"
"⚠️ Missed model by 70 | ❌ Underperformed model prediction","26096","Bhatia, Akshay",74,4,"","1.840","","301.534","","57.92%","","1.023","","0.714","","0.010","","0.300","","0.250","","71.79%","","70.74%","","3.558","","2.752","","67.983","","29.923","","48.410","","83.40%","","-0.378","","16.967","","83.20%","","0.792","","20.177","","58.60%","","0.216","","37.180","","35.60%","","0.072","","63.541","","69.60%","","0.738","","28.281","","50.70%","","1.044","","41.620"
"⚠️ Missed model by 62 | ❌ Underperformed model prediction","23950","Aberg, Ludvig",74,12,"","1.175","","294.392","","54.27%","","0.855","","0.220","","0.307","","0.327","","0.012","","71.27%","","65.34%","","4.106","","3.989","","68.200","","28.226","","41.068","","82.10%","","-0.126","","17.122","","80.50%","","0.018","","20.674","","51.40%","","-0.558","","38.779","","32.40%","","-0.360","","71.758","","69.60%","","0.702","","28.009","","46.90%","","0.378","","38.964"
"⚠️ Missed model by 61 | ❌ Underperformed model prediction","10419","Noren, Alex",74,13,"","0.704","","290.420","","65.59%","","0.357","","-0.319","","0.399","","0.277","","0.719","","66.81%","","70.85%","","2.412","","3.191","","68.825","","35.522","","49.231","","79.80%","","-1.692","","20.506","","75.70%","","-0.180","","21.891","","53.90%","","-0.126","","40.912","","38.90%","","1.440","","57.013","","71.30%","","0.378","","29.638","","42.80%","","0.342","","42.731"
"⚠️ Missed model by 55 | ❌ Underperformed model prediction","23504","Hoey, Rico",74,19,"","-0.378","","302.715","","65.37%","","0.545","","0.036","","0.000","","0.509","","-0.697","","68.68%","","56.38%","","3.269","","3.228","","70.568","","29.232","","55.824","","83.20%","","-0.054","","18.260","","79.10%","","-0.144","","23.513","","60.40%","","0.594","","37.680","","39.40%","","0.846","","54.033","","71.40%","","1.080","","28.299","","49.80%","","0.774","","41.471"
"⚠️ Missed model by 51","15556","Hughes, Mackenzie",74,23,"","0.697","","294.371","","50.66%","","0.352","","0.008","","0.564","","-0.220","","-0.460","","70.24%","","73.83%","","3.347","","3.016","","69.307","","34.215","","59.889","","90.10%","","0.144","","16.949","","81.10%","","-0.180","","22.380","","59.50%","","0.306","","39.061","","37.50%","","0.774","","62.554","","66.10%","","-0.378","","33.934","","47.30%","","-0.342","","48.392"
"⚠️ Missed model by 48","17780","Pendrith, Taylor",74,26,"","1.088","","313.247","","62.94%","","0.722","","0.418","","-0.430","","0.734","","-0.009","","74.49%","","44.83%","","4.113","","3.099","","68.243","","30.536","","41.980","","82.30%","","-0.774","","19.549","","81.50%","","0.144","","22.111","","56.30%","","0.234","","38.916","","35.20%","","0.486","","63.381","","72.80%","","0.630","","29.893","","46.00%","","-0.180","","46.951"
"⚠️ Missed model by 47","24550","Ghim, Doug",74,27,"","0.603","","302.536","","64.47%","","0.862","","0.528","","-0.031","","0.365","","0.361","","73.28%","","60.59%","","3.117","","2.800","","69.397","","29.538","","55.856","","89.60%","","1.260","","14.826","","80.70%","","0.306","","21.099","","62.50%","","0.306","","38.587","","37.30%","","0.270","","60.775","","69.10%","","0.288","","31.029","","47.20%","","0.180","","42.856"
"⚠️ Missed model by 44","17543","Kim, Michael",74,30,"","0.586","","304.190","","56.79%","","0.226","","-0.001","","0.191","","0.036","","-0.983","","67.78%","","64.56%","","2.982","","2.853","","69.318","","32.263","","48.139","","83.20%","","0.126","","16.728","","80.10%","","0.846","","19.133","","58.10%","","0.576","","35.301","","40.00%","","1.062","","55.940","","67.70%","","0.036","","30.321","","45.20%","","-0.180","","46.331"
"⚠️ Missed model by 43","18424","Roy, Kevin",74,31,"","0.949","","299.680","","60.94%","","0.683","","-0.053","","0.442","","0.293","","-0.615","","70.26%","","79.30%","","3.110","","3.144","","69.075","","33.497","","50.742","","87.90%","","0.144","","17.414","","78.20%","","-0.306","","22.969","","58.30%","","0.072","","38.944","","27.60%","","-1.800","","68.879","","67.30%","","-0.252","","31.901","","48.20%","","0.648","","42.114"
"⚠️ Missed model by 42","6093","Rose, Justin",74,32,"","-0.086","","287.683","","60.27%","","-0.009","","0.335","","-0.207","","-0.136","","-0.301","","70.96%","","64.12%","","2.565","","3.246","","70.040","","31.866","","38.904","","89.30%","","1.224","","15.414","","81.90%","","0.594","","19.037","","57.90%","","-0.090","","39.287","","44.70%","","0.702","","53.097","","70.20%","","0.576","","28.394","","45.20%","","0.306","","50.598"
"⚠️ Missed model by 41","15470","Hossler, Beau",74,33,"","0.882","","301.535","","52.06%","","-0.283","","-0.230","","0.253","","-0.306","","0.682","","71.46%","","65.13%","","3.734","","3.625","","68.869","","32.411","","48.022","","87.80%","","0.648","","15.598","","79.30%","","-0.684","","24.463","","62.10%","","0.486","","34.844","","27.10%","","-0.522","","57.833","","65.70%","","-0.324","","33.076","","44.30%","","-0.990","","49.786"
"⚠️ Missed model by 40","22833","Echavarria, Nico",74,34,"","-0.113","","292.155","","61.91%","","-0.296","","-0.077","","-0.553","","0.334","","-0.378","","68.98%","","64.36%","","3.066","","2.782","","70.248","","33.034","","45.624","","78.80%","","-0.792","","17.571","","76.90%","","-0.468","","22.647","","63.30%","","1.008","","33.726","","35.50%","","0.072","","58.969","","72.10%","","0.666","","28.810","","43.20%","","-0.360","","46.377"
"⚠️ Missed model by 37","13470","Kizzire, Patton",74,37,"","-1.237","","296.678","","44.28%","","-1.233","","0.147","","0.228","","-1.607","","-0.496","","64.48%","","52.93%","","3.414","","3.398","","71.207","","30.319","","47.726","","84.30%","","-0.018","","17.687","","77.90%","","0.684","","21.461","","57.50%","","-0.108","","38.050","","31.80%","","-0.126","","62.915","","64.40%","","-0.612","","34.104","","37.60%","","-1.116","","49.092"
"⚠️ Missed model by 35","17511","Straka, Sepp",74,39,"","0.562","","299.650","","60.40%","","1.036","","0.655","","0.116","","0.265","","-0.990","","68.59%","","59.25%","","3.325","","3.785","","69.257","","29.153","","49.921","","81.20%","","0.522","","17.158","","85.80%","","1.350","","17.619","","48.00%","","-0.378","","42.118","","35.10%","","-0.072","","53.027","","73.30%","","0.972","","27.814","","57.30%","","0.828","","40.845"
"⚠️ Missed model by 26","27900","Potgieter, Aldrich",74,48,"","0.597","","306.175","","51.84%","","0.245","","-0.061","","-0.303","","0.608","","0.655","","70.08%","","52.32%","","4.859","","4.577","","69.076","","27.607","","49.918","","78.80%","","-0.684","","19.392","","79.20%","","0.360","","21.375","","55.40%","","-0.864","","39.474","","29.30%","","-0.990","","65.751","","69.30%","","0.198","","31.542","","48.20%","","-0.036","","45.901"
"⚠️ Missed model by 25","20706","Wallace, Matt",74,49,"","0.298","","300.338","","55.71%","","0.465","","0.435","","0.547","","-0.517","","-0.684","","66.33%","","68.60%","","3.415","","3.360","","69.476","","31.856","","46.455","","83.80%","","1.260","","15.422","","78.00%","","0.144","","22.597","","61.70%","","0.144","","39.274","","40.40%","","0.414","","52.999","","67.50%","","0.054","","32.379","","39.00%","","-1.224","","49.213"
"⚠️ Missed model by 24","15651","Ventura, Kris",74,50,"","0.371","","298.618","","53.35%","","-0.443","","-0.579","","-0.124","","0.259","","1.576","","67.45%","","75.55%","","3.604","","2.355","","70.108","","30.244","","44.966","","89.60%","","-0.702","","19.765","","80.70%","","-0.450","","23.084","","47.30%","","-0.504","","39.352","","38.40%","","0.054","","54.936","","71.60%","","0.252","","30.811","","43.60%","","-0.216","","45.194"
"⚠️ Missed model by 23","29925","Yellamaraju, Sudarshan",74,51,"","0.502","","298.621","","58.23%","","0.197","","0.324","","-0.250","","0.122","","0.631","","72.30%","","60.25%","","3.680","","3.871","","69.596","","28.434","","54.851","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","57.60%","","1.890","","26.274","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 22","26850","Svensson, Jesper",74,52,"","-0.364","","303.299","","53.69%","","1.147","","0.517","","0.300","","0.330","","-0.100","","70.94%","","64.08%","","4.209","","4.245","","70.558","","28.381","","50.914","","88.20%","","1.062","","15.333","","76.60%","","-0.450","","23.372","","57.80%","","0.828","","36.769","","34.50%","","-0.396","","66.963","","61.70%","","-0.810","","33.691","","46.30%","","-0.180","","46.921"
"⚠️ Missed model by 21","28270","Dunlap, Nick",74,53,"","-0.765","","289.430","","52.90%","","-1.299","","0.314","","-0.295","","-1.318","","0.544","","68.70%","","62.98%","","3.124","","3.041","","70.700","","29.885","","67.395","","87.60%","","0.450","","15.693","","74.70%","","-0.540","","22.438","","55.10%","","0.288","","39.625","","46.00%","","1.386","","54.618","","67.10%","","0.288","","29.629","","51.60%","","0.324","","44.046"
"⚠️ Missed model by 20","25319","VanDerLaan, John",74,54,"","-0.535","","301.143","","67.88%","","-0.796","","-0.806","","-0.006","","0.016","","0.817","","65.66%","","64.19%","","2.904","","3.477","","71.105","","33.353","","63.444","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 19","32330","Clanton, Luke",74,55,"","-0.767","","293.882","","55.27%","","0.089","","-0.018","","-0.169","","0.277","","-0.420","","72.80%","","65.17%","","3.357","","3.835","","71.115","","29.187","","54.419","","84.50%","","-0.828","","19.759","","81.80%","","0.018","","22.221","","47.10%","","-0.054","","37.978","","41.30%","","1.314","","53.409","","68.50%","","0.612","","29.696","","45.40%","","-0.306","","46.126"
"⚠️ Missed model by 16","16162","Lee, S.T.",74,58,"","-0.529","","303.453","","53.42%","","-1.025","","-0.957","","0.531","","-0.599","","0.625","","53.95%","","68.05%","","3.953","","4.206","","70.734","","31.787","","71.765","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 14","15330","Griffin, Lanto",74,60,"","0.032","","296.078","","55.96%","","-0.609","","-0.060","","-0.292","","-0.257","","-0.124","","64.75%","","64.00%","","3.836","","3.482","","69.952","","30.595","","42.163","","85.50%","","-0.864","","21.560","","73.20%","","-0.684","","22.876","","56.30%","","0.432","","35.491","","33.70%","","0.630","","48.544","","68.40%","","0.126","","30.764","","49.50%","","0.774","","44.770"
"⚠️ Missed model by 13","15473","Long, Adam",74,61,"","-0.445","","288.834","","69.64%","","-0.393","","-0.302","","0.161","","-0.252","","-0.035","","67.42%","","62.94%","","2.779","","3.691","","70.234","","35.016","","52.068","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 12","20766","Brown, Dan",74,62,"","-0.138","","289.259","","66.14%","","0.451","","0.503","","-0.242","","0.190","","0.103","","68.44%","","63.54%","","3.457","","4.174","","70.411","","29.980","","47.336","","78.90%","","-1.566","","23.134","","0.00%","","0.000","","0.000","","50.20%","","-2.538","","45.420","","0.00%","","0.000","","0.000","","68.00%","","0.432","","28.577","","0.00%","","0.000","","0.000"
