"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 82 | ⚠️ Success despite model prediction","22985","Smotherman, Austin",8,90,"","-0.737","","299.304","","62.71%","","0.022","","0.850","","-0.036","","-0.792","","-0.421","","71.44%","","63.16%","","2.159","","3.660","","70.833","","30.406","","54.379","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 133 | ⚠️ Success despite model prediction","15575","Hoge, Tom",8,141,"","-1.659","","295.816","","53.76%","","-1.599","","-0.776","","-0.269","","-0.555","","-0.585","","58.54%","","60.80%","","2.579","","5.144","","71.815","","34.029","","51.708","","80.30%","","0.270","","16.585","","75.60%","","0.810","","18.875","","60.00%","","0.126","","36.424","","33.20%","","0.450","","57.288","","64.50%","","-0.108","","28.158","","46.30%","","0.540","","43.036"
"✅ Success aligned with model","15466","Cantlay, Patrick",13,15,"","0.873","","301.505","","58.37%","","0.519","","0.061","","-0.119","","0.577","","-0.561","","72.80%","","67.30%","","3.585","","2.972","","68.970","","30.226","","55.762","","92.80%","","0.954","","15.313","","88.00%","","0.900","","18.614","","63.90%","","0.144","","37.314","","39.80%","","1.368","","62.481","","76.20%","","1.062","","28.333","","40.10%","","-0.378","","44.298"
"≈ Near model (+3) | ✅ Success aligned with model","29433","Bridgeman, Jacob",13,16,"","1.586","","298.395","","60.01%","","0.382","","0.592","","-0.335","","0.125","","1.050","","73.52%","","67.28%","","4.141","","2.430","","68.142","","31.126","","45.079","","92.80%","","-0.270","","17.127","","81.70%","","0.198","","20.985","","55.90%","","0.450","","41.395","","37.10%","","0.306","","62.992","","65.70%","","-0.144","","31.282","","47.80%","","0.432","","44.248"
"✅ Beat model by 64 | ⚠️ Success despite model prediction","19846","Bauchou, Zach",13,77,"","0.267","","294.675","","44.28%","","0.256","","0.511","","0.524","","-0.780","","0.051","","67.75%","","69.94%","","2.657","","2.642","","69.849","","33.827","","46.021","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","47.90%","","-2.718","","63.697","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 75 | ⚠️ Success despite model prediction","23604","Clark, Wyndham",13,88,"","0.278","","308.275","","56.04%","","0.513","","0.029","","0.372","","0.112","","-1.674","","67.32%","","65.66%","","3.525","","2.960","","69.587","","28.042","","58.744","","81.40%","","0.288","","16.756","","77.70%","","0.234","","21.631","","61.50%","","0.612","","35.422","","31.00%","","-1.008","","69.973","","69.90%","","0.270","","29.465","","49.60%","","0.162","","46.457"
"✅ Beat model by 78 | ⚠️ Success despite model prediction","31343","Ford, David",13,91,"","0.366","","291.851","","62.38%","","0.832","","1.211","","-0.643","","0.263","","-0.176","","71.79%","","62.45%","","3.416","","3.388","","69.601","","31.366","","45.681","","77.80%","","-1.044","","20.200","","76.50%","","-0.918","","23.960","","62.70%","","0.540","","39.746","","27.30%","","-0.684","","59.133","","64.00%","","-0.558","","31.550","","46.80%","","0.504","","42.737"
"✅ Beat model by 20 | ⚠️ Success despite model prediction","12965","Fowler, Rickie",18,38,"","0.964","","303.201","","65.00%","","0.349","","0.403","","-0.329","","0.275","","0.789","","68.87%","","64.31%","","3.379","","2.926","","68.895","","30.176","","52.564","","83.70%","","-0.036","","17.659","","81.40%","","0.756","","21.055","","56.50%","","0.774","","33.444","","34.70%","","-0.342","","65.239","","62.40%","","-0.378","","31.939","","48.40%","","0.450","","43.143"
"✅ Beat model by 24 | ⚠️ Success despite model prediction","28309","Coody, Pierceson",18,42,"","1.205","","307.043","","58.93%","","1.253","","0.600","","-0.096","","0.749","","0.470","","74.68%","","72.02%","","3.756","","3.205","","68.488","","29.144","","44.933","","90.10%","","0.846","","17.405","","84.30%","","0.036","","23.360","","53.80%","","-0.954","","45.801","","27.10%","","-1.602","","68.132","","64.20%","","-0.090","","32.256","","51.70%","","0.054","","45.497"
"✅ Beat model by 76 | ⚠️ Success despite model prediction","24304","Vilips, Karl",18,94,"","-1.223","","298.209","","48.83%","","-1.551","","-1.203","","-0.214","","-0.134","","1.406","","60.94%","","64.31%","","3.053","","4.471","","71.866","","29.930","","62.081","","85.00%","","0.648","","15.817","","77.60%","","-0.666","","23.849","","51.50%","","-0.396","","40.142","","33.20%","","-0.126","","63.118","","72.30%","","1.044","","29.691","","45.30%","","-0.666","","47.917"
"✅ Beat model by 78 | ⚠️ Success despite model prediction","21688","Kim, S.H.",18,96,"","-0.463","","301.880","","65.45%","","-0.460","","-0.589","","-0.143","","0.272","","-0.300","","64.92%","","62.43%","","2.560","","3.280","","70.581","","35.053","","59.520","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","63.70%","","0.720","","31.626","","44.70%","","-0.036","","63.743","","64.50%","","-0.342","","34.411","","0.00%","","0.000","","0.000"
"✅ Beat model by 89 | ⚠️ Success despite model prediction","19428","Zalatoris, Will",18,107,"","-1.121","","294.535","","60.16%","","0.056","","-0.202","","-0.014","","0.272","","-0.905","","61.20%","","58.15%","","2.047","","3.529","","71.992","","32.106","","79.296","","83.50%","","-0.864","","18.333","","84.60%","","0.342","","20.578","","66.40%","","0.252","","33.988","","35.90%","","0.090","","60.854","","77.20%","","1.602","","27.767","","41.80%","","0.378","","46.856"
"✅ Beat model by 115 | ⚠️ Success despite model prediction","32152","Brown, Blades",18,133,"","-0.685","","280.567","","55.23%","","-1.675","","-1.419","","-0.074","","-0.181","","0.711","","59.08%","","58.54%","","3.606","","5.520","","71.090","","31.259","","54.777","","85.30%","","0.792","","18.384","","0.00%","","0.000","","0.000","","69.60%","","-0.522","","40.800","","31.60%","","-0.576","","76.253","","74.30%","","0.738","","30.910","","42.10%","","-0.486","","47.295"
"⚠️ Missed model by 19 | ❌ Underperformed model prediction","6430","Scott, Adam",24,5,"","2.107","","301.772","","58.38%","","1.340","","1.011","","-0.238","","0.567","","0.894","","74.34%","","67.70%","","4.428","","2.969","","67.674","","26.535","","49.504","","86.80%","","1.710","","14.325","","79.90%","","-0.216","","21.149","","62.50%","","0.792","","35.184","","32.30%","","0.270","","56.911","","65.30%","","-0.306","","31.575","","46.90%","","0.450","","43.382"
"","24968","Griffin, Ben",24,22,"","0.437","","299.560","","60.70%","","0.235","","0.231","","0.456","","-0.452","","0.211","","69.85%","","67.38%","","2.427","","2.764","","69.407","","33.561","","45.878","","84.70%","","1.098","","15.255","","82.10%","","-0.360","","23.543","","60.00%","","0.396","","38.446","","36.50%","","0.990","","56.644","","69.90%","","0.126","","30.802","","53.20%","","0.900","","43.372"
"✅ Beat model by 110","27194","Hall, Harry",24,134,"","-1.037","","301.973","","54.59%","","-1.299","","-0.963","","0.354","","-0.690","","-0.323","","59.76%","","60.85%","","3.664","","5.026","","71.038","","33.267","","56.739","","86.10%","","0.936","","16.669","","79.20%","","0.180","","21.672","","57.60%","","0.342","","36.248","","37.00%","","-0.396","","72.030","","65.90%","","-0.126","","32.435","","40.70%","","-0.396","","47.235"
"⚠️ Missed model by 20 | ❌ Underperformed model prediction","14577","English, Harris",27,7,"","1.132","","300.800","","63.08%","","0.422","","-0.047","","-0.058","","0.527","","1.065","","73.76%","","67.47%","","2.340","","2.459","","68.661","","29.594","","59.593","","86.10%","","0.756","","15.027","","76.10%","","-0.360","","22.602","","57.90%","","-0.360","","38.485","","40.90%","","0.594","","57.325","","73.50%","","0.504","","29.483","","47.00%","","-0.270","","46.254"
"≈ Near model (-9) | ❌ Underperformed model prediction","13126","Taylor, Nick",27,18,"","0.822","","298.198","","59.67%","","0.607","","0.656","","0.112","","-0.161","","-0.033","","70.85%","","63.42%","","3.005","","3.151","","69.000","","28.758","","50.826","","81.90%","","0.216","","18.682","","85.30%","","0.396","","21.350","","54.50%","","-0.342","","33.037","","32.40%","","0.270","","62.728","","71.50%","","0.396","","29.391","","52.40%","","0.630","","45.397"
"","18586","Smith, Jordan",27,29,"","1.268","","295.404","","58.37%","","0.453","","0.382","","-0.183","","0.253","","0.862","","72.02%","","60.99%","","3.752","","2.182","","68.798","","30.751","","68.558","","89.40%","","0.864","","14.776","","74.10%","","-0.342","","22.950","","57.40%","","1.926","","35.089","","37.70%","","0.936","","67.240","","70.00%","","-0.108","","32.652","","47.90%","","-0.612","","43.651"
"✅ Beat model by 62","16715","Ryder, Sam",27,89,"","-0.075","","296.458","","53.67%","","-0.094","","0.536","","-0.049","","-0.580","","0.598","","69.93%","","68.19%","","3.011","","3.481","","70.162","","27.668","","49.994","","79.00%","","-0.846","","19.042","","77.50%","","-0.216","","23.182","","54.40%","","-0.666","","41.431","","44.30%","","0.738","","54.827","","68.40%","","0.162","","29.341","","44.70%","","-0.036","","43.574"
"✅ Beat model by 68","11276","Horschel, Billy",27,95,"","-1.236","","297.120","","51.43%","","-0.889","","-0.355","","0.018","","-0.551","","-0.485","","66.35%","","57.47%","","3.422","","3.673","","71.393","","30.669","","61.578","","88.00%","","0.288","","16.911","","80.80%","","0.090","","21.486","","67.10%","","1.314","","33.570","","27.20%","","-1.098","","56.748","","67.40%","","0.846","","29.977","","41.80%","","-0.324","","48.713"
