season,book,odd_source,tournament_slug,event,odds_generated_at,odds_graded_at,player,dg_id,market,odds,stake,settled stake,total return,net,roi,,p_model,p_implied,edge
2026,bet365,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Glover, Lucas",7399,top_20,101,14,,,,,,0.9998943911479601,0.009900990099009901,0.9899934010489502
2026,bet365,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Ewart, A.J.",21883,top_20,101,14,,,,,,0.9968250090832166,0.009900990099009901,0.9869240189842067
2026,bet365,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Lebioda, Hank",21943,top_10,76,14,,,,,,0.9874673534179416,0.013157894736842105,0.9743094586810994
2026,draftkings,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Pavon, Matthieu",19960,top_20,5.25,14,,,,,,0.9550751359907369,0.19047619047619047,0.7645989455145464
2026,draftkings,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Wu, Dylan",25002,top_20,12.75,9,,,,,,0.5998806799926595,0.0784313725490196,0.5214493074436399
2026,bet365,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Ford, David",31343,top_10,101,7,,,,,,0.5014498961869733,0.009900990099009901,0.4915489060879634
2026,bet365,live,texas-childrens-open,20,2026-03-27 10:59:56 UTC,,"Greyserman, Max",23465,top_10,67,7,,,,,,0.506085982369212,0.014925373134328358,0.49116060923488364
2026,bet365,live,texas-childrens-open,20,2026-03-27 12:31:00 UTC,,"Lipsky, David over Kanaya, Takumi / Hojgaard, Rasmus",15980,3_balls,3.3,7,,,,,,0.48153938475134095,0.30303030303030304,0.1785090817210379
2026,bet365,live,texas-childrens-open,20,2026-03-27 12:31:00 UTC,,"Glover, Lucas over Riley, Davis / Fisk, Steven",7399,3_balls,3,7,,,,,,0.5117454939454004,0.3333333333333333,0.17841216061206705
2026,draftkings,live,texas-childrens-open,20,2026-03-27 12:31:00 UTC,,"Yellamaraju, Sudarshan over Theegala, Sahith / Gerard, Ryan",29925,3_balls,3.15,7,,,,,,0.4944757746304719,0.31746031746031744,0.17701545717015443
