run_timestamp,event_id,season,market_type,player_id,player_name,opponent_ids,p_model,p_win,p_top_n,score,summary
2026-03-24T10:34:35-05:00,20,2026,top_10,29925,"Yellamaraju, Sudarshan",,0.999999999999833,0.01553507265240902,0.999999999999833,0.8678467383421558,"Yellamaraju, Sudarshan | market=top_10 | p_model=1.000000 | p_win=0.015535 | score=0.867847"
2026-03-24T10:34:35-05:00,20,2026,top_10,18586,"Smith, Jordan",,0.9999998386481956,0.012791348788913103,0.9999998386481956,0.6735155853685049,"Smith, Jordan | market=top_10 | p_model=1.000000 | p_win=0.012791 | score=0.673516"
2026-03-24T10:34:35-05:00,20,2026,top_10,15980,"Lipsky, David",,0.9999999848093131,0.013224751907844813,0.9999999848093131,0.7068367370533575,"Lipsky, David | market=top_10 | p_model=1.000000 | p_win=0.013225 | score=0.706837"
2026-03-24T10:34:35-05:00,20,2026,top_10,16841,"Lee, Min Woo",,0.9999992158777833,0.012509326222125451,0.9999992158777833,0.6512209827018723,"Lee, Min Woo | market=top_10 | p_model=0.999999 | p_win=0.012509 | score=0.651221"
2026-03-24T10:34:35-05:00,20,2026,top_10,18417,"Scheffler, Scottie",,0.9999856473243335,0.012006865650054101,0.9999856473243335,0.610225142500406,"Scheffler, Scottie | market=top_10 | p_model=0.999986 | p_win=0.012007 | score=0.610225"
2026-03-24T10:34:35-05:00,20,2026,top_10,7399,"Glover, Lucas",,0.9461644014160064,0.010682899743349662,0.9461644014160064,0.4933908270452104,"Glover, Lucas | market=top_10 | p_model=0.946164 | p_win=0.010683 | score=0.493391"
2026-03-24T10:34:35-05:00,20,2026,top_10,19396,"Knapp, Jake",,0.9364482525391389,0.01065638228469468,0.9364482525391389,0.4909055070358881,"Knapp, Jake | market=top_10 | p_model=0.936448 | p_win=0.010656 | score=0.490906"
2026-03-24T10:34:35-05:00,20,2026,top_10,21943,"Lebioda, Hank",,0.9874673534179416,0.010911328433673761,0.9874673534179416,0.5145480741884823,"Lebioda, Hank | market=top_10 | p_model=0.987467 | p_win=0.010911 | score=0.514548"
2026-03-24T10:34:35-05:00,20,2026,top_10,16243,"Koepka, Brooks",,0.5,0.010259681855895507,0.5,0.45296834988069823,"Koepka, Brooks | market=top_10 | p_model=0.500000 | p_win=0.010260 | score=0.452968"
2026-03-24T10:34:35-05:00,20,2026,top_10,12965,"Fowler, Rickie",,0.5647279260776636,0.010297421761460025,0.5647279260776636,0.45664006829650733,"Fowler, Rickie | market=top_10 | p_model=0.564728 | p_win=0.010297 | score=0.456640"
2026-03-24T10:34:35-05:00,20,2026,top_10,31343,"Ford, David",,0.6476611600510416,0.010348138308980017,0.6476611600510416,0.461553148819852,"Ford, David | market=top_10 | p_model=0.647661 | p_win=0.010348 | score=0.461553"
2026-03-24T10:34:35-05:00,20,2026,top_10,21883,"Ewart, A.J.",,0.3682083149510504,0.010181864311904694,0.3682083149510504,0.44535464793611534,"Ewart, A.J. | market=top_10 | p_model=0.368208 | p_win=0.010182 | score=0.445355"
2026-03-24T10:34:35-05:00,20,2026,top_10,17488,"Im, Sungjae",,0.037596568944639884,0.009801118667663344,0.037596568944639884,0.40724304773966163,"Im, Sungjae | market=top_10 | p_model=0.037597 | p_win=0.009801 | score=0.407243"
2026-03-24T10:34:35-05:00,20,2026,top_10,24956,"Blanchet, Chandler",,0.1302991152076447,0.009988677444353278,0.1302991152076447,0.42619871475993676,"Blanchet, Chandler | market=top_10 | p_model=0.130299 | p_win=0.009989 | score=0.426199"
2026-03-24T10:34:35-05:00,20,2026,top_10,17365,"Mitchell, Keith",,0.04646985691131847,0.00983173274374883,0.04646985691131847,0.4103617084228987,"Mitchell, Keith | market=top_10 | p_model=0.046470 | p_win=0.009832 | score=0.410362"
2026-03-24T10:34:35-05:00,20,2026,top_10,16283,"Rodgers, Patrick",,0.015547441239829048,0.009676739270200824,0.015547441239829048,0.3944715111051988,"Rodgers, Patrick | market=top_10 | p_model=0.015547 | p_win=0.009677 | score=0.394472"
