,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,25.000,26.000,27.000,28.000,29.000,30.000,31.000,32.000,33.000,34.000,35.000,36.000,37.000,38.000,39.000,40.000,41.000,42.000,43.000
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,15466.000,"Cantlay, Patrick",0.880,0.064,0.000,0.951,18.614,0.050,265.000,0.762,0.089,0.000,0.981,28.333,0.059,315.000,0.928,0.133,0.000,0.956,15.313,0.053,90.000,0.398,0.049,0.000,0.992,62.481,0.076,123.000,0.401,0.038,0.000,0.935,44.298,-0.021,185.000,0.639,0.046,0.000,0.977,37.314,0.008,130.000
,17576.000,"Conners, Corey",0.854,0.066,0.000,0.948,18.764,0.046,349.000,0.757,0.056,0.000,0.979,26.452,0.059,467.000,0.826,0.072,0.000,0.928,17.858,-0.014,97.000,0.318,0.036,0.000,0.982,63.700,0.013,111.000,0.496,0.060,0.000,0.966,45.500,0.030,266.000,0.555,0.041,0.000,0.969,38.625,-0.011,98.000
,24481.000,"Redman, Doc",0.836,0.085,1.000,0.936,23.005,0.022,47.000,0.757,0.063,1.000,0.952,30.218,0.059,63.000,0.888,0.231,1.000,1.000,12.462,0.212,13.000,,,,,,,,,,,,,,,0.624,0.053,0.000,0.947,42.338,-0.025,19.000
,24304.000,"Vilips, Karl",0.776,0.054,0.000,0.930,23.849,-0.037,186.000,0.723,0.093,0.000,0.946,29.691,0.058,279.000,0.850,0.056,0.000,0.958,15.817,0.036,71.000,0.332,0.038,0.000,0.981,63.118,-0.007,104.000,0.453,0.045,0.000,0.962,47.917,-0.037,133.000,0.515,0.055,0.000,0.930,40.142,-0.022,128.000
,14609.000,"Kim, Si Woo",0.791,0.094,0.000,0.942,21.794,0.026,310.000,0.700,0.096,0.000,0.959,27.206,0.055,491.000,0.829,0.049,0.000,0.911,17.087,-0.031,123.000,0.369,0.038,0.000,0.954,65.764,-0.012,130.000,0.477,0.068,0.000,0.970,40.775,0.062,263.000,0.525,0.093,0.000,0.932,38.444,-0.012,118.000
,14838.000,"Reed, Patrick",,,,,,,,0.683,0.099,0.000,0.958,22.308,0.055,71.000,0.834,0.188,0.000,0.938,14.704,0.040,16.000,0.264,0.045,1.000,0.955,63.041,-0.011,22.000,0.513,0.023,0.000,0.977,54.314,0.027,43.000,0.529,0.000,0.000,1.000,48.008,-0.086,16.000
,17511.000,"Straka, Sepp",0.858,0.079,0.000,0.955,17.619,0.075,266.000,0.733,0.067,0.000,0.961,27.814,0.054,387.000,0.812,0.154,0.000,0.969,17.158,0.029,65.000,0.351,0.066,0.000,0.967,53.027,-0.004,121.000,0.573,0.043,0.000,0.966,40.845,0.046,208.000,0.480,0.082,0.000,0.973,42.118,-0.021,73.000
,22085.000,"Morikawa, Collin",0.833,0.095,0.000,0.950,18.331,0.056,317.000,0.723,0.070,0.000,0.968,27.923,0.052,370.000,0.887,0.065,0.000,0.946,15.856,0.039,93.000,0.308,0.042,0.000,0.968,59.038,0.010,95.000,0.475,0.061,0.000,0.961,43.419,0.039,231.000,0.632,0.013,0.000,0.961,32.860,0.045,76.000
,31188.000,"Valdes, Brendan",0.736,0.055,0.000,0.964,23.889,-0.021,55.000,0.646,0.089,1.000,0.946,30.153,0.051,56.000,0.661,0.000,1.000,0.929,20.841,-0.089,14.000,0.151,0.000,1.000,0.895,77.704,-0.165,19.000,,,,,,,,0.464,0.000,0.000,0.824,43.778,-0.085,17.000
,12294.000,"Fleetwood, Tommy",0.848,0.065,0.000,0.959,19.287,0.044,292.000,0.704,0.081,0.000,0.964,28.663,0.050,421.000,0.913,0.093,0.000,1.000,14.907,0.068,86.000,0.383,0.056,0.000,0.976,69.094,-0.003,124.000,0.473,0.052,0.000,0.970,43.407,0.020,230.000,0.600,0.057,0.000,0.943,38.702,-0.015,87.000
