,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,17511,"Straka, Sepp",0.86,0.07,0.00,0.95,17.27,0.06,247.00,0.75,0.06,0.00,0.96,27.33,0.06,372.00,0.81,0.15,0.00,0.93,17.06,0.02,61.00,0.35,0.07,0.00,0.97,55.49,0.01,121.00,0.58,0.04,0.00,0.97,39.36,0.05,195.00,0.48,0.08,0.00,0.97,43.38,-0.01,74
,14838,"Reed, Patrick",,,,,,,,0.69,0.10,0.00,0.96,22.01,0.06,71.00,0.83,0.19,0.00,0.94,15.34,0.03,16.00,0.25,0.05,1.00,0.96,65.03,-0.01,22.00,0.52,0.02,0.00,0.98,53.24,0.03,43.00,0.51,0.00,0.00,1.00,49.28,-0.09,16
,22085,"Morikawa, Collin",0.83,0.10,0.00,0.95,18.18,0.05,293.00,0.73,0.07,0.00,0.97,27.15,0.06,354.00,0.88,0.06,0.00,0.94,16.28,0.02,86.00,0.28,0.03,0.00,0.97,62.59,0.00,91.00,0.49,0.07,0.00,0.96,41.93,0.04,216.00,0.62,0.01,0.00,0.97,33.35,0.06,71
,23504,"Hoey, Rico",0.80,0.06,0.00,0.93,23.19,-0.01,301.00,0.71,0.08,0.00,0.97,28.17,0.06,413.00,0.83,0.05,0.00,0.93,18.48,-0.02,98.00,0.41,0.08,0.00,0.96,54.48,0.06,112.00,0.50,0.06,0.00,0.99,40.53,0.05,212.00,0.60,0.10,0.00,0.95,37.26,0.04,140
,15466,"Cantlay, Patrick",0.88,0.07,0.00,0.95,18.42,0.04,254.00,0.77,0.08,0.00,0.98,27.85,0.05,315.00,0.92,0.13,0.00,0.94,15.05,0.05,87.00,0.37,0.06,0.00,0.99,65.42,0.08,122.00,0.42,0.05,0.00,0.94,42.41,-0.01,182.00,0.61,0.05,0.00,0.96,37.42,0.01,129
,11276,"Horschel, Billy",0.81,0.07,0.00,0.96,21.42,0.00,133.00,0.69,0.10,0.00,0.97,29.63,0.05,230.00,0.85,0.05,0.00,0.98,17.93,-0.03,43.00,0.27,0.05,0.00,0.98,60.78,-0.05,89.00,0.43,0.00,0.00,0.97,48.26,-0.02,90.00,0.66,0.09,0.00,0.95,36.54,0.05,57
,31188,"Valdes, Brendan",0.74,0.06,0.00,0.96,23.67,-0.02,55.00,0.65,0.09,1.00,0.95,30.01,0.05,56.00,0.66,0.00,1.00,0.93,20.91,-0.09,14.00,0.14,0.00,1.00,0.90,78.30,-0.16,19.00,,,,,,,,0.46,0.00,0.00,0.82,44.06,-0.09,17
,17606,"Berger, Daniel",0.78,0.06,0.00,0.94,20.88,-0.01,265.00,0.73,0.08,0.00,0.97,27.63,0.05,467.00,0.90,0.10,0.00,0.96,15.11,0.04,88.00,0.42,0.07,0.00,0.96,60.63,0.03,121.00,0.53,0.07,0.00,0.97,41.98,0.03,232.00,0.57,0.06,0.00,0.99,37.99,0.01,91
,22535,"Norrman, Vincent",,,,,,,,0.73,0.07,0.00,0.97,31.63,0.05,71.00,0.91,0.15,1.00,1.00,15.02,0.08,13.00,0.40,0.05,1.00,1.00,45.68,0.09,20.00,0.43,0.03,1.00,0.97,41.87,-0.05,32.00,0.68,0.00,0.00,0.88,48.27,-0.04,17
,23542,"Champ, Cameron",0.79,0.07,0.00,0.95,24.05,-0.03,153.00,0.74,0.06,0.00,0.95,27.97,0.05,172.00,0.80,0.02,0.00,0.93,22.96,-0.12,43.00,0.15,0.02,0.00,0.95,69.38,-0.08,41.00,0.47,0.03,0.00,0.94,43.75,-0.01,97.00,0.54,0.02,0.00,0.98,46.51,-0.06,61
,26096,"Bhatia, Akshay",0.83,0.09,0.00,0.94,20.27,0.03,301.00,0.72,0.07,0.00,0.95,27.64,0.05,448.00,0.81,0.09,0.00,0.93,17.43,-0.04,122.00,0.34,0.08,0.00,0.95,64.62,0.01,141.00,0.50,0.07,0.00,0.96,41.21,0.04,238.00,0.57,0.06,0.00,0.96,37.95,0.02,160
,15310,"Li, Haotong",0.76,0.08,0.00,0.95,20.25,0.00,62.00,0.76,0.04,0.00,0.94,29.43,0.05,93.00,0.89,0.13,0.00,1.00,16.41,0.11,23.00,0.56,0.09,0.00,0.97,49.25,0.11,32.00,0.49,0.04,0.00,0.98,40.85,-0.01,46.00,0.59,0.14,0.00,0.93,42.14,0.06,28
,12294,"Fleetwood, Tommy",0.84,0.06,0.00,0.96,19.00,0.03,265.00,0.71,0.08,0.00,0.97,28.04,0.05,407.00,0.90,0.08,0.00,0.99,15.45,0.04,77.00,0.36,0.06,0.00,0.98,71.95,-0.01,118.00,0.49,0.05,0.00,0.97,41.84,0.03,221.00,0.58,0.06,0.00,0.94,40.61,-0.01,81
,24200,"Smylie, Elvis",,,,,,,,0.80,0.06,1.00,0.94,30.69,0.05,54.00,,,,,,,,,,,,,,,0.51,0.08,1.00,0.95,39.50,0.06,38.00,0.76,0.13,0.00,0.93,38.80,0.12,15
,7399,"Glover, Lucas",0.83,0.09,0.00,0.96,18.86,0.05,256.00,0.70,0.08,0.00,0.95,27.43,0.05,398.00,0.91,0.06,0.00,0.97,15.24,0.01,86.00,0.28,0.07,0.00,0.94,73.30,0.00,107.00,0.42,0.06,0.00,0.94,44.13,-0.03,184.00,0.55,0.07,0.00,0.99,36.41,0.09,70
,23841,"Neergaard-Petersen, Rasmus",,,,,,,,0.75,0.03,0.00,0.98,28.85,0.05,88.00,0.73,0.06,0.00,0.83,18.68,-0.10,18.00,0.29,0.04,0.00,1.00,66.92,0.06,27.00,0.61,0.07,0.00,0.98,36.76,0.09,46.00,0.63,0.16,0.00,0.96,33.45,0.13,25
,23950,"Aberg, Ludvig",0.79,0.06,0.00,0.92,19.99,0.00,269.00,0.71,0.08,0.00,0.94,27.39,0.05,315.00,0.81,0.09,0.00,0.92,18.02,-0.05,78.00,0.31,0.07,0.00,0.92,77.39,-0.03,103.00,0.49,0.09,0.00,0.95,37.92,0.03,178.00,0.51,0.06,0.00,0.96,39.84,-0.03,94
,11657,"Norlander, Henrik",0.83,0.10,0.00,0.97,20.64,0.03,227.00,0.71,0.08,0.00,0.97,29.21,0.05,371.00,0.90,0.12,0.00,0.95,18.48,0.00,57.00,0.39,0.07,0.00,0.99,51.16,0.07,122.00,0.44,0.08,0.00,0.97,44.38,0.00,168.00,0.51,0.06,0.00,0.93,39.68,-0.02,87
