,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,17081,"Sharma, Shubhankar",,,,,,,,0.71,0.05,1.00,0.99,29.93,0.04,116.00,,,,,,,,0.43,0.12,1.00,0.98,52.42,0.10,42.00,,,,,,,,,,,,,,
,19898,"Paul, Yannik",,,,,,,,0.80,0.04,1.00,0.94,31.64,0.04,105.00,,,,,,,,,,,,,,,,,,,,,,0.62,0.04,1.00,0.93,37.39,0.01,27
,25601,"Jordan, Matthew",,,,,,,,0.71,0.07,1.00,0.95,30.80,0.04,101.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7655,"Molinari, Francesco",0.84,0.04,0.00,0.95,22.37,-0.01,212.00,0.70,0.07,0.00,0.95,30.42,0.04,402.00,0.88,0.13,0.00,0.93,16.99,0.02,82.00,0.38,0.04,0.00,0.96,66.13,-0.01,115.00,0.39,0.05,0.00,0.95,50.95,-0.03,207.00,0.59,0.08,0.00,0.94,40.70,-0.01,77
,13562,"Matsuyama, Hideki",0.81,0.08,0.00,0.95,20.22,0.04,574.00,0.73,0.07,0.00,0.97,28.59,0.04,799.00,0.84,0.16,0.00,0.94,13.52,0.13,173.00,0.34,0.05,0.00,0.97,58.32,0.02,290.00,0.51,0.06,0.00,0.96,42.55,0.04,419.00,0.54,0.05,0.00,0.94,37.95,0.00,276
,11676,"Finau, Tony",0.83,0.08,0.00,0.95,22.42,0.01,576.00,0.73,0.06,0.00,0.95,29.37,0.04,826.00,0.86,0.08,0.00,0.93,16.81,0.02,174.00,0.42,0.09,0.00,0.96,54.20,0.07,299.00,0.53,0.08,0.00,0.97,41.80,0.07,414.00,0.65,0.04,0.00,0.94,35.66,0.04,271
,8769,"Potter Jr, Ted",,,,,,,,0.68,0.06,1.00,0.97,28.39,0.04,98.00,0.81,0.15,0.00,0.88,17.03,-0.01,33.00,,,,,,,,,,,,,,,0.67,0.09,0.00,0.94,34.13,0.12,35
,12069,"Stanley, Kyle",0.76,0.11,1.00,0.92,22.29,0.04,79.00,0.72,0.04,1.00,0.96,30.32,0.04,98.00,0.78,0.09,0.00,0.91,22.41,-0.08,32.00,,,,,,,,,,,,,,,0.55,0.00,0.00,1.00,36.02,-0.05,38
,11460,"Manassero, Matteo",,,,,,,,0.71,0.07,0.00,0.95,30.21,0.04,151.00,0.98,0.08,1.00,1.00,16.95,0.03,24.00,0.39,0.06,1.00,0.92,63.56,0.00,49.00,0.44,0.05,1.00,0.96,52.77,-0.02,74.00,0.58,0.13,0.00,0.90,37.07,0.05,38
,12965,"Fowler, Rickie",0.81,0.07,0.00,0.93,21.80,0.01,620.00,0.69,0.08,0.00,0.95,30.16,0.04,847.00,0.85,0.11,0.00,0.93,17.82,0.03,191.00,0.36,0.06,0.00,0.95,66.47,0.00,330.00,0.47,0.05,0.00,0.96,45.89,0.01,395.00,0.59,0.06,0.00,0.95,37.79,0.01,258
