G,G,G,G,G,G,,Instructions
42307077,42307080,42307109,42307111,42307113,42307131,,
42307080,42307081,42307090,42307109,42307111,42307131,,
42307080,42307081,42307090,42307109,42307113,42307131,,
42307077,42307080,42307103,42307109,42307111,42307147,,
42307077,42307090,42307099,42307103,42307111,42307113,,
42307077,42307090,42307099,42307101,42307103,42307131,,
42307081,42307083,42307099,42307101,42307103,42307113,,
42307081,42307083,42307091,42307099,42307101,42307147,,
42307083,42307091,42307093,42307100,42307101,42307102,,
42307083,42307091,42307093,42307094,42307102,42307108,,
42307088,42307089,42307091,42307093,42307102,42307108,,
42307087,42307089,42307093,42307094,42307102,42307104,,
42307087,42307088,42307089,42307094,42307108,42307112,,
42307087,42307088,42307089,42307094,42307107,42307112,,
42307078,42307088,42307100,42307104,42307107,42307108,,
42307078,42307087,42307100,42307104,42307107,42307112,,
42307078,42307084,42307097,42307100,42307104,42307147,,
42307078,42307084,42307095,42307097,42307112,42307147,,
42307082,42307084,42307085,42307107,42307118,42307124,,
42307084,42307085,42307092,42307095,42307097,42307143,,
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,G,Lucas Glover (42307119),Lucas Glover,42307119,G,7200,Valspar Championship,Golf,47.5
,,,,,,,G,Tony Finau (42307120),Tony Finau,42307120,G,7200,Valspar Championship,Golf,61.21
,,,,,,,G,Billy Horschel (42307121),Billy Horschel,42307121,G,7200,Valspar Championship,Golf,59.71
,,,,,,,G,Matt Wallace (42307122),Matt Wallace,42307122,G,7200,Valspar Championship,Golf,56.75
,,,,,,,G,Blades Brown (42307123),Blades Brown,42307123,G,7200,Valspar Championship,Golf,69.43
,,,,,,,G,Seamus Power (42320164),Seamus Power,42320164,G,7200,Valspar Championship,Golf,65
,,,,,,,G,Sungjae Im (42307124),Sungjae Im,42307124,G,7100,Valspar Championship,Golf,25.75
,,,,,,,G,John Keefer (42307125),John Keefer,42307125,G,7100,Valspar Championship,Golf,60.83
,,,,,,,G,Matti Schmid (42307126),Matti Schmid,42307126,G,7100,Valspar Championship,Golf,62.06
,,,,,,,G,Mackenzie Hughes (42307127),Mackenzie Hughes,42307127,G,7100,Valspar Championship,Golf,63.58
,,,,,,,G,Tom Kim (42307128),Tom Kim,42307128,G,7100,Valspar Championship,Golf,69.33
,,,,,,,G,Kris Ventura (42307129),Kris Ventura,42307129,G,7000,Valspar Championship,Golf,49.12
,,,,,,,G,Denny McCarthy (42307130),Denny McCarthy,42307130,G,7000,Valspar Championship,Golf,57.86
,,,,,,,G,Rico Hoey (42307131),Rico Hoey,42307131,G,7000,Valspar Championship,Golf,50.44
,,,,,,,G,Eric Cole (42307132),Eric Cole,42307132,G,7000,Valspar Championship,Golf,56.07
,,,,,,,G,William Mouw (42307133),William Mouw,42307133,G,7000,Valspar Championship,Golf,54.83
,,,,,,,G,Kevin Roy (42307134),Kevin Roy,42307134,G,7000,Valspar Championship,Golf,66.25
,,,,,,,G,Matt Kuchar (42320161),Matt Kuchar,42320161,G,7000,Valspar Championship,Golf,49.67
,,,,,,,G,Luke Clanton (42307135),Luke Clanton,42307135,G,6900,Valspar Championship,Golf,39
,,,,,,,G,Doug Ghim (42307136),Doug Ghim,42307136,G,6900,Valspar Championship,Golf,61
,,,,,,,G,Lee Hodges (42307137),Lee Hodges,42307137,G,6900,Valspar Championship,Golf,59.5
,,,,,,,G,Adrien Dumont De Chassart (42307138),Adrien Dumont De Chassart,42307138,G,6900,Valspar Championship,Golf,62.33
