"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"✅ Beat model by 14","20706","Wallace, Matt",40,54,"","-0.552","","288.308","","56.06%","","-0.389","","-0.573","","0.259","","-0.075","","-0.108","","59.39%","","67.91%","","3.047","","3.125","","70.961","","31.526","","57.994","","97.90%","","3.024","","12.089","","0.00%","","0.000","","0.000","","41.10%","","-1.566","","34.106","","24.20%","","-2.790","","77.408","","57.10%","","-1.044","","38.527","","0.00%","","0.000","","0.000"
"✅ Beat model by 15","20722","Schmid, Matti",40,55,"","0.452","","294.242","","56.27%","","-0.190","","-0.306","","0.072","","0.044","","0.344","","61.52%","","63.06%","","3.533","","3.210","","71.224","","32.527","","44.798","","68.80%","","-2.754","","19.964","","70.50%","","-1.638","","28.470","","54.90%","","-1.458","","39.456","","36.70%","","-0.540","","60.624","","71.00%","","-0.270","","32.872","","40.00%","","-0.486","","46.319"
"✅ Beat model by 21","24550","Ghim, Doug",40,61,"","0.509","","289.805","","57.81%","","-0.103","","-0.177","","-0.001","","0.075","","-0.018","","69.64%","","64.05%","","2.292","","3.368","","70.177","","29.186","","56.251","","97.90%","","2.016","","11.176","","80.10%","","-0.270","","22.033","","63.10%","","0.306","","35.745","","9.90%","","-2.466","","85.227","","66.50%","","-0.432","","34.023","","37.80%","","-1.188","","46.230"
"✅ Beat model by 42","30620","Chatfield, Davis",40,82,"","-0.475","","276.704","","65.37%","","-0.560","","-0.784","","0.634","","-0.410","","-0.850","","64.99%","","67.15%","","2.734","","3.230","","71.149","","30.652","","72.095","","81.80%","","0.360","","15.622","","77.50%","","0.108","","20.310","","35.30%","","-3.240","","49.449","","26.20%","","-3.456","","79.062","","60.00%","","-0.756","","35.252","","42.90%","","0.900","","36.273"
"✅ Beat model by 50","32152","Brown, Blades",40,90,"","1.139","","297.418","","61.91%","","-1.699","","-1.326","","-0.027","","-0.346","","0.512","","70.04%","","57.67%","","3.244","","5.017","","69.354","","31.506","","51.045","","83.20%","","-3.024","","22.465","","0.00%","","0.000","","0.000","","44.80%","","-1.620","","46.219","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 33 | ❌ Underperformed model prediction","18474","Smalley, Alex",46,13,"","0.774","","287.826","","60.48%","","0.719","","0.426","","0.148","","0.144","","0.082","","67.53%","","66.51%","","3.001","","3.683","","70.778","","30.095","","70.491","","82.20%","","-0.828","","17.939","","83.70%","","0.342","","21.334","","63.30%","","0.720","","34.652","","38.70%","","0.504","","63.885","","71.10%","","0.144","","31.695","","50.10%","","1.746","","35.883"
"⚠️ Missed model by 14","27364","Thompson, Davis",46,32,"","0.013","","287.908","","61.37%","","0.167","","0.006","","0.091","","0.070","","-1.134","","65.33%","","56.50%","","3.101","","3.969","","71.351","","32.591","","40.125","","93.70%","","0.720","","15.628","","86.70%","","0.594","","19.539","","62.40%","","-0.126","","36.390","","47.00%","","1.980","","42.375","","70.10%","","0.900","","27.856","","38.80%","","-1.854","","50.200"
"≈ Near model (-4)","31343","Ford, David",46,42,"","0.376","","290.872","","60.87%","","0.292","","0.644","","-0.244","","-0.108","","0.035","","67.33%","","59.72%","","3.252","","3.495","","70.981","","32.407","","52.562","","79.80%","","-1.980","","25.799","","78.00%","","0.810","","21.412","","48.70%","","0.270","","33.165","","38.10%","","0.702","","67.085","","76.30%","","1.584","","27.940","","51.70%","","0.270","","48.425"
"","25094","Fishburn, Patrick",46,48,"","-1.656","","296.030","","52.04%","","-0.971","","-0.746","","-0.072","","-0.153","","0.807","","65.87%","","59.15%","","3.676","","2.832","","72.107","","37.521","","50.226","","98.00%","","0.486","","17.561","","68.90%","","-2.628","","28.929","","75.30%","","1.764","","39.140","","54.00%","","-0.738","","67.696","","54.90%","","-1.224","","39.604","","20.80%","","-2.916","","58.966"
"✅ Beat model by 20","25319","VanDerLaan, John",46,66,"","0.460","","293.897","","58.57%","","-0.806","","-0.877","","0.155","","-0.085","","0.186","","71.86%","","67.30%","","2.866","","3.448","","70.219","","34.178","","62.027","","98.30%","","-0.450","","20.128","","87.40%","","0.630","","20.234","","49.50%","","-2.142","","52.905","","48.70%","","-0.450","","70.653","","58.30%","","-1.080","","35.598","","48.00%","","-1.098","","52.113"
"✅ Beat model by 54","20954","Hirata, Kensei",46,100,"","-1.632","","284.475","","60.93%","","-0.718","","-0.992","","-0.146","","0.420","","-0.505","","63.12%","","62.56%","","1.926","","3.558","","72.439","","35.351","","62.627","","65.40%","","-3.690","","21.074","","77.90%","","-1.512","","25.512","","45.80%","","-0.738","","40.034","","26.80%","","0.486","","65.764","","73.80%","","-0.162","","31.275","","68.90%","","0.558","","40.622"
"✅ Beat model by 61","27183","Salinda, Isaiah",46,107,"","-0.646","","297.894","","57.66%","","-0.926","","-0.403","","-0.883","","0.359","","-0.653","","67.01%","","53.13%","","3.694","","5.191","","71.385","","27.708","","53.490","","90.00%","","1.080","","16.830","","78.00%","","0.144","","22.128","","48.10%","","-3.348","","40.859","","45.40%","","0.792","","63.928","","55.60%","","-1.728","","31.865","","42.60%","","-0.450","","40.242"
"✅ Beat model by 62","27819","Castillo, Ricky",46,108,"","-0.436","","294.761","","55.35%","","-0.363","","0.133","","-0.428","","-0.067","","-0.344","","63.09%","","51.48%","","3.327","","3.921","","72.138","","36.237","","45.669","","67.50%","","-1.674","","18.961","","82.80%","","-0.342","","23.994","","49.90%","","0.234","","34.718","","34.70%","","0.720","","56.988","","68.40%","","-0.180","","32.475","","40.40%","","-1.134","","54.069"
"✅ Beat model by 66","19729","Kanaya, Takumi",46,112,"","-1.569","","281.147","","63.79%","","-1.302","","-1.219","","-0.047","","-0.036","","0.023","","60.10%","","61.73%","","2.550","","3.938","","73.260","","39.796","","59.359","","83.90%","","-0.306","","17.139","","77.40%","","-0.720","","22.666","","54.30%","","0.018","","34.773","","30.20%","","-0.558","","58.787","","59.10%","","-0.882","","37.195","","27.80%","","-2.502","","60.523"
"⚠️ Missed model by 50 | ❌ Underperformed model prediction","23602","Hojgaard, Nicolai",55,5,"","1.226","","295.295","","49.71%","","0.271","","0.713","","0.070","","-0.512","","0.973","","61.10%","","70.93%","","4.408","","3.927","","70.696","","26.614","","62.561","","89.80%","","1.350","","15.937","","82.50%","","0.306","","20.754","","41.40%","","-1.710","","45.842","","38.00%","","2.340","","52.150","","72.80%","","0.774","","29.840","","62.50%","","1.746","","37.785"
"✅ Beat model by 12","13872","Bradley, Keegan",55,67,"","-0.566","","292.974","","59.73%","","-0.918","","-0.846","","0.146","","-0.219","","0.400","","61.02%","","64.21%","","2.919","","4.554","","72.354","","34.225","","60.059","","72.30%","","-1.656","","20.856","","88.20%","","0.180","","20.785","","59.40%","","0.090","","34.167","","30.60%","","-1.062","","64.476","","63.50%","","-0.720","","33.173","","42.70%","","-0.432","","45.727"
"✅ Beat model by 16","23475","Novak, Andrew",55,71,"","-1.035","","290.198","","51.18%","","-0.681","","-0.193","","-0.103","","-0.385","","-0.340","","56.32%","","69.07%","","3.620","","5.590","","72.615","","31.263","","59.401","","81.10%","","0.252","","17.676","","88.20%","","0.738","","20.706","","54.30%","","-0.990","","45.197","","31.90%","","-0.396","","67.656","","64.20%","","0.360","","26.833","","42.50%","","-0.918","","47.058"
"✅ Beat model by 20","17723","Lower, Justin",55,75,"","-0.233","","284.754","","59.46%","","-1.133","","-1.039","","0.394","","-0.488","","0.355","","61.40%","","67.25%","","2.700","","4.500","","71.174","","28.940","","54.362","","70.90%","","-1.386","","17.038","","0.00%","","0.000","","0.000","","52.10%","","0.900","","37.075","","24.50%","","-1.800","","64.683","","65.70%","","-1.620","","30.046","","29.70%","","-3.186","","47.508"
"✅ Beat model by 40","15556","Hughes, Mackenzie",55,95,"","-0.678","","289.263","","51.48%","","-0.920","","0.186","","-0.151","","-0.955","","0.168","","64.78%","","68.99%","","3.657","","4.973","","71.758","","33.047","","59.470","","88.80%","","0.630","","17.291","","80.40%","","-0.486","","24.676","","54.60%","","-0.180","","34.665","","22.00%","","-1.512","","66.525","","78.90%","","1.476","","30.248","","46.70%","","-1.476","","52.068"
"✅ Beat model by 43","23841","Neergaard-Petersen, Rasmus",55,98,"","-1.556","","290.109","","51.34%","","0.088","","0.228","","-0.176","","0.036","","-0.111","","64.09%","","60.59%","","2.685","","3.743","","72.082","","33.655","","58.206","","64.80%","","-3.798","","19.578","","78.70%","","-0.774","","24.910","","56.90%","","0.216","","40.440","","31.20%","","-0.252","","73.045","","69.20%","","-0.072","","33.103","","51.60%","","1.404","","39.735"
"✅ Beat model by 74","27164","Phillips, Chandler",55,129,"","-3.364","","287.725","","59.40%","","-3.043","","-2.233","","-0.756","","-0.053","","-0.243","","49.76%","","58.91%","","2.521","","6.116","","74.563","","34.094","","57.467","","88.40%","","0.882","","16.428","","80.80%","","-0.306","","23.645","","52.30%","","-0.846","","42.968","","22.80%","","-0.936","","64.341","","52.30%","","-2.142","","34.227","","37.60%","","-1.926","","49.343"
"✅ Beat model by 77","28309","Coody, Pierceson",55,132,"","-2.782","","296.249","","49.80%","","-1.901","","0.090","","-1.900","","-0.092","","-0.946","","57.96%","","53.57%","","2.642","","5.633","","74.221","","32.417","","66.071","","98.50%","","2.142","","12.533","","87.00%","","0.612","","20.115","","50.50%","","-0.738","","40.041","","42.90%","","0.144","","56.994","","65.30%","","0.072","","32.416","","60.90%","","0.504","","41.727"
"✅ Beat model by 78","13764","Parry, John",55,133,"","0.373","","288.876","","62.95%","","0.129","","-0.109","","-0.184","","0.423","","-1.350","","73.08%","","53.88%","","2.009","","3.028","","70.108","","32.359","","38.924","","85.10%","","-1.782","","19.097","","77.30%","","-0.558","","21.103","","63.60%","","0.828","","34.122","","32.30%","","0.414","","54.684","","76.30%","","0.432","","32.180","","55.10%","","0.126","","42.671"
"⚠️ Missed model by 57 | ❌ Underperformed model prediction","19840","Ramey, Chad",64,7,"","0.448","","289.399","","61.29%","","0.416","","0.321","","-0.094","","0.189","","0.459","","65.57%","","65.17%","","3.828","","3.912","","71.270","","28.317","","57.768","","84.30%","","1.242","","15.243","","84.60%","","0.396","","20.805","","65.00%","","-1.314","","44.058","","33.00%","","-0.486","","62.200","","62.10%","","-0.342","","31.969","","56.70%","","1.098","","46.912"
"≈ Near model (-7)","16715","Ryder, Sam",64,57,"","-0.739","","291.538","","51.96%","","-0.249","","0.655","","-0.401","","-0.503","","0.597","","59.33%","","68.33%","","3.002","","4.196","","71.621","","27.070","","57.373","","90.10%","","2.880","","9.975","","0.00%","","0.000","","0.000","","83.00%","","2.178","","26.529","","41.30%","","-0.900","","93.193","","59.60%","","-0.540","","28.719","","40.50%","","-0.810","","36.346"
"✅ Beat model by 37","14509","Dahmen, Joel",64,101,"","-0.808","","282.364","","57.95%","","0.392","","0.748","","-0.521","","0.164","","-1.162","","65.74%","","55.30%","","2.187","","3.501","","72.495","","29.709","","49.219","","78.70%","","-0.954","","20.559","","84.70%","","0.738","","21.291","","62.70%","","0.738","","38.825","","34.30%","","2.484","","38.294","","70.40%","","0.324","","30.479","","51.30%","","0.234","","39.881"
"✅ Beat model by 61","24304","Vilips, Karl",64,125,"","-1.984","","291.523","","41.69%","","-2.257","","-1.079","","0.204","","-1.382","","0.184","","54.09%","","70.69%","","3.284","","6.192","","73.477","","32.342","","61.094","","79.20%","","-1.944","","17.855","","81.20%","","0.666","","19.717","","47.90%","","0.450","","39.450","","19.40%","","-2.250","","81.562","","63.20%","","-0.648","","32.616","","40.00%","","0.000","","45.195"
"⚠️ Missed model by 48 | ❌ Underperformed model prediction","11276","Horschel, Billy",68,20,"","0.271","","289.365","","55.56%","","-0.811","","-0.645","","0.248","","-0.415","","1.217","","57.17%","","68.41%","","3.897","","2.988","","70.647","","32.050","","77.901","","89.00%","","-0.936","","19.320","","79.30%","","0.036","","21.775","","48.50%","","-0.954","","44.852","","31.60%","","-1.026","","66.841","","71.30%","","0.144","","31.856","","53.00%","","1.026","","45.072"
"⚠️ Missed model by 47","23838","Hojgaard, Rasmus",68,21,"","-0.482","","299.461","","48.96%","","0.644","","0.629","","0.122","","-0.107","","-0.069","","64.28%","","68.73%","","3.839","","3.807","","71.909","","27.548","","60.243","","89.60%","","0.648","","14.527","","87.00%","","0.522","","21.093","","57.00%","","-0.342","","40.442","","38.00%","","-0.216","","56.681","","70.00%","","0.360","","33.884","","67.20%","","2.556","","35.759"
"⚠️ Missed model by 28","8480","Streelman, Kevin",68,40,"","0.994","","284.725","","59.50%","","-0.483","","-0.267","","0.107","","-0.322","","0.117","","70.57%","","64.11%","","3.007","","3.863","","69.553","","31.454","","55.508","","97.80%","","1.170","","15.735","","0.00%","","0.000","","0.000","","40.80%","","-1.890","","45.923","","11.60%","","-0.702","","57.617","","66.60%","","0.918","","28.837","","0.00%","","0.000","","0.000"
"≈ Near model (-4)","11657","Norlander, Henrik",68,64,"","-0.266","","278.962","","64.72%","","0.450","","0.514","","0.193","","-0.258","","-0.745","","63.56%","","60.34%","","3.240","","3.420","","70.807","","29.115","","43.304","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 60","25908","Whaley, Vince",68,128,"","-0.420","","286.060","","42.95%","","-2.147","","-0.798","","-0.282","","-1.068","","1.190","","55.74%","","66.95%","","3.284","","4.280","","71.902","","36.610","","75.941","","87.30%","","2.178","","13.982","","76.50%","","-0.558","","23.027","","62.60%","","0.234","","37.904","","25.90%","","-1.062","","80.421","","57.50%","","-1.746","","36.169","","30.10%","","-4.032","","62.108"
"⚠️ Missed model by 40","18424","Roy, Kevin",73,33,"","-0.190","","290.027","","57.71%","","0.137","","0.287","","0.208","","-0.358","","-0.396","","68.36%","","60.99%","","2.705","","3.928","","71.738","","32.856","","60.576","","80.90%","","0.252","","17.901","","75.10%","","-0.450","","24.053","","70.50%","","-0.198","","32.217","","37.70%","","1.026","","59.415","","69.80%","","-1.008","","32.442","","43.80%","","-0.378","","43.326"
"⚠️ Missed model by 46","14502","Cauley, Bud",74,28,"","0.528","","287.780","","60.25%","","1.028","","0.232","","0.723","","0.073","","-0.538","","64.76%","","78.59%","","2.516","","3.285","","71.306","","32.595","","70.849","","84.30%","","0.828","","18.007","","86.20%","","0.666","","20.229","","46.20%","","-1.746","","46.724","","26.50%","","0.180","","62.944","","77.00%","","1.044","","29.592","","36.20%","","-0.810","","48.751"
"⚠️ Missed model by 69 | ❌ Underperformed model prediction","18841","Hovland, Viktor",75,6,"","1.063","","284.444","","57.98%","","0.965","","0.391","","0.997","","-0.424","","0.077","","57.74%","","74.69%","","3.862","","3.924","","70.726","","30.436","","75.422","","81.00%","","1.566","","14.376","","79.70%","","0.468","","20.455","","61.00%","","0.162","","34.383","","28.80%","","-0.468","","74.713","","76.30%","","1.278","","25.684","","38.80%","","-0.630","","43.857"
"⚠️ Missed model by 67 | ❌ Underperformed model prediction","22985","Smotherman, Austin",75,8,"","1.073","","289.223","","72.02%","","1.404","","0.760","","-0.430","","1.074","","-0.315","","73.49%","","57.81%","","2.760","","2.693","","70.788","","29.904","","64.385","","100.00%","","1.530","","15.711","","88.00%","","1.314","","18.842","","61.90%","","1.764","","29.672","","37.40%","","1.422","","54.352","","73.40%","","0.900","","27.896","","48.60%","","1.440","","37.806"
"⚠️ Missed model by 65 | ❌ Underperformed model prediction","21756","Cole, Eric",75,10,"","0.788","","286.756","","48.53%","","-0.283","","0.001","","0.567","","-0.851","","0.968","","57.12%","","72.57%","","3.752","","3.280","","70.915","","34.371","","45.422","","98.50%","","0.090","","17.580","","80.10%","","0.414","","20.472","","45.20%","","-0.666","","41.352","","38.50%","","1.548","","50.363","","60.80%","","-0.576","","30.862","","34.60%","","-1.548","","50.709"
"⚠️ Missed model by 64 | ❌ Underperformed model prediction","19846","Bauchou, Zach",75,11,"","0.353","","286.866","","57.35%","","0.313","","0.162","","0.193","","-0.041","","-0.065","","65.66%","","69.86%","","2.907","","3.270","","71.344","","32.006","","55.096","","81.10%","","-0.378","","19.293","","89.10%","","0.558","","20.179","","57.00%","","-1.206","","38.788","","40.40%","","1.188","","51.591","","67.20%","","0.378","","31.771","","59.80%","","1.170","","41.394"
"⚠️ Missed model by 60 | ❌ Underperformed model prediction","23604","Clark, Wyndham",75,15,"","-0.027","","295.282","","63.42%","","0.806","","0.562","","0.697","","-0.453","","-0.860","","57.52%","","58.47%","","4.388","","6.003","","71.400","","29.564","","50.672","","81.70%","","1.872","","12.529","","81.20%","","0.306","","20.527","","53.70%","","1.044","","42.250","","32.50%","","0.252","","54.070","","61.10%","","0.108","","29.034","","59.80%","","-0.540","","43.905"
"⚠️ Missed model by 59 | ❌ Underperformed model prediction","13126","Taylor, Nick",75,16,"","0.414","","286.993","","58.79%","","1.280","","0.190","","1.153","","-0.064","","-0.887","","64.79%","","73.14%","","2.958","","3.657","","71.373","","29.234","","61.536","","94.10%","","-0.018","","17.345","","89.40%","","1.314","","18.692","","52.90%","","0.666","","34.046","","31.30%","","-0.180","","58.866","","70.70%","","0.018","","29.046","","53.80%","","0.792","","40.774"
"⚠️ Missed model by 58 | ❌ Underperformed model prediction","7399","Glover, Lucas",75,17,"","-0.587","","278.983","","70.00%","","-0.390","","-0.758","","0.263","","0.105","","-0.119","","59.05%","","65.26%","","3.414","","4.887","","72.237","","32.759","","74.444","","93.50%","","4.464","","9.871","","69.80%","","-1.062","","24.375","","53.20%","","-0.522","","40.801","","41.50%","","0.324","","74.978","","64.50%","","-0.324","","29.361","","41.60%","","0.990","","43.891"
"⚠️ Missed model by 57 | ❌ Underperformed model prediction","23014","Theegala, Sahith",75,18,"","0.542","","290.583","","47.90%","","0.484","","0.715","","0.198","","-0.430","","0.114","","63.89%","","70.46%","","3.258","","4.324","","71.263","","30.475","","52.160","","73.20%","","-1.566","","21.716","","82.80%","","0.126","","21.757","","54.50%","","-0.162","","36.915","","33.60%","","0.828","","51.021","","70.40%","","0.432","","28.402","","60.30%","","1.566","","41.630"
"⚠️ Missed model by 53","17780","Pendrith, Taylor",75,22,"","0.106","","295.208","","70.76%","","1.173","","-0.353","","0.598","","0.927","","-0.990","","63.73%","","68.69%","","3.422","","3.715","","71.706","","32.554","","65.212","","82.50%","","-0.252","","16.968","","75.30%","","-0.126","","22.746","","66.50%","","0.954","","40.863","","43.60%","","0.342","","58.977","","69.00%","","0.108","","33.614","","46.10%","","-0.540","","45.392"
"⚠️ Missed model by 52","15470","Hossler, Beau",75,23,"","0.046","","288.670","","61.78%","","0.107","","-0.425","","0.603","","-0.072","","0.355","","70.74%","","70.81%","","3.319","","3.563","","70.471","","32.195","","57.431","","96.40%","","3.132","","11.215","","76.40%","","-0.270","","23.111","","28.40%","","-3.780","","56.796","","24.80%","","-1.332","","61.713","","72.40%","","0.360","","34.060","","29.50%","","-1.494","","49.523"
"⚠️ Missed model by 51","16757","Dou, Zecheng",75,24,"","-0.852","","292.800","","52.61%","","0.028","","0.362","","0.446","","-0.780","","-0.237","","58.92%","","65.41%","","5.107","","4.369","","72.270","","27.999","","66.474","","78.00%","","1.386","","13.894","","84.30%","","1.512","","17.683","","46.60%","","-1.710","","44.993","","37.10%","","0.414","","62.333","","78.30%","","1.098","","29.432","","66.40%","","2.070","","40.962"
"⚠️ Missed model by 50","28159","Meissner, Mac",75,25,"","0.052","","289.606","","48.72%","","0.696","","0.493","","0.312","","-0.109","","-0.638","","64.17%","","65.13%","","3.263","","4.029","","71.423","","29.417","","54.467","","85.50%","","0.342","","15.612","","88.30%","","1.044","","21.017","","65.70%","","0.378","","36.835","","23.00%","","-0.090","","56.092","","75.00%","","0.648","","27.037","","53.40%","","0.126","","41.179"
"⚠️ Missed model by 48","11451","Garnett, Brice",75,27,"","-0.554","","283.777","","64.48%","","-1.318","","-0.827","","0.129","","-0.619","","0.420","","67.29%","","64.84%","","2.368","","3.702","","71.183","","32.529","","57.273","","97.80%","","1.674","","13.058","","81.50%","","-0.126","","22.029","","86.40%","","2.736","","23.524","","37.40%","","-1.188","","64.265","","68.20%","","-0.360","","31.633","","38.20%","","-0.918","","48.463"
"⚠️ Missed model by 46","20766","Brown, Dan",75,29,"","-0.101","","287.665","","66.27%","","0.669","","0.646","","-0.249","","0.272","","-0.660","","69.42%","","64.52%","","3.418","","4.188","","70.288","","29.693","","45.118","","83.50%","","0.414","","15.310","","80.50%","","0.972","","19.047","","41.10%","","-1.584","","46.228","","24.40%","","-0.594","","62.332","","67.40%","","-0.468","","31.181","","54.20%","","0.504","","41.592"
"⚠️ Missed model by 44","23505","McGreevy, Max",75,31,"","-0.135","","284.922","","64.44%","","0.186","","0.131","","-0.492","","0.547","","-0.310","","62.32%","","51.98%","","3.491","","3.964","","71.694","","35.091","","52.439","","95.10%","","0.198","","17.340","","82.80%","","0.126","","20.843","","48.30%","","-2.340","","52.389","","44.40%","","0.900","","56.697","","64.00%","","0.090","","30.406","","52.80%","","1.350","","41.377"
"⚠️ Missed model by 39","17536","Spaun, J.J.",75,36,"","0.529","","287.914","","63.39%","","0.370","","0.696","","-0.469","","0.143","","0.164","","65.06%","","63.87%","","2.177","","4.333","","71.225","","29.732","","48.826","","84.70%","","-0.360","","17.527","","78.00%","","-0.522","","21.789","","50.30%","","0.414","","37.308","","35.10%","","0.558","","59.486","","70.70%","","0.738","","28.162","","44.90%","","0.252","","42.177"
"⚠️ Missed model by 37","34969","Wilkes, Tyler",75,38,"","0.000","","0.000","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.00%","","0.000","","0.000","","0.000","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 36","17538","Homa, Max",75,39,"","0.607","","287.827","","60.43%","","0.183","","0.320","","-0.164","","0.028","","0.463","","66.23%","","57.62%","","3.315","","4.291","","70.879","","33.883","","63.716","","82.60%","","-0.432","","19.093","","75.90%","","0.486","","22.253","","51.50%","","0.432","","37.652","","41.10%","","-0.414","","71.711","","66.40%","","-0.252","","32.761","","54.20%","","1.818","","38.515"
"⚠️ Missed model by 32","13470","Kizzire, Patton",75,43,"","-1.025","","283.096","","54.71%","","-0.406","","0.536","","0.601","","-1.543","","-0.511","","59.41%","","63.04%","","3.086","","5.370","","72.142","","31.561","","48.475","","91.20%","","0.306","","17.306","","79.20%","","0.666","","20.084","","55.00%","","0.882","","28.649","","31.80%","","0.468","","50.372","","67.40%","","0.216","","31.747","","49.30%","","0.324","","44.757"
"⚠️ Missed model by 31","32457","Keefer, Johnny",75,44,"","-0.627","","298.620","","54.13%","","0.063","","-0.227","","-0.233","","0.524","","-0.825","","65.00%","","55.29%","","4.006","","4.419","","72.070","","30.661","","50.003","","94.70%","","1.296","","14.851","","81.70%","","0.234","","19.104","","63.60%","","-0.126","","41.498","","48.70%","","2.898","","57.228","","74.40%","","0.180","","30.793","","52.50%","","0.054","","41.938"
"⚠️ Missed model by 30","15651","Ventura, Kris",75,45,"","0.240","","292.033","","57.45%","","-0.529","","-0.875","","-0.021","","0.367","","0.850","","64.82%","","77.85%","","3.806","","2.486","","70.609","","30.059","","47.845","","76.40%","","-3.132","","22.100","","76.90%","","-0.846","","23.510","","67.20%","","-1.872","","30.228","","34.30%","","-0.162","","66.621","","56.10%","","-0.612","","33.226","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 26","26850","Svensson, Jesper",75,49,"","0.542","","310.601","","58.17%","","0.879","","0.294","","0.306","","0.279","","-0.802","","72.94%","","62.88%","","4.004","","4.075","","70.029","","28.796","","51.673","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","49.50%","","-0.018","","38.703","","38.00%","","-0.576","","56.328","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 25","32330","Clanton, Luke",75,50,"","0.811","","282.561","","61.82%","","0.004","","-0.003","","-0.207","","0.214","","-0.645","","73.22%","","65.75%","","3.323","","3.979","","69.727","","29.532","","55.664","","0.00%","","0.000","","0.000","","93.20%","","1.476","","19.909","","69.10%","","0.216","","34.502","","32.80%","","0.414","","52.970","","61.30%","","-1.296","","30.204","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 24","17639","Blair, Zac",75,51,"","0.803","","275.158","","64.87%","","0.558","","0.946","","0.047","","-0.435","","-0.241","","66.34%","","68.49%","","2.308","","2.985","","69.401","","29.281","","48.917","","97.30%","","2.754","","12.335","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","69.50%","","-0.144","","34.119","","0.00%","","0.000","","0.000"
"⚠️ Missed model by 17","26653","Eckroat, Austin",75,58,"","0.322","","286.535","","57.62%","","0.214","","0.540","","-0.466","","0.148","","-0.507","","67.62%","","52.23%","","3.117","","4.511","","70.162","","29.400","","40.878","","79.10%","","-3.186","","26.256","","81.60%","","1.512","","17.870","","57.50%","","1.026","","34.341","","35.40%","","0.468","","52.072","","66.10%","","0.378","","28.818","","31.70%","","-0.792","","45.265"
