contestKey,contestType,eventId,tournamentSlug,entryId,entryName,entryRank,entryPoints,entryTotalSalary,entryModelScore,entryActualPoints,optimalTotalSalary,optimalModelScore,optimalActualPoints,unmatchedPlayers
188737443,showdown,11,the-players,5086744177,zbclarker,7605,150.6,38200,1.9836631348035598,393.5,48500,4.866846028157292,380,Collin Morikawa
188795036,showdown,11,the-players,5087360618,zbclarker,572,269.95,48800,2.0763388250059185,516.5,48500,4.866846028157292,380,
188825631,captain,11,the-players,5088338354,zbclarker,1367,223.975,52150,1.7613769686837282,598.25,49950,5.092044186728046,371,
188852941,captain,11,the-players,5089242429,zbclarker (2/2),3411,242.62502,49350,1.7829331661555416,559.75,49950,5.092044186728046,371,
188852941,captain,11,the-players,5089231278,zbclarker (1/2),5096,219.35,51300,2.6423367406913085,548,49950,5.092044186728046,371,
188852942,captain,11,the-players,5089243978,zbclarker,1790,243.25,52350,2.837178951011738,578.75,49950,5.092044186728046,371,
