,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Major,event_name,event_id,course_nam,course_num,course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year)
,The American Express,2,La Quinta Country Club,"202 (2025, 2024, 2023, 2022)",Nicklaus Tournament Course,"233 (2025, 2024, 2023, 2022)",Pete Dye Stadium Course,"704 (2025, 2024, 2023, 2022)",,,,,,,,,,
,THE CJ CUP Byron Nelson,19,TPC Craig Ranch,"921 (2025, 2024, 2023)",TPC Craig Ranch,894 (2022),,,,,,,,,,,,
,THE CJ CUP in South Carolina,521,Congaree Golf Club,902 (2022),,,,,,,,,,,,,,
,The Genesis Invitational,7,Torrey Pines Golf Course (South Course),939 (2025),The Riviera Country Club,"500 (2024, 2023, 2022)",,,,,,,,,,,,
,The Masters #2,536,Muirfield Village Golf Club,"23 (2025, 2024, 2023, 2022, 2021)",,,,,,,,,,,,,,
,the Memorial Tournament presented by Workday,23,Muirfield Village Golf Club,"23 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,The Open Championship,100,Royal Portrush Golf Club,885 (2025),Royal Troon,709 (2024),Royal Liverpool,724 (2023),St. Andrews Links (Old Course),668 (2022),,,,,,,,
,THE PLAYERS Championship,11,TPC Sawgrass (THE PLAYERS Stadium Course),"11 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,The RSM Classic,493,Sea Island Golf Club (Seaside Course),"776 (2025, 2024, 2022)",Sea Island Golf Club (Plantation Course),"889 (2025, 2024, 2022)",,,,,,,,,,,,
,The RSM Classic #2,549,Sea Island Golf Club (Seaside Course),776 (2023),Sea Island Golf Club (Plantation Course),889 (2023),,,,,,,,,,,,
,The Sentry,16,Plantation Course at Kapalua,"656 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,TOUR Championship,60,East Lake Golf Club,"688 (2025, 2023, 2022)",East Lake Golf Club,933 (2024),,,,,,,,,,,,
,Travelers Championship,34,TPC River Highlands,"503 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,Truist Championship,480,The Philadelphia Cricket Club (Wissahickon Course),379 (2025),Quail Hollow Club,"872 (2024, 2023)",TPC Potomac at Avenel Farm,237 (2022),,,,,,,,,,
,U.S. Open,26,Oakmont Country Club,608 (2025),Pinehurst Resort & Country Club (Course No. 2),528 (2024),The Los Angeles Country Club (North Course),43 (2023),The Country Club,654 (2022),,,,,,,,
,U.S. Open #2,535,TPC San Antonio (Oaks Course),"770 (2025, 2024, 2023, 2022, 2021)",,,,,,,,,,,,,,
,Valero Texas Open,41,TPC San Antonio (Oaks Course),"770 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,Valspar Championship,475,Innisbrook Resort (Copperhead Course),"665 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,WM Phoenix Open,3,TPC Scottsdale (Stadium Course),"510 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,Workday Charity Open,533,TPC Southwind,513 (2021),,,,,,,,,,,,,,
,World Golf Championships-FedEx St. Jude Invitational,476,Sheshan International GC,"766 (2019, 2018, 2017)",,,,,,,,,,,,,,
,World Golf Championships-HSBC Champions,489,The Concession Golf Club,898 (2021),,,,,,,,,,,,,,
,World Golf Championships-Workday Championship at The Concession,473,El Cardonal at Diamante,919 (2024),El Camaleón Golf Course at Mayakoba,"733 (2022, 2021)",,,,,,,,,,,,
,World Wide Technology Championship,457,El Cardonal at Diamante,"919 (2025, 2024)",El Camaleón Golf Course at Mayakoba,733 (2022),,,,,,,,,,,,
,World Wide Technology Championship #2,547,El Cardonal at Diamante,919 (2023),,,,,,,,,,,,,,
,Wyndham Championship,13,Sedgefield Country Club,"752 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,ZOZO CHAMPIONSHIP #2,546,Accordia Golf Narashino Country Club,875 (2023),,,,,,,,,,,,,,
,Zurich Classic of New Orleans,18,TPC Louisiana,"714 (2025, 2023)",,,,,,,,,,,,,,
