Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5087477549,BlitznRay (6/9),0,330.55,G Xander Schauffele G Ludvig Aberg G Cameron Young G Brooks Koepka G Brian Harman G Rasmus Hojgaard,,Russell Henley,G,26.32%,34.35
2,5087347036,cantfademe (71/150),0,323.95,G Tommy Fleetwood G Ludvig Aberg G Matt Fitzpatrick G Corey Conners G Michael Thorbjornsen G Keith Mitchell,,Ludvig Aberg,G,25.90%,73.2
2,5087417060,jbutt53 (1/2),0,323.94998,G Xander Schauffele G Ludvig Aberg G Justin Rose G Brooks Koepka G Sepp Straka G Corey Conners,,Tommy Fleetwood,G,23.22%,39.35
4,5087479042,gibbs09 (2/3),0,319.69998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sahith Theegala G Jordan Spieth G Corey Conners,,Maverick McNealy,G,22.26%,34.1
5,5087349101,cptnspaulding (82/150),0,317.3,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Min Woo Lee G Corey Conners G Keith Mitchell,,Sepp Straka,G,19.76%,36.45
6,5087232562,rkwmaj,0,316.59998,G Xander Schauffele G Ludvig Aberg G Jacob Bridgeman G Brooks Koepka G Alex Noren G Jordan Spieth,,Scottie Scheffler,G,18.80%,26.55
7,5087347098,cantfademe (133/150),0,316.30002,G Ludvig Aberg G Viktor Hovland G Cameron Young G Brooks Koepka G Ryan Gerard G Michael Thorbjornsen,,Akshay Bhatia,G,18.33%,34.1
8,5087426578,Irishfugazi (1/2),0,315.84998,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Sepp Straka G Corey Conners G Keith Mitchell,,Cameron Young,G,18.19%,49.2
9,5087477838,PrinceofWheels (3/3),0,314.15,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Justin Thomas G Ryo Hisatsune,,Si Woo Kim,G,17.50%,32
10,5087260171,pv43eee (9/76),0,314.1,G Rory McIlroy G Ludvig Aberg G Brooks Koepka G Jordan Spieth G Corey Conners G Keith Mitchell,,Xander Schauffele,G,16.09%,62.7
11,5087405585,ltjimdangle9,0,313.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Adam Scott G Jason Day G Corey Conners,,Viktor Hovland,G,15.11%,36.45
12,5087415322,Skibasher (98/150),0,313.3,G Tommy Fleetwood G Ludvig Aberg G Jacob Bridgeman G Maverick McNealy G Corey Conners G Michael Thorbjornsen,,Matt Fitzpatrick,G,14.65%,41.65
13,5087190394,Colonel420 (22/50),0,311.6,G Russell Henley G Ludvig Aberg G Cameron Young G Maverick McNealy G Corey Conners G Michael Thorbjornsen,,Rickie Fowler,G,14.65%,30.8
14,5087377230,salatso22 (73/80),0,311.55,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Michael Thorbjornsen G Ricky Castillo,,Sahith Theegala,G,14.63%,23.5
15,5087471657,CrystalWontons (1/5),0,309.99997,G Xander Schauffele G Ludvig Aberg G Jacob Bridgeman G Nicolai Hojgaard G Corey Conners G Ryo Hisatsune,,Daniel Berger,G,14.14%,25.4
16,5087349080,cptnspaulding (61/150),0,309.5,G Tommy Fleetwood G Ludvig Aberg G Akshay Bhatia G Ryan Gerard G Jordan Spieth G Michael Thorbjornsen,,Corey Conners,G,11.64%,58.05
16,5087441799,shawndax33 (10/10),0,309.5,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Maverick McNealy G Ryan Gerard G J.T. Poston,,Justin Thomas,G,11.22%,45.95
18,5087450878,shambles,0,308.64996,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Brooks Koepka G Corey Conners G Michael Brennan,,Min Woo Lee,G,10.96%,40.25
19,5087456571,SoonerTrojan (8/12),0,308.5,G Xander Schauffele G Ludvig Aberg G Cameron Young G Rickie Fowler G Justin Thomas G Ryo Hisatsune,,Harris English,G,10.93%,23.3
20,5087387535,sneuman (47/150),0,308.05,G Xander Schauffele G Ludvig Aberg G Matt Fitzpatrick G Maverick McNealy G Corey Conners G Alex Smalley,,Jacob Bridgeman,G,10.43%,45.9
21,5087245304,jsf900 (21/150),0,307.09998,G Ludvig Aberg G Cameron Young G Min Woo Lee G Jacob Bridgeman G Jason Day G Corey Conners,,Ricky Castillo,G,10.28%,23.5
22,5087175207,ItsDrakeo (82/150),0,306.9,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Corey Conners G Mac Meissner,,Ryan Gerard,G,9.81%,47.1
22,5087415383,sampson24,0,306.9,G Xander Schauffele G Ludvig Aberg G Cameron Young G Min Woo Lee G Corey Conners G Ricky Castillo,,Jake Knapp,G,9.56%,28.9
24,5087359583,Horseplayer1975 (2/10),0,305.75,G Xander Schauffele G Ludvig Aberg G Brooks Koepka G Maverick McNealy G Daniel Berger G Michael Thorbjornsen,,Hideki Matsuyama,G,8.77%,30.8
25,5087304670,Gsluke (122/150),0,305.25,G Ludvig Aberg G Matt Fitzpatrick G Akshay Bhatia G Brooks Koepka G Justin Thomas G Michael Thorbjornsen,,Alex Noren,G,8.25%,34.1
26,5087427217,Jharley888 (1/3),0,305.19998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Jordan Spieth G Andrew Novak,,Patrick Cantlay,G,8.09%,25.6
26,5087435882,Jharley888 (2/3),0,305.19998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Jordan Spieth G Andrew Novak,,Christiaan Bezuidenhout,G,7.82%,13.6
26,5087435885,Jharley888 (3/3),0,305.19998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Jacob Bridgeman G Jordan Spieth G Andrew Novak,,Brooks Koepka,G,7.47%,47.65
29,5087448523,langer1 (2/2),0,304.9,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Justin Thomas G Patrick Rodgers,,Robert MacIntyre,G,7.30%,29.85
30,5087389152,edhermoso,0,304.8,G Xander Schauffele G Ludvig Aberg G Akshay Bhatia G Brooks Koepka G Jason Day G Ryo Hisatsune,,Adam Scott,G,6.93%,29.85
31,5087482952,PthWillet (5/5),0,304.74997,G Xander Schauffele G Ludvig Aberg G Min Woo Lee G Sepp Straka G Maverick McNealy G Corey Conners,,Ben Griffin,G,6.63%,15.75
32,5087467712,bigkev793,0,304.69998,G Xander Schauffele G Ludvig Aberg G Jacob Bridgeman G Sepp Straka G Justin Thomas G Jason Day,,Tony Finau,G,6.61%,20.2
33,5087107137,ckk-244ayk (147/150),0,304,G Xander Schauffele G Ludvig Aberg G Jacob Bridgeman G Maverick McNealy G Daniel Berger G Michael Thorbjornsen,,Chris Gotterup,G,6.36%,29.45
34,5087466654,byrnemichael21 (5/48),0,303.95,G Russell Henley G Ludvig Aberg G Cameron Young G Maverick McNealy G Ryan Gerard G Brian Harman,,Austin Smotherman,G,6.33%,28.9
35,5087387526,sneuman (38/150),0,303.09998,G Xander Schauffele G Ludvig Aberg G Cameron Young G Sepp Straka G Corey Conners G Ricky Castillo,,Rory McIlroy,G,5.74%,33.15
