Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,5085988944,dr00pd0g (83/150),0,262.90002,G Tommy Fleetwood G Cameron Young G Min Woo Lee G Sepp Straka G Maverick McNealy G Harris English,,Aaron Rai,G,6.85%,22.3
32,5085482645,JPB2014 (102/150),0,262.9,G Hideki Matsuyama G Russell Henley G Akshay Bhatia G Sepp Straka G Maverick McNealy G Max Greyserman,,Nicolai Hojgaard,G,6.75%,35.1
34,5086334804,Nadroj311 (51/150),0,261.95,G Xander Schauffele G Ludvig Aberg G Sepp Straka G Rickie Fowler G Sahith Theegala G Ryan Gerard,,Jacob Bridgeman,G,6.57%,37.4
35,5085741718,brayanserrata (2/2),0,261.9,G Ludvig Aberg G Russell Henley G Akshay Bhatia G Ben Griffin G Rickie Fowler G Sahith Theegala,,Corey Conners,G,6.33%,40.7
36,5085981824,Vendetta1313,0,261.7,G Tommy Fleetwood G Xander Schauffele G Ludvig Aberg G Sahith Theegala G Alex Noren G Bud Cauley,,Keith Mitchell,G,5.45%,32
37,5086316965,sadieb (1/3),0,261.2,G Chris Gotterup G Russell Henley G Cameron Young G Sepp Straka G Patrick Cantlay G Sahith Theegala,,Taylor Pendrith,G,5.43%,28.7
38,5085798107,thememoryremains2001,0,261.15,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Max Homa G Tony Finau G Michael Kim,,Rasmus Hojgaard,G,5.35%,19.95
38,5086230901,TheCommish (132/150),0,261.15,G Hideki Matsuyama G Russell Henley G Cameron Young G Sepp Straka G Maverick McNealy G Hao-Tong Li,,Matthew McCarty,G,5.29%,19.95
40,5086115602,biged22,0,260.75,G Viktor Hovland G Russell Henley G Brooks Koepka G Justin Thomas G Sahith Theegala G Nicolai Hojgaard,,Shane Lowry,G,5.24%,25.65
40,5086789302,base3ballmom (19/22),0,260.75,G Xander Schauffele G Ludvig Aberg G Viktor Hovland G Maverick McNealy G Max Homa G Ricky Castillo,,Rory McIlroy,G,5.14%,21.35
42,5086332146,ckk-244ayk (57/150),0,260.7,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G Jason Day G Ryo Hisatsune,,Max Greyserman,G,5.11%,36.8
43,5086230840,TheCommish (71/150),0,260.5,G Hideki Matsuyama G Ludvig Aberg G Russell Henley G Justin Thomas G Sahith Theegala G Michael Thorbjornsen,,J.J. Spaun,G,4.59%,34.1
44,5086572762,abes0230,0,260,G Hideki Matsuyama G Cameron Young G Akshay Bhatia G Min Woo Lee G Maverick McNealy G Sahith Theegala,,Pierceson Coody,G,4.57%,19
45,5085482641,JPB2014 (98/150),0,259.6,G Tommy Fleetwood G Cameron Young G Min Woo Lee G Patrick Cantlay G Maverick McNealy G Sahith Theegala,,Kristoffer Reitan,G,4.43%,21.2
46,5085811065,SkyU27 (8/10),0,259.55,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G Harris English G Lucas Glover,,Bud Cauley,G,3.96%,37.4
46,5086813831,iancrosch (1/5),0,259.55,G Ludvig Aberg G Russell Henley G Min Woo Lee G Ben Griffin G Sepp Straka G Rickie Fowler,,Ben Griffin,G,3.94%,43.35
48,5086540678,kevinshay86,0,258.65,G Tommy Fleetwood G Ludvig Aberg G Russell Henley G Sepp Straka G Harris English G Chris Kirk,,Max Homa,G,3.83%,46.3
49,5086212170,Olson.kj (79/100),0,258.6,G Tommy Fleetwood G Hideki Matsuyama G Viktor Hovland G Maverick McNealy G Corey Conners G Max McGreevy,,Jordan Spieth,G,3.75%,26.8
